Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,AttributeValue,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Ag Change: Cropland to Pasture [Type],0.12,0,,,,,
,,,,,Ag Change: Cropland to Pasture [Type],0.88,1,,,,,
,,,,,Ag Change: Pasture to Cropland [Type],0.12,0,,,,,
,,,,,Ag Change: Pasture to Cropland [Type],0.88,1,,,,,
,,,,,Ag Contraction: Cropland to Forest: Alder/Maple Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Cropland to Forest: Alder/Maple Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Cropland to Forest: Aspen/Birch Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Cropland to Forest: Aspen/Birch Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Cropland to Forest: California Mixed Conifer Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Cropland to Forest: California Mixed Conifer Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Cropland to Forest: Douglas-fir Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Cropland to Forest: Douglas-fir Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Cropland to Forest: Elm/Ash/Cottonwood Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Cropland to Forest: Elm/Ash/Cottonwood Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Cropland to Forest: Exotic Hardwoods Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Cropland to Forest: Exotic Hardwoods Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Cropland to Forest: Exotic Softwoods Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Cropland to Forest: Exotic Softwoods Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Cropland to Forest: Fir/Spruce/Mountain Hemlock Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Cropland to Forest: Fir/Spruce/Mountain Hemlock Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Cropland to Forest: Hemlock/Sitka Spruce Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Cropland to Forest: Hemlock/Sitka Spruce Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Cropland to Forest: Loblolly/Shortleaf Pine Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Cropland to Forest: Loblolly/Shortleaf Pine Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Cropland to Forest: Lodgepole Pine Group [Type],0.12,0,,,,,
