TransitionGroupID,StateAttributeTypeID,NeighborhoodRadius,UpdateFrequency
Urbanization: Open [Type],Developed: Open Space,1500,5
Urbanization: Low [Type],Developed: Low Intensity,1500,5
Urbanization: Medium [Type],Developed: Medium Intensity,1500,5
Urbanization: High [Type],Developed: High Intensity,1500,5
Intensification: Open to Low [Type],Developed: Low Intensity,1500,5
Intensification: Open to Medium [Type],Developed: Medium Intensity,1500,5
Intensification: Open to High [Type],Developed: High Intensity,1500,5
Intensification: Low to Medium [Type],Developed: Medium Intensity,1500,5
Intensification: Low to High [Type],Developed: High Intensity,1500,5
Intensification: Medium to High [Type],Developed: High Intensity,1500,5
Ag Expansion: Pasture [Type],Agriculture: Pasture,1500,5
Ag Expansion: Cropland [Type],Agriculture: Cropland,1500,5
Ag Expansion: Orchard [Type],Agriculture: Orchard,1500,5
Ag Expansion: Vineyard [Type],Agriculture: Vineyard,1500,5
Ag Change: Cropland to Pasture [Type],Agriculture: Pasture,1500,5
Ag Change: Pasture to Cropland [Type],Agriculture: Cropland,1500,5
Ag Contraction: Pasture to Forest: Alder/Maple Group [Type],Forest: Alder/Maple Group,1500,5
Ag Contraction: Pasture to Forest: Aspen/Birch Group [Type],Forest: Aspen/Birch Group,1500,5
Ag Contraction: Pasture to Forest: California Mixed Conifer Group [Type],Forest: California Mixed Conifer Group,1500,5
Ag Contraction: Pasture to Forest: Douglas-fir Group [Type],Forest: Douglas-fir Group,1500,5
Ag Contraction: Pasture to Forest: Elm/Ash/Cottonwood Group [Type],Forest: Elm/Ash/Cottonwood Group,1500,5
Ag Contraction: Pasture to Forest: Exotic Hardwoods Group [Type],Forest: Exotic Hardwoods Group,1500,5
Ag Contraction: Pasture to Forest: Exotic Softwoods Group [Type],Forest: Exotic Softwoods Group,1500,5
Ag Contraction: Pasture to Forest: Fir/Spruce/Mountain Hemlock Group [Type],Forest: Fir/Spruce/Mountain Hemlock Group,1500,5
Ag Contraction: Pasture to Forest: Hemlock/Sitka Spruce Group [Type],Forest: Hemlock/Sitka Spruce Group,1500,5
Ag Contraction: Pasture to Forest: Loblolly/Shortleaf Pine Group [Type],Forest: Loblolly/Shortleaf Pine Group,1500,5
Ag Contraction: Pasture to Forest: Lodgepole Pine Group [Type],Forest: Lodgepole Pine Group,1500,5
Ag Contraction: Pasture to Forest: Longleaf/Slash Pine Group [Type],Forest: Longleaf/Slash Pine Group,1500,5
Ag Contraction: Pasture to Forest: Maple/Beech/Birch Group [Type],Forest: Maple/Beech/Birch Group,1500,5
Ag Contraction: Pasture to Forest: Oak/Gum/Cypress Group [Type],Forest: Oak/Gum/Cypress Group,1500,5
