Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Agriculture: Pasture,,Forest: Alder/Maple Group,,,Ag Contraction: Pasture to Forest: Alder/Maple Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Aspen/Birch Group,,,Ag Contraction: Pasture to Forest: Aspen/Birch Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: California Mixed Conifer Group,,,Ag Contraction: Pasture to Forest: California Mixed Conifer Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Douglas-fir Group,,,Ag Contraction: Pasture to Forest: Douglas-fir Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Elm/Ash/Cottonwood Group,,,Ag Contraction: Pasture to Forest: Elm/Ash/Cottonwood Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Exotic Hardwoods Group,,,Ag Contraction: Pasture to Forest: Exotic Hardwoods Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Exotic Softwoods Group,,,Ag Contraction: Pasture to Forest: Exotic Softwoods Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Ag Contraction: Pasture to Forest: Fir/Spruce/Mountain Hemlock Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Hemlock/Sitka Spruce Group,,,Ag Contraction: Pasture to Forest: Hemlock/Sitka Spruce Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Loblolly/Shortleaf Pine Group,,,Ag Contraction: Pasture to Forest: Loblolly/Shortleaf Pine Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Lodgepole Pine Group,,,Ag Contraction: Pasture to Forest: Lodgepole Pine Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Longleaf/Slash Pine Group,,,Ag Contraction: Pasture to Forest: Longleaf/Slash Pine Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Maple/Beech/Birch Group,,,Ag Contraction: Pasture to Forest: Maple/Beech/Birch Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Oak/Gum/Cypress Group,,,Ag Contraction: Pasture to Forest: Oak/Gum/Cypress Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Oak/Hickory Group,,,Ag Contraction: Pasture to Forest: Oak/Hickory Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Oak/Pine Group,,,Ag Contraction: Pasture to Forest: Oak/Pine Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Other Western Hardwoods Group,,,Ag Contraction: Pasture to Forest: Other Western Hardwoods Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Other Western Softwood Group,,,Ag Contraction: Pasture to Forest: Other Western Softwood Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Pinyon/Juniper Group,,,Ag Contraction: Pasture to Forest: Pinyon/Juniper Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Ponderosa Pine Group,,,Ag Contraction: Pasture to Forest: Ponderosa Pine Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Redwood Group,,,Ag Contraction: Pasture to Forest: Redwood Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Spruce/Fir Group,,,Ag Contraction: Pasture to Forest: Spruce/Fir Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Tanoak/Laurel Group,,,Ag Contraction: Pasture to Forest: Tanoak/Laurel Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Tropical Hardwoods Group,,,Ag Contraction: Pasture to Forest: Tropical Hardwoods Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Western Larch Group,,,Ag Contraction: Pasture to Forest: Western Larch Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Western Oak Group,,,Ag Contraction: Pasture to Forest: Western Oak Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Western White Pine Group,,,Ag Contraction: Pasture to Forest: Western White Pine Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: White/Red/Jack Pine Group,,,Ag Contraction: Pasture to Forest: White/Red/Jack Pine Group,1,,,,,,,,
