Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Grassland: All,,Grassland: All,,,Fire: High Severity,1,,,,,,,,
,,,Shrubland: Desert Scrub,,Grassland: Post Fire Grass,,,Fire: High Severity,1,,,,,,,,
,,,Shrubland: Pacific Coastal Shrub,,Grassland: Post Fire Grass,,,Fire: High Severity,1,,,,,,,,
,,,Shrubland: Chaparral,,Grassland: Post Fire Grass,,,Fire: High Severity,1,,,,,,,,
,,,Grassland: All,,Grassland: All,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: White/Red/Jack Pine Group,,Forest: White/Red/Jack Pine Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Spruce/Fir Group,,Forest: Spruce/Fir Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Longleaf/Slash Pine Group,,Forest: Longleaf/Slash Pine Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Loblolly/Shortleaf Pine Group,,Forest: Loblolly/Shortleaf Pine Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Pinyon/Juniper Group,,Forest: Pinyon/Juniper Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Douglas-fir Group,,Forest: Douglas-fir Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Ponderosa Pine Group,,Forest: Ponderosa Pine Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Western White Pine Group,,Forest: Western White Pine Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Lodgepole Pine Group,,Forest: Lodgepole Pine Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Hemlock/Sitka Spruce Group,,Forest: Hemlock/Sitka Spruce Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Western Larch Group,,Forest: Western Larch Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Redwood Group,,Forest: Redwood Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Other Western Softwood Group,,Forest: Other Western Softwood Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: California Mixed Conifer Group,,Forest: California Mixed Conifer Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Exotic Softwoods Group,,Forest: Exotic Softwoods Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Oak/Pine Group,,Forest: Oak/Pine Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Oak/Hickory Group,,Forest: Oak/Hickory Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Oak/Gum/Cypress Group,,Forest: Oak/Gum/Cypress Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Elm/Ash/Cottonwood Group,,Forest: Elm/Ash/Cottonwood Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Maple/Beech/Birch Group,,Forest: Maple/Beech/Birch Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Western Oak Group,,Forest: Western Oak Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Tanoak/Laurel Group,,Forest: Tanoak/Laurel Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Other Western Hardwoods Group,,Forest: Other Western Hardwoods Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Tropical Hardwoods Group,,Forest: Tropical Hardwoods Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Forest: Exotic Hardwoods Group,,Forest: Exotic Hardwoods Group,,,Fire: Medium Severity,1,,,,,,,,
,,,Shrubland: Desert Scrub,,Shrubland: Desert Scrub,,,Fire: Medium Severity,1,,,,,,,,
,,,Shrubland: Pacific Coastal Shrub,,Shrubland: Pacific Coastal Shrub,,,Fire: Medium Severity,1,,,,,,,,
,,,Shrubland: Chaparral,,Shrubland: Chaparral,,,Fire: Medium Severity,1,,,,,,,,
,,,Grassland: All,,Grassland: All,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: White/Red/Jack Pine Group,,Forest: White/Red/Jack Pine Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Spruce/Fir Group,,Forest: Spruce/Fir Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Longleaf/Slash Pine Group,,Forest: Longleaf/Slash Pine Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Loblolly/Shortleaf Pine Group,,Forest: Loblolly/Shortleaf Pine Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Pinyon/Juniper Group,,Forest: Pinyon/Juniper Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Douglas-fir Group,,Forest: Douglas-fir Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Ponderosa Pine Group,,Forest: Ponderosa Pine Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Western White Pine Group,,Forest: Western White Pine Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Lodgepole Pine Group,,Forest: Lodgepole Pine Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Hemlock/Sitka Spruce Group,,Forest: Hemlock/Sitka Spruce Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Western Larch Group,,Forest: Western Larch Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Redwood Group,,Forest: Redwood Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Other Western Softwood Group,,Forest: Other Western Softwood Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: California Mixed Conifer Group,,Forest: California Mixed Conifer Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Exotic Softwoods Group,,Forest: Exotic Softwoods Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Oak/Pine Group,,Forest: Oak/Pine Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Oak/Hickory Group,,Forest: Oak/Hickory Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Oak/Gum/Cypress Group,,Forest: Oak/Gum/Cypress Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Elm/Ash/Cottonwood Group,,Forest: Elm/Ash/Cottonwood Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Maple/Beech/Birch Group,,Forest: Maple/Beech/Birch Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Western Oak Group,,Forest: Western Oak Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Tanoak/Laurel Group,,Forest: Tanoak/Laurel Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Other Western Hardwoods Group,,Forest: Other Western Hardwoods Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Tropical Hardwoods Group,,Forest: Tropical Hardwoods Group,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: Exotic Hardwoods Group,,Forest: Exotic Hardwoods Group,,,Fire: Low Severity,1,,,,,,,,
,,,Shrubland: Desert Scrub,,Shrubland: Desert Scrub,,,Fire: Low Severity,1,,,,,,,,
,,,Shrubland: Pacific Coastal Shrub,,Shrubland: Pacific Coastal Shrub,,,Fire: Low Severity,1,,,,,,,,
,,,Shrubland: Chaparral,,Shrubland: Chaparral,,,Fire: Low Severity,1,,,,,,,,
,,,Forest: White/Red/Jack Pine Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,,,,
,,,Forest: Spruce/Fir Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,,,,
,,,Forest: Longleaf/Slash Pine Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,,,,
,,,Forest: Loblolly/Shortleaf Pine Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,,,,
,,,Forest: Pinyon/Juniper Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,,,,
,,,Forest: Douglas-fir Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,,,,
