Name,AttributeGroupID,Units,Description
Carbon Initial Conditions: Aboveground Fast,Carbon Initial Conditions,,
Carbon Initial Conditions: Aboveground Medium,Carbon Initial Conditions,,
Carbon Initial Conditions: Aboveground Slow,Carbon Initial Conditions,,
Carbon Initial Conditions: Aboveground Very Fast,Carbon Initial Conditions,,
Carbon Initial Conditions: Belowground Fast,Carbon Initial Conditions,,
Carbon Initial Conditions: Belowground Slow,Carbon Initial Conditions,,
Carbon Initial Conditions: Belowground Very Fast,Carbon Initial Conditions,,
Carbon Initial Conditions: Black Carbon,Carbon Initial Conditions,,
Carbon Initial Conditions: Coarse Roots,Carbon Initial Conditions,,
Carbon Initial Conditions: Fine Roots,Carbon Initial Conditions,,
Carbon Initial Conditions: Foliage,Carbon Initial Conditions,,
Carbon Initial Conditions: Merchantable,Carbon Initial Conditions,,
Carbon Initial Conditions: Other Wood,Carbon Initial Conditions,,
Carbon Initial Conditions: Snag Branch,Carbon Initial Conditions,,
Carbon Initial Conditions: Snag Stem,Carbon Initial Conditions,,
Net Growth,Net Growth,,
Agriculture: Cropland,State Class,,
Agriculture: Orchard,State Class,,
Agriculture: Pasture,State Class,,
Agriculture: Vineyard,State Class,,
Barren: All,State Class,,
Developed: High Intensity,State Class,,
Developed: Low Intensity,State Class,,
Developed: Medium Intensity,State Class,,
Developed: Open Space,State Class,,
Developed: Transportation,State Class,,
Forest: Alder/Maple Group,State Class,,
Forest: Aspen/Birch Group,State Class,,
Forest: California Mixed Conifer Group,State Class,,
Forest: Douglas-fir Group,State Class,,
Forest: Elm/Ash/Cottonwood Group,State Class,,
Forest: Exotic Hardwoods Group,State Class,,
Forest: Exotic Softwoods Group,State Class,,
Forest: Fir/Spruce/Mountain Hemlock Group,State Class,,
Forest: Hemlock/Sitka Spruce Group,State Class,,
Forest: Loblolly/Shortleaf Pine Group,State Class,,
Forest: Lodgepole Pine Group,State Class,,
Forest: Longleaf/Slash Pine Group,State Class,,
Forest: Maple/Beech/Birch Group,State Class,,
Forest: Oak/Gum/Cypress Group,State Class,,
Forest: Oak/Hickory Group,State Class,,
Forest: Oak/Pine Group,State Class,,
Forest: Other Western Hardwoods Group,State Class,,
Forest: Other Western Softwood Group,State Class,,
Forest: Pinyon/Juniper Group,State Class,,
Forest: Ponderosa Pine Group,State Class,,
Forest: Redwood Group,State Class,,
Forest: Spruce/Fir Group,State Class,,
Forest: Tanoak/Laurel Group,State Class,,
Forest: Tropical Hardwoods Group,State Class,,
Forest: Western Larch Group,State Class,,
Forest: Western Oak Group,State Class,,
Forest: Western White Pine Group,State Class,,
Forest: White/Red/Jack Pine Group,State Class,,
Grassland: All,State Class,,
Grassland: Post Fire Grass,State Class,,
Shrubland: Big Sagebrush,State Class,,
Shrubland: Blackbrush,State Class,,
Shrubland: Chaparral,State Class,,
Shrubland: Creosotebush,State Class,,
Shrubland: Deciduous Shrub,State Class,,
Shrubland: Desert Scrub,State Class,,
Shrubland: Grassland and Steppe,State Class,,
Shrubland: Greasewood,State Class,,
Shrubland: Low Sagebrush,State Class,,
Shrubland: Mesquite,State Class,,
Shrubland: Pacific Coastal Shrub,State Class,,
Shrubland: Pinyon Juniper Shrubland,State Class,,
Shrubland: Pocosin,State Class,,
Shrubland: Post Fire Shrub,State Class,,
Shrubland: Salt Desert Scrub,State Class,,
Shrubland: Sand Shrubland,State Class,,
Shrubland: Succulent,State Class,,
Snow/Ice: All,State Class,,
Water: All,State Class,,
Wetland: Herbaceous,State Class,,
Wetland: Woody,State Class,,
