Name,ID,Color,Legend,Description
Urbanization: Open,1,,,NLCD Change
Urbanization: Low,2,,,NLCD Change
Urbanization: Medium,3,,,NLCD Change
Urbanization: High,4,,,NLCD Change
Intensification: Open to Low,11,,,NLCD Change
Intensification: Open to Medium,12,,,NLCD Change
Intensification: Open to High,13,,,NLCD Change
Intensification: Low to Medium,14,,,NLCD Change
Intensification: Low to High,15,,,NLCD Change
Intensification: Medium to High,16,,,NLCD Change
Fire: High Severity,21,,,Landfire Disturbance data
Fire: Medium Severity,22,,,Landfire Disturbance data
Fire: Low Severity,23,,,Landfire Disturbance data
Insect: High Severity,31,,,Based on ADS data with mortality > 30%
Insect: Medium Severity,32,,,Based on ADS data with mortality 10-30%
Insect: Low Severity,33,,,Based on ADS data with mortality 4-10%
Management: Forest Clearcut,41,,,Landfire Disturbance data
Management: Forest Selection,42,,,Landfire Disturbance data
Management: Salvage Logging,43,,,
Management: Forest Selection 85%,44,,,
Management: Forest Selection 20%,45,,,
Ag Expansion: Pasture,51,,,NLCD Change
Ag Expansion: Cropland,52,,,NLCD Change
Ag Expansion: Orchard,53,,,
Ag Expansion: Vineyard,54,,,
Ag Contraction: Pasture to Forest: Alder/Maple Group,101,,,
Ag Contraction: Pasture to Forest: Aspen/Birch Group,102,,,
Ag Contraction: Pasture to Forest: California Mixed Conifer Group,103,,,
Ag Contraction: Pasture to Forest: Douglas-fir Group,104,,,
Ag Contraction: Pasture to Forest: Elm/Ash/Cottonwood Group,105,,,
Ag Contraction: Pasture to Forest: Exotic Hardwoods Group,106,,,
Ag Contraction: Pasture to Forest: Exotic Softwoods Group,107,,,
Ag Contraction: Pasture to Forest: Fir/Spruce/Mountain Hemlock Group,108,,,
Ag Contraction: Pasture to Forest: Hemlock/Sitka Spruce Group,109,,,
Ag Contraction: Pasture to Forest: Loblolly/Shortleaf Pine Group,110,,,
Ag Contraction: Pasture to Forest: Lodgepole Pine Group,111,,,
Ag Contraction: Pasture to Forest: Longleaf/Slash Pine Group,112,,,
Ag Contraction: Pasture to Forest: Maple/Beech/Birch Group,113,,,
Ag Contraction: Pasture to Forest: Oak/Gum/Cypress Group,114,,,
Ag Contraction: Pasture to Forest: Oak/Hickory Group,115,,,
Ag Contraction: Pasture to Forest: Oak/Pine Group,116,,,
Ag Contraction: Pasture to Forest: Other Western Hardwoods Group,117,,,
Ag Contraction: Pasture to Forest: Other Western Softwood Group,118,,,
Ag Contraction: Pasture to Forest: Pinyon/Juniper Group,119,,,
Ag Contraction: Pasture to Forest: Ponderosa Pine Group,120,,,
Ag Contraction: Pasture to Forest: Redwood Group,121,,,
Ag Contraction: Pasture to Forest: Spruce/Fir Group,122,,,
Ag Contraction: Pasture to Forest: Tanoak/Laurel Group,123,,,
Ag Contraction: Pasture to Forest: Tropical Hardwoods Group,124,,,
Ag Contraction: Pasture to Forest: Western Larch Group,125,,,
Ag Contraction: Pasture to Forest: Western Oak Group,126,,,
Ag Contraction: Pasture to Forest: Western White Pine Group,127,,,
Ag Contraction: Pasture to Forest: White/Red/Jack Pine Group,128,,,
Ag Contraction: Pasture to Grassland: All,129,,,
Ag Contraction: Pasture to Grassland: Post Fire Grass,130,,,
Ag Contraction: Pasture to Shrubland: Big Sagebrush,131,,,
Ag Contraction: Pasture to Shrubland: Blackbrush,132,,,
Ag Contraction: Pasture to Shrubland: Chaparral,133,,,
Ag Contraction: Pasture to Shrubland: Creosotebush,134,,,
Ag Contraction: Pasture to Shrubland: Deciduous Shrub,135,,,
Ag Contraction: Pasture to Shrubland: Desert Scrub,136,,,
Ag Contraction: Pasture to Shrubland: Grassland and Steppe,137,,,
Ag Contraction: Pasture to Shrubland: Greasewood,138,,,
Ag Contraction: Pasture to Shrubland: Low Sagebrush,139,,,
Ag Contraction: Pasture to Shrubland: Mesquite,140,,,
Ag Contraction: Pasture to Shrubland: Pacific Coastal Shrub,141,,,
Ag Contraction: Pasture to Shrubland: Pinyon Juniper Shrubland,142,,,
Ag Contraction: Pasture to Shrubland: Pocosin,143,,,
Ag Contraction: Pasture to Shrubland: Post Fire Shrub,144,,,
Ag Contraction: Pasture to Shrubland: Salt Desert Scrub,145,,,
Ag Contraction: Pasture to Shrubland: Sand Shrubland,146,,,
Ag Contraction: Pasture to Shrubland: Succulent,147,,,
Ag Contraction: Pasture to Wetland: Herbaceous,148,,,
Ag Contraction: Pasture to Wetland: Woody,149,,,
Ag Contraction: Cropland to Forest: Alder/Maple Group,201,,,
Ag Contraction: Cropland to Forest: Aspen/Birch Group,202,,,
Ag Contraction: Cropland to Forest: California Mixed Conifer Group,203,,,
Ag Contraction: Cropland to Forest: Douglas-fir Group,204,,,
Ag Contraction: Cropland to Forest: Elm/Ash/Cottonwood Group,205,,,
Ag Contraction: Cropland to Forest: Exotic Hardwoods Group,206,,,
Ag Contraction: Cropland to Forest: Exotic Softwoods Group,207,,,
Ag Contraction: Cropland to Forest: Fir/Spruce/Mountain Hemlock Group,208,,,
Ag Contraction: Cropland to Forest: Hemlock/Sitka Spruce Group,209,,,
Ag Contraction: Cropland to Forest: Loblolly/Shortleaf Pine Group,210,,,
Ag Contraction: Cropland to Forest: Lodgepole Pine Group,211,,,
Ag Contraction: Cropland to Forest: Longleaf/Slash Pine Group,212,,,
Ag Contraction: Cropland to Forest: Maple/Beech/Birch Group,213,,,
Ag Contraction: Cropland to Forest: Oak/Gum/Cypress Group,214,,,
Ag Contraction: Cropland to Forest: Oak/Hickory Group,215,,,
Ag Contraction: Cropland to Forest: Oak/Pine Group,216,,,
Ag Contraction: Cropland to Forest: Other Western Hardwoods Group,217,,,
Ag Contraction: Cropland to Forest: Other Western Softwood Group,218,,,
Ag Contraction: Cropland to Forest: Pinyon/Juniper Group,219,,,
Ag Contraction: Cropland to Forest: Ponderosa Pine Group,220,,,
Ag Contraction: Cropland to Forest: Redwood Group,221,,,
Ag Contraction: Cropland to Forest: Spruce/Fir Group,222,,,
Ag Contraction: Cropland to Forest: Tanoak/Laurel Group,223,,,
Ag Contraction: Cropland to Forest: Tropical Hardwoods Group,224,,,
Ag Contraction: Cropland to Forest: Western Larch Group,225,,,
Ag Contraction: Cropland to Forest: Western Oak Group,226,,,
Ag Contraction: Cropland to Forest: Western White Pine Group,227,,,
Ag Contraction: Cropland to Forest: White/Red/Jack Pine Group,228,,,
Ag Contraction: Cropland to Grassland: All,229,,,
Ag Contraction: Cropland to Grassland: Post Fire Grass,230,,,
Ag Contraction: Cropland to Shrubland: Big Sagebrush,231,,,
Ag Contraction: Cropland to Shrubland: Blackbrush,232,,,
Ag Contraction: Cropland to Shrubland: Chaparral,233,,,
Ag Contraction: Cropland to Shrubland: Creosotebush,234,,,
Ag Contraction: Cropland to Shrubland: Deciduous Shrub,235,,,
Ag Contraction: Cropland to Shrubland: Desert Scrub,236,,,
Ag Contraction: Cropland to Shrubland: Grassland and Steppe,237,,,
Ag Contraction: Cropland to Shrubland: Greasewood,238,,,
Ag Contraction: Cropland to Shrubland: Low Sagebrush,239,,,
Ag Contraction: Cropland to Shrubland: Mesquite,240,,,
Ag Contraction: Cropland to Shrubland: Pacific Coastal Shrub,241,,,
Ag Contraction: Cropland to Shrubland: Pinyon Juniper Shrubland,242,,,
