Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeID,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax,ValueDistributionRelativeFrequency
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,1993,1993,0,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,1994,1994,0,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,1995,1995,0.518,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,1996,1996,0.518,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,1997,1997,0.2064,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,1998,1998,0.2064,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,1999,1999,1.6066,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,2000,2000,1.6066,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,2001,2001,1.0704,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,2002,2002,1.0704,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,2003,2003,1.2667,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,2004,2004,1.2667,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,2005,2005,1.4366,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,2006,2006,1.4366,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,2007,2007,2.0072,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,2008,2008,2.0072,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,2009,2009,0.3298,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,2010,2010,0.3298,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,2011,2011,0.755,,,,,,
,,,Alameda,,Historical Rate: Ag Contraction,Historical Year: Land Use Change,2012,2012,0.755,,,,,,
,,,Alameda,,Historical Rate: Ag Expansion,Historical Year: Land Use Change,1993,1993,0,,,,,,
,,,Alameda,,Historical Rate: Ag Expansion,Historical Year: Land Use Change,1994,1994,0,,,,,,
,,,Alameda,,Historical Rate: Ag Expansion,Historical Year: Land Use Change,1995,1995,0.1679,,,,,,
