SecondaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeID,ValueDistributionFrequency,ValueDistributionSD
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,1993,1994,21.043672,Normal,Timestep and iteration,10.521836
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,1995,1996,63.738045,Normal,Timestep and iteration,31.8690225
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,1997,1998,25.697561,Normal,Timestep and iteration,12.8487805
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,1999,2000,169.36109100000002,Normal,Timestep and iteration,84.68054550000001
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,2001,2002,158.43456899999998,Normal,Timestep and iteration,79.21728449999999
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,2003,2004,181.501671,Normal,Timestep and iteration,90.7508355
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,2005,2006,161.8744,Normal,Timestep and iteration,80.9372
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,2007,2008,214.28123699999998,Normal,Timestep and iteration,107.14061849999999
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,2009,2010,49.978721,Normal,Timestep and iteration,24.9893605
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,2011,2012,79.318456,Normal,Timestep and iteration,39.659228
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,2013,2014,127.27374699999999,Normal,Timestep and iteration,63.63687349999999
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,2015,2016,56.65604,Normal,Timestep and iteration,28.32802
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,1993,1994,27.720990999999998,Normal,Timestep and iteration,13.860495499999999
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,1995,1996,5.867947,Normal,Timestep and iteration,2.9339735
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,1997,1998,176.847782,Normal,Timestep and iteration,88.423891
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,1999,2000,55.441982,Normal,Timestep and iteration,27.720991
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,2001,2002,174.419666,Normal,Timestep and iteration,87.209833
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,2003,2004,214.078894,Normal,Timestep and iteration,107.039447
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,2005,2006,171.586864,Normal,Timestep and iteration,85.793432
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,2007,2008,36.017054,Normal,Timestep and iteration,18.008527
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,2009,2010,148.317419,Normal,Timestep and iteration,74.1587095
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,2011,2012,24.685845999999998,Normal,Timestep and iteration,12.342922999999999
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,2013,2014,46.134204,Normal,Timestep and iteration,23.067102
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,2015,2016,54.025580999999995,Normal,Timestep and iteration,27.012790499999998
Butte,Historical Rate: Urbanization,Historical Year: Urbanization,1993,1994,NA,Normal,Timestep and iteration,NA
Butte,Historical Rate: Urbanization,Historical Year: Urbanization,1995,1996,NA,Normal,Timestep and iteration,NA
Butte,Historical Rate: Urbanization,Historical Year: Urbanization,1997,1998,NA,Normal,Timestep and iteration,NA
Butte,Historical Rate: Urbanization,Historical Year: Urbanization,1999,2000,6479.02286,Normal,Timestep and iteration,3239.51143
Butte,Historical Rate: Urbanization,Historical Year: Urbanization,2001,2002,4615.848516,Normal,Timestep and iteration,2307.924258
Butte,Historical Rate: Urbanization,Historical Year: Urbanization,2003,2004,NA,Normal,Timestep and iteration,NA
Butte,Historical Rate: Urbanization,Historical Year: Urbanization,2005,2006,706.17707,Normal,Timestep and iteration,353.088535
Butte,Historical Rate: Urbanization,Historical Year: Urbanization,2007,2008,548.7542159999999,Normal,Timestep and iteration,274.37710799999996
Butte,Historical Rate: Urbanization,Historical Year: Urbanization,2009,2010,801.682966,Normal,Timestep and iteration,400.841483
Butte,Historical Rate: Urbanization,Historical Year: Urbanization,2011,2012,302.502785,Normal,Timestep and iteration,151.2513925
Butte,Historical Rate: Urbanization,Historical Year: Urbanization,2013,2014,382.225927,Normal,Timestep and iteration,191.1129635
Butte,Historical Rate: Urbanization,Historical Year: Urbanization,2015,2016,243.620972,Normal,Timestep and iteration,121.810486
Colusa,Historical Rate: Urbanization,Historical Year: Urbanization,1993,1994,NA,Normal,Timestep and iteration,NA
Colusa,Historical Rate: Urbanization,Historical Year: Urbanization,1995,1996,NA,Normal,Timestep and iteration,NA
Colusa,Historical Rate: Urbanization,Historical Year: Urbanization,1997,1998,NA,Normal,Timestep and iteration,NA
Colusa,Historical Rate: Urbanization,Historical Year: Urbanization,1999,2000,893.344345,Normal,Timestep and iteration,446.6721725
Colusa,Historical Rate: Urbanization,Historical Year: Urbanization,2001,2002,101.1715,Normal,Timestep and iteration,50.58575
Colusa,Historical Rate: Urbanization,Historical Year: Urbanization,2003,2004,595.900135,Normal,Timestep and iteration,297.9500675
Colusa,Historical Rate: Urbanization,Historical Year: Urbanization,2005,2006,557.859651,Normal,Timestep and iteration,278.9298255
Colusa,Historical Rate: Urbanization,Historical Year: Urbanization,2007,2008,596.1024779999999,Normal,Timestep and iteration,298.05123899999995
Colusa,Historical Rate: Urbanization,Historical Year: Urbanization,2009,2010,292.587978,Normal,Timestep and iteration,146.293989
Colusa,Historical Rate: Urbanization,Historical Year: Urbanization,2011,2012,25.697561,Normal,Timestep and iteration,12.8487805
Colusa,Historical Rate: Urbanization,Historical Year: Urbanization,2013,2014,2266.2416,Normal,Timestep and iteration,1133.1208
Colusa,Historical Rate: Urbanization,Historical Year: Urbanization,2015,2016,478.945881,Normal,Timestep and iteration,239.4729405
