SecondaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeID,ValueDistributionFrequency,ValueDistributionSD
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,1993,1994,0,Normal,Timestep and iteration,0
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,1995,1996,16.794469,Normal,Timestep and iteration,8.3972345
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,1997,1998,77.90205499999999,Normal,Timestep and iteration,38.951027499999995
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,1999,2000,192.22585,Normal,Timestep and iteration,96.112925
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,2001,2002,138.807298,Normal,Timestep and iteration,69.403649
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,2003,2004,96.719954,Normal,Timestep and iteration,48.359977
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,2005,2006,16.794469,Normal,Timestep and iteration,8.3972345
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,2007,2008,78.91377,Normal,Timestep and iteration,39.456885
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,2009,2010,29.946763999999998,Normal,Timestep and iteration,14.973381999999999
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,2011,2012,8.296063,Normal,Timestep and iteration,4.1480315
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,2013,2014,47.550605,Normal,Timestep and iteration,23.7753025
Alameda,Historical Rate: Urbanization,Historical Year: Urbanization,2015,2016,32.577223,Normal,Timestep and iteration,16.2886115
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,1993,1994,43.503745,Normal,Timestep and iteration,21.7518725
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,1995,1996,17.806184,Normal,Timestep and iteration,8.903092
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,1997,1998,114.728481,Normal,Timestep and iteration,57.3642405
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,1999,2000,123.024544,Normal,Timestep and iteration,61.512272
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,2001,2002,80.93719999999999,Normal,Timestep and iteration,40.468599999999995
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,2003,2004,159.041598,Normal,Timestep and iteration,79.520799
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,2005,2006,75.676282,Normal,Timestep and iteration,37.838141
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,2007,2008,52.811523,Normal,Timestep and iteration,26.4057615
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,2009,2010,58.274784,Normal,Timestep and iteration,29.137392
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,2011,2012,25.090532,Normal,Timestep and iteration,12.545266
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,2013,2014,98.743384,Normal,Timestep and iteration,49.371692
Amador,Historical Rate: Urbanization,Historical Year: Urbanization,2015,2016,32.172537,Normal,Timestep and iteration,16.0862685
Butte,Historical Rate: Urbanization,Historical Year: Urbanization,1993,1994,NA,Normal,Timestep and iteration,NA
