Timestep,StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
2001,Coast Range,Ag Change: Pasture to Cropland,Ag Change,2001,2006,0
2001,Puget Lowland,Ag Change: Pasture to Cropland,Ag Change,2001,2006,140
2001,Willamette Valley,Ag Change: Pasture to Cropland,Ag Change,2001,2006,1160
2001,Cascades,Ag Change: Pasture to Cropland,Ag Change,2001,2006,40
2001,Sierra Nevada,Ag Change: Pasture to Cropland,Ag Change,2001,2006,0
2001,Central California Foothills and Coastal Mountains,Ag Change: Pasture to Cropland,Ag Change,2001,2006,540
2001,Central California Valley,Ag Change: Pasture to Cropland,Ag Change,2001,2006,1060
2001,Southern California Mountains,Ag Change: Pasture to Cropland,Ag Change,2001,2006,0
2001,Eastern Cascades Slopes and Foothills,Ag Change: Pasture to Cropland,Ag Change,2001,2006,459.99999999999994
2001,Columbia Plateau,Ag Change: Pasture to Cropland,Ag Change,2001,2006,980.0000000000001
2001,Blue Mountains,Ag Change: Pasture to Cropland,Ag Change,2001,2006,160
2001,Snake River Plain,Ag Change: Pasture to Cropland,Ag Change,2001,2006,560
2001,Central Basin and Range,Ag Change: Pasture to Cropland,Ag Change,2001,2006,700
2001,Mojave Basin and Range,Ag Change: Pasture to Cropland,Ag Change,2001,2006,20
2001,Northern Rockies,Ag Change: Pasture to Cropland,Ag Change,2001,2006,360
2001,Idaho Batholith,Ag Change: Pasture to Cropland,Ag Change,2001,2006,20
2001,Middle Rockies,Ag Change: Pasture to Cropland,Ag Change,2001,2006,540
2001,Wyoming Basin,Ag Change: Pasture to Cropland,Ag Change,2001,2006,620
2001,Wasatch and Uinta Mountains,Ag Change: Pasture to Cropland,Ag Change,2001,2006,160
2001,Colorado Plateaus,Ag Change: Pasture to Cropland,Ag Change,2001,2006,560
2001,Southern Rockies,Ag Change: Pasture to Cropland,Ag Change,2001,2006,40
2001,Arizona/New Mexico Plateau,Ag Change: Pasture to Cropland,Ag Change,2001,2006,180
