Timestep,StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
2001,Coast Range,Ag Contraction: Pasture,Ag Contraction,2001,2006,440.00000000000006
2001,Puget Lowland,Ag Contraction: Pasture,Ag Contraction,2001,2006,520
2001,Willamette Valley,Ag Contraction: Pasture,Ag Contraction,2001,2006,1080
2001,Cascades,Ag Contraction: Pasture,Ag Contraction,2001,2006,220.00000000000003
2001,Sierra Nevada,Ag Contraction: Pasture,Ag Contraction,2001,2006,0
2001,Central California Foothills and Coastal Mountains,Ag Contraction: Pasture,Ag Contraction,2001,2006,100
2001,Central California Valley,Ag Contraction: Pasture,Ag Contraction,2001,2006,120
2001,Southern California Mountains,Ag Contraction: Pasture,Ag Contraction,2001,2006,0
2001,Eastern Cascades Slopes and Foothills,Ag Contraction: Pasture,Ag Contraction,2001,2006,880.0000000000001
2001,Columbia Plateau,Ag Contraction: Pasture,Ag Contraction,2001,2006,140
2001,Blue Mountains,Ag Contraction: Pasture,Ag Contraction,2001,2006,180
2001,Snake River Plain,Ag Contraction: Pasture,Ag Contraction,2001,2006,80
2001,Central Basin and Range,Ag Contraction: Pasture,Ag Contraction,2001,2006,560
2001,Mojave Basin and Range,Ag Contraction: Pasture,Ag Contraction,2001,2006,20
2001,Northern Rockies,Ag Contraction: Pasture,Ag Contraction,2001,2006,220.00000000000003
2001,Idaho Batholith,Ag Contraction: Pasture,Ag Contraction,2001,2006,0
2001,Middle Rockies,Ag Contraction: Pasture,Ag Contraction,2001,2006,480
2001,Wyoming Basin,Ag Contraction: Pasture,Ag Contraction,2001,2006,300
2001,Wasatch and Uinta Mountains,Ag Contraction: Pasture,Ag Contraction,2001,2006,120
2001,Colorado Plateaus,Ag Contraction: Pasture,Ag Contraction,2001,2006,600
2001,Southern Rockies,Ag Contraction: Pasture,Ag Contraction,2001,2006,280
2001,Arizona/New Mexico Plateau,Ag Contraction: Pasture,Ag Contraction,2001,2006,640
2001,Arizona/New Mexico Mountains,Ag Contraction: Pasture,Ag Contraction,2001,2006,20
2001,Chihuahuan Deserts,Ag Contraction: Pasture,Ag Contraction,2001,2006,20
2001,High Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,900
2001,Southwestern Tablelands,Ag Contraction: Pasture,Ag Contraction,2001,2006,80
2001,Central Great Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,300
2001,Flint Hills,Ag Contraction: Pasture,Ag Contraction,2001,2006,459.99999999999994
2001,Cross Timbers,Ag Contraction: Pasture,Ag Contraction,2001,2006,760
2001,Edwards Plateau,Ag Contraction: Pasture,Ag Contraction,2001,2006,40
2001,Southern Texas Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,300
2001,Texas Blackland Prairies,Ag Contraction: Pasture,Ag Contraction,2001,2006,1839.9999999999998
2001,East Central Texas Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,5560
2001,Western Gulf Coastal Plain,Ag Contraction: Pasture,Ag Contraction,2001,2006,5920
2001,South Central Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,28339.999999999996
2001,Ouachita Mountains,Ag Contraction: Pasture,Ag Contraction,2001,2006,2320
2001,Arkansas Valley,Ag Contraction: Pasture,Ag Contraction,2001,2006,2180
2001,Boston Mountains,Ag Contraction: Pasture,Ag Contraction,2001,2006,780
2001,Ozark Highlands,Ag Contraction: Pasture,Ag Contraction,2001,2006,5080
2001,Central Irregular Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,6280
2001,Canadian Rockies,Ag Contraction: Pasture,Ag Contraction,2001,2006,20
2001,Northwestern Glaciated Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,1320
2001,Northwestern Great Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,1540
2001,Nebraska Sand Hills,Ag Contraction: Pasture,Ag Contraction,2001,2006,260
2001,Piedmont,Ag Contraction: Pasture,Ag Contraction,2001,2006,19940
2001,Northern Glaciated Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,3500
2001,Western Corn Belt Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,2480
2001,Lake Agassiz Plain,Ag Contraction: Pasture,Ag Contraction,2001,2006,1420
2001,Northern Minnesota Wetlands,Ag Contraction: Pasture,Ag Contraction,2001,2006,1160
2001,Northern Lakes and Forests,Ag Contraction: Pasture,Ag Contraction,2001,2006,3180
2001,North Central Hardwood Forests,Ag Contraction: Pasture,Ag Contraction,2001,2006,2280
2001,Driftless Area,Ag Contraction: Pasture,Ag Contraction,2001,2006,1720
2001,Southeastern Wisconsin Till Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,360
2001,Central Corn Belt Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,300
2001,Eastern Corn Belt Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,700
2001,Southern Michigan/Northern Indiana Drift Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,340
2001,Huron/Erie Lake Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,20
2001,Northeastern Highlands,Ag Contraction: Pasture,Ag Contraction,2001,2006,1820
2001,Northeastern Coastal Zone,Ag Contraction: Pasture,Ag Contraction,2001,2006,1140
2001,Northern Allegheny Plateau,Ag Contraction: Pasture,Ag Contraction,2001,2006,1760.0000000000002
2001,Erie Drift Plain,Ag Contraction: Pasture,Ag Contraction,2001,2006,940
2001,North Central Appalachians,Ag Contraction: Pasture,Ag Contraction,2001,2006,620
2001,Middle Atlantic Coastal Plain,Ag Contraction: Pasture,Ag Contraction,2001,2006,520
2001,Northern Piedmont,Ag Contraction: Pasture,Ag Contraction,2001,2006,880.0000000000001
2001,Southeastern Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,55560
2001,Blue Ridge,Ag Contraction: Pasture,Ag Contraction,2001,2006,1860.0000000000002
2001,Ridge and Valley,Ag Contraction: Pasture,Ag Contraction,2001,2006,6420
2001,Southwestern Appalachians,Ag Contraction: Pasture,Ag Contraction,2001,2006,4700
2001,Central Appalachians,Ag Contraction: Pasture,Ag Contraction,2001,2006,2080
2001,Western Allegheny Plateau,Ag Contraction: Pasture,Ag Contraction,2001,2006,3940
2001,Interior Plateau,Ag Contraction: Pasture,Ag Contraction,2001,2006,7800
2001,Interior River Valleys and Hills,Ag Contraction: Pasture,Ag Contraction,2001,2006,2760
2001,Mississippi Alluvial Plain,Ag Contraction: Pasture,Ag Contraction,2001,2006,720
2001,Mississippi Valley Loess Plains,Ag Contraction: Pasture,Ag Contraction,2001,2006,11960
2001,Southern Coastal Plain,Ag Contraction: Pasture,Ag Contraction,2001,2006,15880.000000000002
2001,Southern Florida Coastal Plain,Ag Contraction: Pasture,Ag Contraction,2001,2006,120
2001,North Cascades,Ag Contraction: Pasture,Ag Contraction,2001,2006,80
2001,Klamath Mountains/California High North Coast Range,Ag Contraction: Pasture,Ag Contraction,2001,2006,100
2001,Madrean Archipelago,Ag Contraction: Pasture,Ag Contraction,2001,2006,0
2001,Northern Basin and Range,Ag Contraction: Pasture,Ag Contraction,2001,2006,500
2001,Sonoran Basin and Range,Ag Contraction: Pasture,Ag Contraction,2001,2006,100
2001,Acadian Plains and Hills,Ag Contraction: Pasture,Ag Contraction,2001,2006,1100
2001,Eastern Great Lakes Lowlands,Ag Contraction: Pasture,Ag Contraction,2001,2006,1920
2001,Atlantic Coastal Pine Barrens,Ag Contraction: Pasture,Ag Contraction,2001,2006,120
2001,Southern California/Northern Baja Coast,Ag Contraction: Pasture,Ag Contraction,2001,2006,60
2007,Coast Range,Ag Contraction: Pasture,Ag Contraction,2007,2012,120
2007,Puget Lowland,Ag Contraction: Pasture,Ag Contraction,2007,2012,320
2007,Willamette Valley,Ag Contraction: Pasture,Ag Contraction,2007,2012,800
2007,Cascades,Ag Contraction: Pasture,Ag Contraction,2007,2012,140
2007,Sierra Nevada,Ag Contraction: Pasture,Ag Contraction,2007,2012,0
2007,Central California Foothills and Coastal Mountains,Ag Contraction: Pasture,Ag Contraction,2007,2012,80
2007,Central California Valley,Ag Contraction: Pasture,Ag Contraction,2007,2012,100
2007,Southern California Mountains,Ag Contraction: Pasture,Ag Contraction,2007,2012,0
2007,Eastern Cascades Slopes and Foothills,Ag Contraction: Pasture,Ag Contraction,2007,2012,600
2007,Columbia Plateau,Ag Contraction: Pasture,Ag Contraction,2007,2012,320
2007,Blue Mountains,Ag Contraction: Pasture,Ag Contraction,2007,2012,120
2007,Snake River Plain,Ag Contraction: Pasture,Ag Contraction,2007,2012,60
2007,Central Basin and Range,Ag Contraction: Pasture,Ag Contraction,2007,2012,260
2007,Mojave Basin and Range,Ag Contraction: Pasture,Ag Contraction,2007,2012,0
2007,Northern Rockies,Ag Contraction: Pasture,Ag Contraction,2007,2012,180
2007,Idaho Batholith,Ag Contraction: Pasture,Ag Contraction,2007,2012,0
2007,Middle Rockies,Ag Contraction: Pasture,Ag Contraction,2007,2012,120
2007,Wyoming Basin,Ag Contraction: Pasture,Ag Contraction,2007,2012,520
2007,Wasatch and Uinta Mountains,Ag Contraction: Pasture,Ag Contraction,2007,2012,80
2007,Colorado Plateaus,Ag Contraction: Pasture,Ag Contraction,2007,2012,260
2007,Southern Rockies,Ag Contraction: Pasture,Ag Contraction,2007,2012,180
2007,Arizona/New Mexico Plateau,Ag Contraction: Pasture,Ag Contraction,2007,2012,180
2007,Arizona/New Mexico Mountains,Ag Contraction: Pasture,Ag Contraction,2007,2012,0
2007,Chihuahuan Deserts,Ag Contraction: Pasture,Ag Contraction,2007,2012,20
2007,High Plains,Ag Contraction: Pasture,Ag Contraction,2007,2012,919.9999999999999
2007,Southwestern Tablelands,Ag Contraction: Pasture,Ag Contraction,2007,2012,20
2007,Central Great Plains,Ag Contraction: Pasture,Ag Contraction,2007,2012,420
2007,Flint Hills,Ag Contraction: Pasture,Ag Contraction,2007,2012,100
2007,Cross Timbers,Ag Contraction: Pasture,Ag Contraction,2007,2012,380
2007,Edwards Plateau,Ag Contraction: Pasture,Ag Contraction,2007,2012,20
2007,Southern Texas Plains,Ag Contraction: Pasture,Ag Contraction,2007,2012,140
2007,Texas Blackland Prairies,Ag Contraction: Pasture,Ag Contraction,2007,2012,1280
2007,East Central Texas Plains,Ag Contraction: Pasture,Ag Contraction,2007,2012,4900
2007,Western Gulf Coastal Plain,Ag Contraction: Pasture,Ag Contraction,2007,2012,3579.9999999999995
2007,South Central Plains,Ag Contraction: Pasture,Ag Contraction,2007,2012,12760
2007,Ouachita Mountains,Ag Contraction: Pasture,Ag Contraction,2007,2012,860
2007,Arkansas Valley,Ag Contraction: Pasture,Ag Contraction,2007,2012,1839.9999999999998
2007,Boston Mountains,Ag Contraction: Pasture,Ag Contraction,2007,2012,620
2007,Ozark Highlands,Ag Contraction: Pasture,Ag Contraction,2007,2012,6380
2007,Central Irregular Plains,Ag Contraction: Pasture,Ag Contraction,2007,2012,6440.000000000001
2007,Canadian Rockies,Ag Contraction: Pasture,Ag Contraction,2007,2012,0
2007,Northwestern Glaciated Plains,Ag Contraction: Pasture,Ag Contraction,2007,2012,1320
2007,Northwestern Great Plains,Ag Contraction: Pasture,Ag Contraction,2007,2012,940
2007,Nebraska Sand Hills,Ag Contraction: Pasture,Ag Contraction,2007,2012,240
2007,Piedmont,Ag Contraction: Pasture,Ag Contraction,2007,2012,12140
2007,Northern Glaciated Plains,Ag Contraction: Pasture,Ag Contraction,2007,2012,2960
2007,Western Corn Belt Plains,Ag Contraction: Pasture,Ag Contraction,2007,2012,1300
2007,Lake Agassiz Plain,Ag Contraction: Pasture,Ag Contraction,2007,2012,780
2007,Northern Minnesota Wetlands,Ag Contraction: Pasture,Ag Contraction,2007,2012,459.99999999999994
2007,Northern Lakes and Forests,Ag Contraction: Pasture,Ag Contraction,2007,2012,1580
2007,North Central Hardwood Forests,Ag Contraction: Pasture,Ag Contraction,2007,2012,1040
2007,Driftless Area,Ag Contraction: Pasture,Ag Contraction,2007,2012,600
2007,Southeastern Wisconsin Till Plains,Ag Contraction: Pasture,Ag Contraction,2007,2012,200
2007,Central Corn Belt Plains,Ag Contraction: Pasture,Ag Contraction,2007,2012,180
2007,Eastern Corn Belt Plains,Ag Contraction: Pasture,Ag Contraction,2007,2012,940
2007,Southern Michigan/Northern Indiana Drift Plains,Ag Contraction: Pasture,Ag Contraction,2007,2012,459.99999999999994
2007,Huron/Erie Lake Plains,Ag Contraction: Pasture,Ag Contraction,2007,2012,40
2007,Northeastern Highlands,Ag Contraction: Pasture,Ag Contraction,2007,2012,1760.0000000000002
2007,Northeastern Coastal Zone,Ag Contraction: Pasture,Ag Contraction,2007,2012,680
2007,Northern Allegheny Plateau,Ag Contraction: Pasture,Ag Contraction,2007,2012,3040
