StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Coast Range,Fire: High Severity,Fire,1999,1999,0,Iteration and Timestep,0
Coast Range,Fire: High Severity,Fire,2000,2000,0,Iteration and Timestep,0
Coast Range,Fire: High Severity,Fire,2001,2001,0,Iteration and Timestep,0
Coast Range,Fire: High Severity,Fire,2002,2002,200,Iteration and Timestep,100
Coast Range,Fire: High Severity,Fire,2003,2003,1700,Iteration and Timestep,850
Coast Range,Fire: High Severity,Fire,2004,2004,0,Iteration and Timestep,0
Coast Range,Fire: High Severity,Fire,2005,2005,300,Iteration and Timestep,150
Coast Range,Fire: High Severity,Fire,2006,2006,0,Iteration and Timestep,0
Coast Range,Fire: High Severity,Fire,2007,2007,0,Iteration and Timestep,0
Coast Range,Fire: High Severity,Fire,2008,2008,1000,Iteration and Timestep,500
Coast Range,Fire: High Severity,Fire,2009,2009,300,Iteration and Timestep,150
Coast Range,Fire: High Severity,Fire,2010,2010,0,Iteration and Timestep,0
Coast Range,Fire: High Severity,Fire,2011,2011,0,Iteration and Timestep,0
Coast Range,Fire: High Severity,Fire,2012,2012,0,Iteration and Timestep,0
Coast Range,Fire: High Severity,Fire,2013,2013,0,Iteration and Timestep,0
Coast Range,Fire: High Severity,Fire,2014,2014,400,Iteration and Timestep,200
Coast Range,Fire: High Severity,Fire,2015,2015,100,Iteration and Timestep,50
Coast Range,Fire: High Severity,Fire,2016,2016,200,Iteration and Timestep,100
Cascades,Fire: High Severity,Fire,1999,1999,600,Iteration and Timestep,300
Cascades,Fire: High Severity,Fire,2000,2000,400,Iteration and Timestep,200
Cascades,Fire: High Severity,Fire,2001,2001,0,Iteration and Timestep,0
Cascades,Fire: High Severity,Fire,2002,2002,200,Iteration and Timestep,100
Cascades,Fire: High Severity,Fire,2003,2003,200,Iteration and Timestep,100
Cascades,Fire: High Severity,Fire,2004,2004,400,Iteration and Timestep,200
Cascades,Fire: High Severity,Fire,2005,2005,100,Iteration and Timestep,50
Cascades,Fire: High Severity,Fire,2006,2006,300,Iteration and Timestep,150
Cascades,Fire: High Severity,Fire,2007,2007,200,Iteration and Timestep,100
Cascades,Fire: High Severity,Fire,2008,2008,2600,Iteration and Timestep,1300
Cascades,Fire: High Severity,Fire,2009,2009,2400,Iteration and Timestep,1200
Cascades,Fire: High Severity,Fire,2010,2010,0,Iteration and Timestep,0
Cascades,Fire: High Severity,Fire,2011,2011,0,Iteration and Timestep,0
Cascades,Fire: High Severity,Fire,2012,2012,8100,Iteration and Timestep,4050
Cascades,Fire: High Severity,Fire,2013,2013,200,Iteration and Timestep,100
Cascades,Fire: High Severity,Fire,2014,2014,8900,Iteration and Timestep,4450
Cascades,Fire: High Severity,Fire,2015,2015,0,Iteration and Timestep,0
Cascades,Fire: High Severity,Fire,2016,2016,200,Iteration and Timestep,100
Sierra Nevada,Fire: High Severity,Fire,1999,1999,3300,Iteration and Timestep,1650
Sierra Nevada,Fire: High Severity,Fire,2000,2000,12000,Iteration and Timestep,6000
Sierra Nevada,Fire: High Severity,Fire,2001,2001,9500,Iteration and Timestep,4750
Sierra Nevada,Fire: High Severity,Fire,2002,2002,18300,Iteration and Timestep,9150
Sierra Nevada,Fire: High Severity,Fire,2003,2003,2200,Iteration and Timestep,1100
Sierra Nevada,Fire: High Severity,Fire,2004,2004,3600,Iteration and Timestep,1800
Sierra Nevada,Fire: High Severity,Fire,2005,2005,900,Iteration and Timestep,450
Sierra Nevada,Fire: High Severity,Fire,2006,2006,1500,Iteration and Timestep,750
Sierra Nevada,Fire: High Severity,Fire,2007,2007,17000,Iteration and Timestep,8500
Sierra Nevada,Fire: High Severity,Fire,2008,2008,20000,Iteration and Timestep,10000
Sierra Nevada,Fire: High Severity,Fire,2009,2009,3100,Iteration and Timestep,1550
Sierra Nevada,Fire: High Severity,Fire,2010,2010,2000,Iteration and Timestep,1000
Sierra Nevada,Fire: High Severity,Fire,2011,2011,2500,Iteration and Timestep,1250
Sierra Nevada,Fire: High Severity,Fire,2012,2012,8600,Iteration and Timestep,4300
Sierra Nevada,Fire: High Severity,Fire,2013,2013,25700,Iteration and Timestep,12850
Sierra Nevada,Fire: High Severity,Fire,2014,2014,20000,Iteration and Timestep,10000
Sierra Nevada,Fire: High Severity,Fire,2015,2015,18300,Iteration and Timestep,9150
Sierra Nevada,Fire: High Severity,Fire,2016,2016,14800,Iteration and Timestep,7400
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,1999,1999,9700,Iteration and Timestep,4850
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2000,2000,5200,Iteration and Timestep,2600
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2001,2001,5200,Iteration and Timestep,2600
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2002,2002,2900,Iteration and Timestep,1450
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2003,2003,2900,Iteration and Timestep,1450
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2004,2004,2700,Iteration and Timestep,1350
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2005,2005,2900,Iteration and Timestep,1450
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2006,2006,4300,Iteration and Timestep,2150
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2007,2007,5400,Iteration and Timestep,2700
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2008,2008,24000,Iteration and Timestep,12000
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2009,2009,3100,Iteration and Timestep,1550
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2010,2010,1500,Iteration and Timestep,750
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2011,2011,1800,Iteration and Timestep,900
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2012,2012,3100,Iteration and Timestep,1550
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2013,2013,1400,Iteration and Timestep,700
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2014,2014,2900,Iteration and Timestep,1450
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2015,2015,24200,Iteration and Timestep,12100
Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2016,2016,7100,Iteration and Timestep,3550
Central California Valley,Fire: High Severity,Fire,1999,1999,0,Iteration and Timestep,0
Central California Valley,Fire: High Severity,Fire,2000,2000,100,Iteration and Timestep,50
Central California Valley,Fire: High Severity,Fire,2001,2001,1300,Iteration and Timestep,650
Central California Valley,Fire: High Severity,Fire,2002,2002,100,Iteration and Timestep,50
Central California Valley,Fire: High Severity,Fire,2003,2003,500,Iteration and Timestep,250
Central California Valley,Fire: High Severity,Fire,2004,2004,0,Iteration and Timestep,0
Central California Valley,Fire: High Severity,Fire,2005,2005,100,Iteration and Timestep,50
Central California Valley,Fire: High Severity,Fire,2006,2006,400,Iteration and Timestep,200
Central California Valley,Fire: High Severity,Fire,2007,2007,200,Iteration and Timestep,100
Central California Valley,Fire: High Severity,Fire,2008,2008,400,Iteration and Timestep,200
Central California Valley,Fire: High Severity,Fire,2009,2009,100,Iteration and Timestep,50
Central California Valley,Fire: High Severity,Fire,2010,2010,200,Iteration and Timestep,100
Central California Valley,Fire: High Severity,Fire,2011,2011,700,Iteration and Timestep,350
Central California Valley,Fire: High Severity,Fire,2012,2012,0,Iteration and Timestep,0
Central California Valley,Fire: High Severity,Fire,2013,2013,100,Iteration and Timestep,50
Central California Valley,Fire: High Severity,Fire,2014,2014,0,Iteration and Timestep,0
Central California Valley,Fire: High Severity,Fire,2015,2015,100,Iteration and Timestep,50
Central California Valley,Fire: High Severity,Fire,2016,2016,100,Iteration and Timestep,50
Southern California Mountains,Fire: High Severity,Fire,1999,1999,12000,Iteration and Timestep,6000
Southern California Mountains,Fire: High Severity,Fire,2000,2000,1700,Iteration and Timestep,850
Southern California Mountains,Fire: High Severity,Fire,2001,2001,700,Iteration and Timestep,350
Southern California Mountains,Fire: High Severity,Fire,2002,2002,17400,Iteration and Timestep,8700
Southern California Mountains,Fire: High Severity,Fire,2003,2003,51900,Iteration and Timestep,25950
Southern California Mountains,Fire: High Severity,Fire,2004,2004,2900,Iteration and Timestep,1450
Southern California Mountains,Fire: High Severity,Fire,2005,2005,500,Iteration and Timestep,250
Southern California Mountains,Fire: High Severity,Fire,2006,2006,18000,Iteration and Timestep,9000
Southern California Mountains,Fire: High Severity,Fire,2007,2007,79900,Iteration and Timestep,39950
Southern California Mountains,Fire: High Severity,Fire,2008,2008,1800,Iteration and Timestep,900
Southern California Mountains,Fire: High Severity,Fire,2009,2009,25000,Iteration and Timestep,12500
Southern California Mountains,Fire: High Severity,Fire,2010,2010,600,Iteration and Timestep,300
Southern California Mountains,Fire: High Severity,Fire,2011,2011,300,Iteration and Timestep,150
Southern California Mountains,Fire: High Severity,Fire,2012,2012,1200,Iteration and Timestep,600
Southern California Mountains,Fire: High Severity,Fire,2013,2013,11500,Iteration and Timestep,5750
Southern California Mountains,Fire: High Severity,Fire,2014,2014,100,Iteration and Timestep,50
Southern California Mountains,Fire: High Severity,Fire,2015,2015,800,Iteration and Timestep,400
Southern California Mountains,Fire: High Severity,Fire,2016,2016,2000,Iteration and Timestep,1000
Eastern Cascades Slopes and Foothills,Fire: High Severity,Fire,1999,1999,100,Iteration and Timestep,50
Eastern Cascades Slopes and Foothills,Fire: High Severity,Fire,2000,2000,0,Iteration and Timestep,0
