StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
Cascades,Fire: Annual Variability,Fire,1999,1999,0.5186226282501757
Central Basin and Range,Fire: Annual Variability,Fire,1999,1999,0.6732283464566929
Central California Foothills and Coastal Mountains,Fire: Annual Variability,Fire,1999,1999,2.3301125082726672
Central California Valley,Fire: Annual Variability,Fire,1999,1999,0.38372093023255816
Coast Range,Fire: Annual Variability,Fire,1999,1999,0
Eastern Cascades Slopes and Foothills,Fire: Annual Variability,Fire,1999,1999,1.549830508474576
Klamath Mountains/California High North Coast Range,Fire: Annual Variability,Fire,1999,1999,1.536518563603165
Mojave Basin and Range,Fire: Annual Variability,Fire,1999,1999,1.9541616405307598
Northern Basin and Range,Fire: Annual Variability,Fire,1999,1999,0.6443418013856813
Sierra Nevada,Fire: Annual Variability,Fire,1999,1999,0.7348306241469166
Sonoran Basin and Range,Fire: Annual Variability,Fire,1999,1999,0.5313653136531366
Southern California Mountains,Fire: Annual Variability,Fire,1999,1999,0.9656328583403185
Southern California/Northern Baja Coast,Fire: Annual Variability,Fire,1999,1999,0.31251507113576077
Cascades,Fire: Annual Variability,Fire,2000,2000,0.6324666198172875
Central Basin and Range,Fire: Annual Variability,Fire,2000,2000,0.46062992125984253
Central California Foothills and Coastal Mountains,Fire: Annual Variability,Fire,2000,2000,0.7338186631369954
Central California Valley,Fire: Annual Variability,Fire,2000,2000,0.20930232558139536
Coast Range,Fire: Annual Variability,Fire,2000,2000,0
Eastern Cascades Slopes and Foothills,Fire: Annual Variability,Fire,2000,2000,0.07322033898305084
Klamath Mountains/California High North Coast Range,Fire: Annual Variability,Fire,2000,2000,0.0657334144856969
Mojave Basin and Range,Fire: Annual Variability,Fire,2000,2000,0.4559710494571773
Northern Basin and Range,Fire: Annual Variability,Fire,2000,2000,0
Sierra Nevada,Fire: Annual Variability,Fire,2000,2000,0.9648839806427597
Sonoran Basin and Range,Fire: Annual Variability,Fire,2000,2000,0
Southern California Mountains,Fire: Annual Variability,Fire,2000,2000,0.1383067896060352
Southern California/Northern Baja Coast,Fire: Annual Variability,Fire,2000,2000,0.17795997106341932
Cascades,Fire: Annual Variability,Fire,2001,2001,0.050597329585382995
Central Basin and Range,Fire: Annual Variability,Fire,2001,2001,1.8779527559055118
Central California Foothills and Coastal Mountains,Fire: Annual Variability,Fire,2001,2001,0.4645929847782926
Central California Valley,Fire: Annual Variability,Fire,2001,2001,0.872093023255814
Coast Range,Fire: Annual Variability,Fire,2001,2001,0.30508474576271183
Eastern Cascades Slopes and Foothills,Fire: Annual Variability,Fire,2001,2001,3.661016949152542
Klamath Mountains/California High North Coast Range,Fire: Annual Variability,Fire,2001,2001,0.2985392574558734
Mojave Basin and Range,Fire: Annual Variability,Fire,2001,2001,0
Northern Basin and Range,Fire: Annual Variability,Fire,2001,2001,1.6212471131639723
Sierra Nevada,Fire: Annual Variability,Fire,2001,2001,0.7191959300161311
Sonoran Basin and Range,Fire: Annual Variability,Fire,2001,2001,0
Southern California Mountains,Fire: Annual Variability,Fire,2001,2001,0.08549874266554904
Southern California/Northern Baja Coast,Fire: Annual Variability,Fire,2001,2001,0.33421750663129973
Cascades,Fire: Annual Variability,Fire,2002,2002,0.20238931834153198
Central Basin and Range,Fire: Annual Variability,Fire,2002,2002,2.7992125984251968
Central California Foothills and Coastal Mountains,Fire: Annual Variability,Fire,2002,2002,0.4383851753805427
Central California Valley,Fire: Annual Variability,Fire,2002,2002,0.38372093023255816
Coast Range,Fire: Annual Variability,Fire,2002,2002,0.3559322033898305
Eastern Cascades Slopes and Foothills,Fire: Annual Variability,Fire,2002,2002,0.21966101694915252
Klamath Mountains/California High North Coast Range,Fire: Annual Variability,Fire,2002,2002,0.45739500912964093
Mojave Basin and Range,Fire: Annual Variability,Fire,2002,2002,0.3474065138721351
Northern Basin and Range,Fire: Annual Variability,Fire,2002,2002,0.35334872979214776
Sierra Nevada,Fire: Annual Variability,Fire,2002,2002,1.4741283037597719
Sonoran Basin and Range,Fire: Annual Variability,Fire,2002,2002,6.509225092250922
Southern California Mountains,Fire: Annual Variability,Fire,2002,2002,1.9916177703269071
Southern California/Northern Baja Coast,Fire: Annual Variability,Fire,2002,2002,0.286472148541114
Cascades,Fire: Annual Variability,Fire,2003,2003,0.2656359803232607
Central Basin and Range,Fire: Annual Variability,Fire,2003,2003,0.5669291338582677
Central California Foothills and Coastal Mountains,Fire: Annual Variability,Fire,2003,2003,0.6003970880211781
Central California Valley,Fire: Annual Variability,Fire,2003,2003,0.5581395348837209
Coast Range,Fire: Annual Variability,Fire,2003,2003,4.067796610169491
Eastern Cascades Slopes and Foothills,Fire: Annual Variability,Fire,2003,2003,0.5979661016949152
Klamath Mountains/California High North Coast Range,Fire: Annual Variability,Fire,2003,2003,0.2519780888618381
Mojave Basin and Range,Fire: Annual Variability,Fire,2003,2003,0.9770808202653799
Northern Basin and Range,Fire: Annual Variability,Fire,2003,2003,0.45727482678983833
Sierra Nevada,Fire: Annual Variability,Fire,2003,2003,0.5204119617818588
Sonoran Basin and Range,Fire: Annual Variability,Fire,2003,2003,0.5977859778597786
Southern California Mountains,Fire: Annual Variability,Fire,2003,2003,2.6781223805532273
Southern California/Northern Baja Coast,Fire: Annual Variability,Fire,2003,2003,6.5367735712563295
Cascades,Fire: Annual Variability,Fire,2004,2004,0.5059732958538299
Central Basin and Range,Fire: Annual Variability,Fire,2004,2004,0.49606299212598426
Central California Foothills and Coastal Mountains,Fire: Annual Variability,Fire,2004,2004,0.6480476505625414
Central California Valley,Fire: Annual Variability,Fire,2004,2004,0.4534883720930233
Coast Range,Fire: Annual Variability,Fire,2004,2004,0.15254237288135591
Eastern Cascades Slopes and Foothills,Fire: Annual Variability,Fire,2004,2004,0.3294915254237288
Klamath Mountains/California High North Coast Range,Fire: Annual Variability,Fire,2004,2004,0.3478393183201461
Mojave Basin and Range,Fire: Annual Variability,Fire,2004,2004,0.3039806996381182
Northern Basin and Range,Fire: Annual Variability,Fire,2004,2004,0.04157043879907621
Sierra Nevada,Fire: Annual Variability,Fire,2004,2004,0.45563965752574764
Sonoran Basin and Range,Fire: Annual Variability,Fire,2004,2004,0.13284132841328414
Southern California Mountains,Fire: Annual Variability,Fire,2004,2004,0.49287510477787094
Southern California/Northern Baja Coast,Fire: Annual Variability,Fire,2004,2004,0.6901374487581383
Cascades,Fire: Annual Variability,Fire,2005,2005,0.657765284609979
Central Basin and Range,Fire: Annual Variability,Fire,2005,2005,0.17716535433070865
Central California Foothills and Coastal Mountains,Fire: Annual Variability,Fire,2005,2005,0.6456651224354732
Central California Valley,Fire: Annual Variability,Fire,2005,2005,1.186046511627907
Coast Range,Fire: Annual Variability,Fire,2005,2005,0.5084745762711864
Eastern Cascades Slopes and Foothills,Fire: Annual Variability,Fire,2005,2005,0.48813559322033895
Klamath Mountains/California High North Coast Range,Fire: Annual Variability,Fire,2005,2005,0.1040779062690201
Mojave Basin and Range,Fire: Annual Variability,Fire,2005,2005,8.381182147165259
Northern Basin and Range,Fire: Annual Variability,Fire,2005,2005,0
Sierra Nevada,Fire: Annual Variability,Fire,2005,2005,0.3238615212805559
Sonoran Basin and Range,Fire: Annual Variability,Fire,2005,2005,0.9298892988929889
Southern California Mountains,Fire: Annual Variability,Fire,2005,2005,0.11064543168482817
Southern California/Northern Baja Coast,Fire: Annual Variability,Fire,2005,2005,0.7074993971545696
Cascades,Fire: Annual Variability,Fire,2006,2006,0.9360505973295854
Central Basin and Range,Fire: Annual Variability,Fire,2006,2006,1.7007874015748032
Central California Foothills and Coastal Mountains,Fire: Annual Variability,Fire,2006,2006,0.9363335539377896
Central California Valley,Fire: Annual Variability,Fire,2006,2006,0.8372093023255814
Coast Range,Fire: Annual Variability,Fire,2006,2006,0.30508474576271183
Eastern Cascades Slopes and Foothills,Fire: Annual Variability,Fire,2006,2006,1.1227118644067795
Klamath Mountains/California High North Coast Range,Fire: Annual Variability,Fire,2006,2006,1.4899573950091296
Mojave Basin and Range,Fire: Annual Variability,Fire,2006,2006,1.8890229191797345
Northern Basin and Range,Fire: Annual Variability,Fire,2006,2006,0.14549653579676675
Sierra Nevada,Fire: Annual Variability,Fire,2006,2006,0.5204119617818588
Sonoran Basin and Range,Fire: Annual Variability,Fire,2006,2006,0
Southern California Mountains,Fire: Annual Variability,Fire,2006,2006,2.7862531433361277
Southern California/Northern Baja Coast,Fire: Annual Variability,Fire,2006,2006,0.9115022908126356
Cascades,Fire: Annual Variability,Fire,2007,2007,0.354181307097681
Central Basin and Range,Fire: Annual Variability,Fire,2007,2007,3.1181102362204727
Central California Foothills and Coastal Mountains,Fire: Annual Variability,Fire,2007,2007,0.7219060225016546
Central California Valley,Fire: Annual Variability,Fire,2007,2007,0.6627906976744187
Coast Range,Fire: Annual Variability,Fire,2007,2007,0.10169491525423728
Eastern Cascades Slopes and Foothills,Fire: Annual Variability,Fire,2007,2007,0.3661016949152542
Klamath Mountains/California High North Coast Range,Fire: Annual Variability,Fire,2007,2007,0.3286670724284845
Mojave Basin and Range,Fire: Annual Variability,Fire,2007,2007,0.738238841978287
Northern Basin and Range,Fire: Annual Variability,Fire,2007,2007,0.020785219399538105
Sierra Nevada,Fire: Annual Variability,Fire,2007,2007,1.3423501675145801
Sonoran Basin and Range,Fire: Annual Variability,Fire,2007,2007,0.1992619926199262
Southern California Mountains,Fire: Annual Variability,Fire,2007,2007,3.5431684828164296
Southern California/Northern Baja Coast,Fire: Annual Variability,Fire,2007,2007,4.323125150711357
Cascades,Fire: Annual Variability,Fire,2008,2008,1.7962052002810962
Central Basin and Range,Fire: Annual Variability,Fire,2008,2008,0.46062992125984253
Central California Foothills and Coastal Mountains,Fire: Annual Variability,Fire,2008,2008,3.071078755790867
Central California Valley,Fire: Annual Variability,Fire,2008,2008,1.3255813953488373
Coast Range,Fire: Annual Variability,Fire,2008,2008,6.406779661016949
Eastern Cascades Slopes and Foothills,Fire: Annual Variability,Fire,2008,2008,0.5857627118644068
Klamath Mountains/California High North Coast Range,Fire: Annual Variability,Fire,2008,2008,4.891661594643944
Mojave Basin and Range,Fire: Annual Variability,Fire,2008,2008,0.021712907117008445
Northern Basin and Range,Fire: Annual Variability,Fire,2008,2008,0
Sierra Nevada,Fire: Annual Variability,Fire,2008,2008,2.0503784588658642
Sonoran Basin and Range,Fire: Annual Variability,Fire,2008,2008,0.06642066420664207
Southern California Mountains,Fire: Annual Variability,Fire,2008,2008,0.2112321877619447
Southern California/Northern Baja Coast,Fire: Annual Variability,Fire,2008,2008,1.3585724620207378
Cascades,Fire: Annual Variability,Fire,2009,2009,1.9732958538299368
Central Basin and Range,Fire: Annual Variability,Fire,2009,2009,0.531496062992126
Central California Foothills and Coastal Mountains,Fire: Annual Variability,Fire,2009,2009,0.6003970880211781
Central California Valley,Fire: Annual Variability,Fire,2009,2009,0.48837209302325585
Coast Range,Fire: Annual Variability,Fire,2009,2009,1.576271186440678
Eastern Cascades Slopes and Foothills,Fire: Annual Variability,Fire,2009,2009,0.5369491525423729
