StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionTypeID
Coast Range,Fire: Low Severity,Fire,1999,1999,0,Iteration and Timestep,NA,NA
Coast Range,Fire: Low Severity,Fire,2000,2000,0,Iteration and Timestep,NA,NA
Coast Range,Fire: Low Severity,Fire,2001,2001,500,Iteration and Timestep,250,Normal
Coast Range,Fire: Low Severity,Fire,2002,2002,200,Iteration and Timestep,100,Normal
Coast Range,Fire: Low Severity,Fire,2003,2003,5000,Iteration and Timestep,2500,Normal
Coast Range,Fire: Low Severity,Fire,2004,2004,200,Iteration and Timestep,100,Normal
Coast Range,Fire: Low Severity,Fire,2005,2005,600,Iteration and Timestep,300,Normal
Coast Range,Fire: Low Severity,Fire,2006,2006,300,Iteration and Timestep,150,Normal
Coast Range,Fire: Low Severity,Fire,2007,2007,100,Iteration and Timestep,50,Normal
Coast Range,Fire: Low Severity,Fire,2008,2008,8600,Iteration and Timestep,4300,Normal
Coast Range,Fire: Low Severity,Fire,2009,2009,2500,Iteration and Timestep,1250,Normal
Coast Range,Fire: Low Severity,Fire,2010,2010,800,Iteration and Timestep,400,Normal
Coast Range,Fire: Low Severity,Fire,2011,2011,400,Iteration and Timestep,200,Normal
Coast Range,Fire: Low Severity,Fire,2012,2012,100,Iteration and Timestep,50,Normal
Coast Range,Fire: Low Severity,Fire,2013,2013,100,Iteration and Timestep,50,Normal
Coast Range,Fire: Low Severity,Fire,2014,2014,3600,Iteration and Timestep,1800,Normal
Coast Range,Fire: Low Severity,Fire,2015,2015,600,Iteration and Timestep,300,Normal
Coast Range,Fire: Low Severity,Fire,2016,2016,1100,Iteration and Timestep,550,Normal
Cascades,Fire: Low Severity,Fire,1999,1999,2600,Iteration and Timestep,1300,Normal
Cascades,Fire: Low Severity,Fire,2000,2000,3300,Iteration and Timestep,1650,Normal
Cascades,Fire: Low Severity,Fire,2001,2001,200,Iteration and Timestep,100,Normal
Cascades,Fire: Low Severity,Fire,2002,2002,1000,Iteration and Timestep,500,Normal
Cascades,Fire: Low Severity,Fire,2003,2003,1500,Iteration and Timestep,750,Normal
Cascades,Fire: Low Severity,Fire,2004,2004,3000,Iteration and Timestep,1500,Normal
Cascades,Fire: Low Severity,Fire,2005,2005,4300,Iteration and Timestep,2150,Normal
Cascades,Fire: Low Severity,Fire,2006,2006,5500,Iteration and Timestep,2750,Normal
Cascades,Fire: Low Severity,Fire,2007,2007,2400,Iteration and Timestep,1200,Normal
Cascades,Fire: Low Severity,Fire,2008,2008,7700,Iteration and Timestep,3850,Normal
Cascades,Fire: Low Severity,Fire,2009,2009,9400,Iteration and Timestep,4700,Normal
Cascades,Fire: Low Severity,Fire,2010,2010,2000,Iteration and Timestep,1000,Normal
Cascades,Fire: Low Severity,Fire,2011,2011,1700,Iteration and Timestep,850,Normal
Cascades,Fire: Low Severity,Fire,2012,2012,11300,Iteration and Timestep,5650,Normal
Cascades,Fire: Low Severity,Fire,2013,2013,3300,Iteration and Timestep,1650,Normal
Cascades,Fire: Low Severity,Fire,2014,2014,12500,Iteration and Timestep,6250,Normal
Cascades,Fire: Low Severity,Fire,2015,2015,6200,Iteration and Timestep,3100,Normal
Cascades,Fire: Low Severity,Fire,2016,2016,3600,Iteration and Timestep,1800,Normal
Sierra Nevada,Fire: Low Severity,Fire,1999,1999,20100,Iteration and Timestep,10050,Normal
Sierra Nevada,Fire: Low Severity,Fire,2000,2000,18100,Iteration and Timestep,9050,Normal
Sierra Nevada,Fire: Low Severity,Fire,2001,2001,12900,Iteration and Timestep,6450,Normal
Sierra Nevada,Fire: Low Severity,Fire,2002,2002,27400,Iteration and Timestep,13700,Normal
Sierra Nevada,Fire: Low Severity,Fire,2003,2003,14600,Iteration and Timestep,7300,Normal
Sierra Nevada,Fire: Low Severity,Fire,2004,2004,10400,Iteration and Timestep,5200,Normal
Sierra Nevada,Fire: Low Severity,Fire,2005,2005,10500,Iteration and Timestep,5250,Normal
Sierra Nevada,Fire: Low Severity,Fire,2006,2006,15900,Iteration and Timestep,7950,Normal
Sierra Nevada,Fire: Low Severity,Fire,2007,2007,25600,Iteration and Timestep,12800,Normal
Sierra Nevada,Fire: Low Severity,Fire,2008,2008,45600,Iteration and Timestep,22800,Normal
Sierra Nevada,Fire: Low Severity,Fire,2009,2009,22100,Iteration and Timestep,11050,Normal
Sierra Nevada,Fire: Low Severity,Fire,2010,2010,7000,Iteration and Timestep,3500,Normal
Sierra Nevada,Fire: Low Severity,Fire,2011,2011,18600,Iteration and Timestep,9300,Normal
Sierra Nevada,Fire: Low Severity,Fire,2012,2012,18000,Iteration and Timestep,9000,Normal
Sierra Nevada,Fire: Low Severity,Fire,2013,2013,47200,Iteration and Timestep,23600,Normal
Sierra Nevada,Fire: Low Severity,Fire,2014,2014,18300,Iteration and Timestep,9150,Normal
Sierra Nevada,Fire: Low Severity,Fire,2015,2015,38300,Iteration and Timestep,19150,Normal
Sierra Nevada,Fire: Low Severity,Fire,2016,2016,17300,Iteration and Timestep,8650,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,1999,1999,57400,Iteration and Timestep,28700,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2000,2000,15900,Iteration and Timestep,7950,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2001,2001,8400,Iteration and Timestep,4200,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2002,2002,10600,Iteration and Timestep,5300,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2003,2003,16700,Iteration and Timestep,8350,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2004,2004,17700,Iteration and Timestep,8850,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2005,2005,16100,Iteration and Timestep,8050,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2006,2006,23900,Iteration and Timestep,11950,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2007,2007,16600,Iteration and Timestep,8300,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2008,2008,58800,Iteration and Timestep,29400,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2009,2009,13600,Iteration and Timestep,6800,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2010,2010,11400,Iteration and Timestep,5700,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2011,2011,26000,Iteration and Timestep,13000,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2012,2012,12600,Iteration and Timestep,6300,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2013,2013,14300,Iteration and Timestep,7150,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2014,2014,6900,Iteration and Timestep,3450,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2015,2015,37500,Iteration and Timestep,18750,Normal
Central California Foothills and Coastal Mountains,Fire: Low Severity,Fire,2016,2016,53000,Iteration and Timestep,26500,Normal
Central California Valley,Fire: Low Severity,Fire,1999,1999,1000,Iteration and Timestep,500,Normal
Central California Valley,Fire: Low Severity,Fire,2000,2000,200,Iteration and Timestep,100,Normal
Central California Valley,Fire: Low Severity,Fire,2001,2001,700,Iteration and Timestep,350,Normal
Central California Valley,Fire: Low Severity,Fire,2002,2002,600,Iteration and Timestep,300,Normal
Central California Valley,Fire: Low Severity,Fire,2003,2003,600,Iteration and Timestep,300,Normal
Central California Valley,Fire: Low Severity,Fire,2004,2004,700,Iteration and Timestep,350,Normal
Central California Valley,Fire: Low Severity,Fire,2005,2005,2400,Iteration and Timestep,1200,Normal
Central California Valley,Fire: Low Severity,Fire,2006,2006,1700,Iteration and Timestep,850,Normal
Central California Valley,Fire: Low Severity,Fire,2007,2007,1600,Iteration and Timestep,800,Normal
Central California Valley,Fire: Low Severity,Fire,2008,2008,2300,Iteration and Timestep,1150,Normal
Central California Valley,Fire: Low Severity,Fire,2009,2009,1300,Iteration and Timestep,650,Normal
Central California Valley,Fire: Low Severity,Fire,2010,2010,3500,Iteration and Timestep,1750,Normal
Central California Valley,Fire: Low Severity,Fire,2011,2011,16300,Iteration and Timestep,8150,Normal
Central California Valley,Fire: Low Severity,Fire,2012,2012,700,Iteration and Timestep,350,Normal
