StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Coast Range,Fire: Medium Severity,Fire,1999,1999,0,Iteration and Timestep,0
Coast Range,Fire: Medium Severity,Fire,2000,2000,0,Iteration and Timestep,0
Coast Range,Fire: Medium Severity,Fire,2001,2001,100,Iteration and Timestep,50
Coast Range,Fire: Medium Severity,Fire,2002,2002,300,Iteration and Timestep,150
Coast Range,Fire: Medium Severity,Fire,2003,2003,1300,Iteration and Timestep,650
Coast Range,Fire: Medium Severity,Fire,2004,2004,100,Iteration and Timestep,50
Coast Range,Fire: Medium Severity,Fire,2005,2005,100,Iteration and Timestep,50
Coast Range,Fire: Medium Severity,Fire,2006,2006,300,Iteration and Timestep,150
Coast Range,Fire: Medium Severity,Fire,2007,2007,100,Iteration and Timestep,50
Coast Range,Fire: Medium Severity,Fire,2008,2008,3000,Iteration and Timestep,1500
Coast Range,Fire: Medium Severity,Fire,2009,2009,300,Iteration and Timestep,150
Coast Range,Fire: Medium Severity,Fire,2010,2010,0,Iteration and Timestep,0
Coast Range,Fire: Medium Severity,Fire,2011,2011,100,Iteration and Timestep,50
Coast Range,Fire: Medium Severity,Fire,2012,2012,0,Iteration and Timestep,0
Coast Range,Fire: Medium Severity,Fire,2013,2013,0,Iteration and Timestep,0
Coast Range,Fire: Medium Severity,Fire,2014,2014,800,Iteration and Timestep,400
Coast Range,Fire: Medium Severity,Fire,2015,2015,0,Iteration and Timestep,0
Coast Range,Fire: Medium Severity,Fire,2016,2016,0,Iteration and Timestep,0
Cascades,Fire: Medium Severity,Fire,1999,1999,900,Iteration and Timestep,450
Cascades,Fire: Medium Severity,Fire,2000,2000,1300,Iteration and Timestep,650
Cascades,Fire: Medium Severity,Fire,2001,2001,200,Iteration and Timestep,100
Cascades,Fire: Medium Severity,Fire,2002,2002,400,Iteration and Timestep,200
Cascades,Fire: Medium Severity,Fire,2003,2003,400,Iteration and Timestep,200
Cascades,Fire: Medium Severity,Fire,2004,2004,600,Iteration and Timestep,300
Cascades,Fire: Medium Severity,Fire,2005,2005,800,Iteration and Timestep,400
Cascades,Fire: Medium Severity,Fire,2006,2006,1600,Iteration and Timestep,800
Cascades,Fire: Medium Severity,Fire,2007,2007,200,Iteration and Timestep,100
Cascades,Fire: Medium Severity,Fire,2008,2008,3900,Iteration and Timestep,1950
Cascades,Fire: Medium Severity,Fire,2009,2009,3800,Iteration and Timestep,1900
Cascades,Fire: Medium Severity,Fire,2010,2010,100,Iteration and Timestep,50
Cascades,Fire: Medium Severity,Fire,2011,2011,0,Iteration and Timestep,0
Cascades,Fire: Medium Severity,Fire,2012,2012,8300,Iteration and Timestep,4150
Cascades,Fire: Medium Severity,Fire,2013,2013,1200,Iteration and Timestep,600
Cascades,Fire: Medium Severity,Fire,2014,2014,12000,Iteration and Timestep,6000
Cascades,Fire: Medium Severity,Fire,2015,2015,100,Iteration and Timestep,50
Cascades,Fire: Medium Severity,Fire,2016,2016,200,Iteration and Timestep,100
Sierra Nevada,Fire: Medium Severity,Fire,1999,1999,9500,Iteration and Timestep,4750
Sierra Nevada,Fire: Medium Severity,Fire,2000,2000,13100,Iteration and Timestep,6550
Sierra Nevada,Fire: Medium Severity,Fire,2001,2001,9800,Iteration and Timestep,4900
Sierra Nevada,Fire: Medium Severity,Fire,2002,2002,20300,Iteration and Timestep,10150
Sierra Nevada,Fire: Medium Severity,Fire,2003,2003,6500,Iteration and Timestep,3250
Sierra Nevada,Fire: Medium Severity,Fire,2004,2004,6400,Iteration and Timestep,3200
Sierra Nevada,Fire: Medium Severity,Fire,2005,2005,3100,Iteration and Timestep,1550
Sierra Nevada,Fire: Medium Severity,Fire,2006,2006,5900,Iteration and Timestep,2950
Sierra Nevada,Fire: Medium Severity,Fire,2007,2007,17500,Iteration and Timestep,8750
Sierra Nevada,Fire: Medium Severity,Fire,2008,2008,26200,Iteration and Timestep,13100
Sierra Nevada,Fire: Medium Severity,Fire,2009,2009,3600,Iteration and Timestep,1800
Sierra Nevada,Fire: Medium Severity,Fire,2010,2010,4500,Iteration and Timestep,2250
Sierra Nevada,Fire: Medium Severity,Fire,2011,2011,4000,Iteration and Timestep,2000
Sierra Nevada,Fire: Medium Severity,Fire,2012,2012,12000,Iteration and Timestep,6000
Sierra Nevada,Fire: Medium Severity,Fire,2013,2013,38200,Iteration and Timestep,19100
Sierra Nevada,Fire: Medium Severity,Fire,2014,2014,14400,Iteration and Timestep,7200
Sierra Nevada,Fire: Medium Severity,Fire,2015,2015,28400,Iteration and Timestep,14200
Sierra Nevada,Fire: Medium Severity,Fire,2016,2016,11300,Iteration and Timestep,5650
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,1999,1999,30700,Iteration and Timestep,15350
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2000,2000,9700,Iteration and Timestep,4850
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2001,2001,5900,Iteration and Timestep,2950
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2002,2002,4900,Iteration and Timestep,2450
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2003,2003,5600,Iteration and Timestep,2800
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2004,2004,6800,Iteration and Timestep,3400
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2005,2005,8100,Iteration and Timestep,4050
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2006,2006,11100,Iteration and Timestep,5550
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2007,2007,8300,Iteration and Timestep,4150
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2008,2008,46100,Iteration and Timestep,23050
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2009,2009,8500,Iteration and Timestep,4250
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2010,2010,3300,Iteration and Timestep,1650
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2011,2011,2400,Iteration and Timestep,1200
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2012,2012,10700,Iteration and Timestep,5350
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2013,2013,3700,Iteration and Timestep,1850
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2014,2014,6300,Iteration and Timestep,3150
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2015,2015,29000,Iteration and Timestep,14500
Central California Foothills and Coastal Mountains,Fire: Medium Severity,Fire,2016,2016,26700,Iteration and Timestep,13350
Central California Valley,Fire: Medium Severity,Fire,1999,1999,100,Iteration and Timestep,50
Central California Valley,Fire: Medium Severity,Fire,2000,2000,300,Iteration and Timestep,150
Central California Valley,Fire: Medium Severity,Fire,2001,2001,500,Iteration and Timestep,250
Central California Valley,Fire: Medium Severity,Fire,2002,2002,400,Iteration and Timestep,200
Central California Valley,Fire: Medium Severity,Fire,2003,2003,500,Iteration and Timestep,250
Central California Valley,Fire: Medium Severity,Fire,2004,2004,600,Iteration and Timestep,300
Central California Valley,Fire: Medium Severity,Fire,2005,2005,900,Iteration and Timestep,450
Central California Valley,Fire: Medium Severity,Fire,2006,2006,300,Iteration and Timestep,150
Central California Valley,Fire: Medium Severity,Fire,2007,2007,100,Iteration and Timestep,50
Central California Valley,Fire: Medium Severity,Fire,2008,2008,1100,Iteration and Timestep,550
Central California Valley,Fire: Medium Severity,Fire,2009,2009,0,Iteration and Timestep,0
Central California Valley,Fire: Medium Severity,Fire,2010,2010,600,Iteration and Timestep,300
Central California Valley,Fire: Medium Severity,Fire,2011,2011,700,Iteration and Timestep,350
Central California Valley,Fire: Medium Severity,Fire,2012,2012,100,Iteration and Timestep,50
Central California Valley,Fire: Medium Severity,Fire,2013,2013,100,Iteration and Timestep,50
Central California Valley,Fire: Medium Severity,Fire,2014,2014,0,Iteration and Timestep,0
Central California Valley,Fire: Medium Severity,Fire,2015,2015,100,Iteration and Timestep,50
Central California Valley,Fire: Medium Severity,Fire,2016,2016,400,Iteration and Timestep,200
Southern California Mountains,Fire: Medium Severity,Fire,1999,1999,12700,Iteration and Timestep,6350
Southern California Mountains,Fire: Medium Severity,Fire,2000,2000,1700,Iteration and Timestep,850
Southern California Mountains,Fire: Medium Severity,Fire,2001,2001,1300,Iteration and Timestep,650
Southern California Mountains,Fire: Medium Severity,Fire,2002,2002,26200,Iteration and Timestep,13100
Southern California Mountains,Fire: Medium Severity,Fire,2003,2003,31000,Iteration and Timestep,15500
Southern California Mountains,Fire: Medium Severity,Fire,2004,2004,6200,Iteration and Timestep,3100
Southern California Mountains,Fire: Medium Severity,Fire,2005,2005,1400,Iteration and Timestep,700
Southern California Mountains,Fire: Medium Severity,Fire,2006,2006,46600,Iteration and Timestep,23300
Southern California Mountains,Fire: Medium Severity,Fire,2007,2007,29700,Iteration and Timestep,14850
Southern California Mountains,Fire: Medium Severity,Fire,2008,2008,2500,Iteration and Timestep,1250
Southern California Mountains,Fire: Medium Severity,Fire,2009,2009,37500,Iteration and Timestep,18750
Southern California Mountains,Fire: Medium Severity,Fire,2010,2010,3800,Iteration and Timestep,1900
Southern California Mountains,Fire: Medium Severity,Fire,2011,2011,700,Iteration and Timestep,350
Southern California Mountains,Fire: Medium Severity,Fire,2012,2012,2400,Iteration and Timestep,1200
Southern California Mountains,Fire: Medium Severity,Fire,2013,2013,15600,Iteration and Timestep,7800
Southern California Mountains,Fire: Medium Severity,Fire,2014,2014,200,Iteration and Timestep,100
Southern California Mountains,Fire: Medium Severity,Fire,2015,2015,4800,Iteration and Timestep,2400
Southern California Mountains,Fire: Medium Severity,Fire,2016,2016,13700,Iteration and Timestep,6850
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,1999,1999,2500,Iteration and Timestep,1250
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2000,2000,0,Iteration and Timestep,0
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2001,2001,12100,Iteration and Timestep,6050
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2002,2002,500,Iteration and Timestep,250
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2003,2003,0,Iteration and Timestep,0
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2004,2004,100,Iteration and Timestep,50
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2005,2005,200,Iteration and Timestep,100
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2006,2006,2300,Iteration and Timestep,1150
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2007,2007,900,Iteration and Timestep,450
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2008,2008,1700,Iteration and Timestep,850
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2009,2009,300,Iteration and Timestep,150
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2010,2010,1700,Iteration and Timestep,850
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2011,2011,200,Iteration and Timestep,100
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2012,2012,13700,Iteration and Timestep,6850
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2013,2013,0,Iteration and Timestep,0
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2014,2014,2200,Iteration and Timestep,1100
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2015,2015,500,Iteration and Timestep,250
Eastern Cascades Slopes and Foothills,Fire: Medium Severity,Fire,2016,2016,500,Iteration and Timestep,250
Central Basin and Range,Fire: Medium Severity,Fire,1999,1999,200,Iteration and Timestep,100
Central Basin and Range,Fire: Medium Severity,Fire,2000,2000,600,Iteration and Timestep,300
Central Basin and Range,Fire: Medium Severity,Fire,2001,2001,2200,Iteration and Timestep,1100
Central Basin and Range,Fire: Medium Severity,Fire,2002,2002,3600,Iteration and Timestep,1800
Central Basin and Range,Fire: Medium Severity,Fire,2003,2003,400,Iteration and Timestep,200
Central Basin and Range,Fire: Medium Severity,Fire,2004,2004,500,Iteration and Timestep,250
Central Basin and Range,Fire: Medium Severity,Fire,2005,2005,0,Iteration and Timestep,0
Central Basin and Range,Fire: Medium Severity,Fire,2006,2006,2600,Iteration and Timestep,1300
Central Basin and Range,Fire: Medium Severity,Fire,2007,2007,1000,Iteration and Timestep,500
Central Basin and Range,Fire: Medium Severity,Fire,2008,2008,0,Iteration and Timestep,0
Central Basin and Range,Fire: Medium Severity,Fire,2009,2009,200,Iteration and Timestep,100
Central Basin and Range,Fire: Medium Severity,Fire,2010,2010,500,Iteration and Timestep,250
Central Basin and Range,Fire: Medium Severity,Fire,2011,2011,700,Iteration and Timestep,350
Central Basin and Range,Fire: Medium Severity,Fire,2012,2012,0,Iteration and Timestep,0
Central Basin and Range,Fire: Medium Severity,Fire,2013,2013,1300,Iteration and Timestep,650
Central Basin and Range,Fire: Medium Severity,Fire,2014,2014,0,Iteration and Timestep,0
Central Basin and Range,Fire: Medium Severity,Fire,2015,2015,0,Iteration and Timestep,0
Central Basin and Range,Fire: Medium Severity,Fire,2016,2016,0,Iteration and Timestep,0
Mojave Basin and Range,Fire: Medium Severity,Fire,1999,1999,4200,Iteration and Timestep,2100
Mojave Basin and Range,Fire: Medium Severity,Fire,2000,2000,600,Iteration and Timestep,300
Mojave Basin and Range,Fire: Medium Severity,Fire,2001,2001,0,Iteration and Timestep,0
Mojave Basin and Range,Fire: Medium Severity,Fire,2002,2002,0,Iteration and Timestep,0
Mojave Basin and Range,Fire: Medium Severity,Fire,2003,2003,500,Iteration and Timestep,250
Mojave Basin and Range,Fire: Medium Severity,Fire,2004,2004,300,Iteration and Timestep,150
Mojave Basin and Range,Fire: Medium Severity,Fire,2005,2005,9600,Iteration and Timestep,4800
Mojave Basin and Range,Fire: Medium Severity,Fire,2006,2006,1800,Iteration and Timestep,900
Mojave Basin and Range,Fire: Medium Severity,Fire,2007,2007,300,Iteration and Timestep,150
Mojave Basin and Range,Fire: Medium Severity,Fire,2008,2008,0,Iteration and Timestep,0
Mojave Basin and Range,Fire: Medium Severity,Fire,2009,2009,100,Iteration and Timestep,50
Mojave Basin and Range,Fire: Medium Severity,Fire,2010,2010,100,Iteration and Timestep,50
Mojave Basin and Range,Fire: Medium Severity,Fire,2011,2011,200,Iteration and Timestep,100
Mojave Basin and Range,Fire: Medium Severity,Fire,2012,2012,100,Iteration and Timestep,50
Mojave Basin and Range,Fire: Medium Severity,Fire,2013,2013,0,Iteration and Timestep,0
Mojave Basin and Range,Fire: Medium Severity,Fire,2014,2014,0,Iteration and Timestep,0
Mojave Basin and Range,Fire: Medium Severity,Fire,2015,2015,0,Iteration and Timestep,0
Mojave Basin and Range,Fire: Medium Severity,Fire,2016,2016,1500,Iteration and Timestep,750
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,1999,1999,13100,Iteration and Timestep,6550
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2000,2000,700,Iteration and Timestep,350
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2001,2001,3100,Iteration and Timestep,1550
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2002,2002,7700,Iteration and Timestep,3850
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2003,2003,2100,Iteration and Timestep,1050
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2004,2004,2300,Iteration and Timestep,1150
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2005,2005,300,Iteration and Timestep,150
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2006,2006,14600,Iteration and Timestep,7300
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2007,2007,2300,Iteration and Timestep,1150
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2008,2008,51300,Iteration and Timestep,25650
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2009,2009,2800,Iteration and Timestep,1400
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2010,2010,200,Iteration and Timestep,100
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2011,2011,0,Iteration and Timestep,0
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2012,2012,14200,Iteration and Timestep,7100
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2013,2013,6500,Iteration and Timestep,3250
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2014,2014,24700,Iteration and Timestep,12350
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2015,2015,23800,Iteration and Timestep,11900
Klamath Mountains/California High North Coast Range,Fire: Medium Severity,Fire,2016,2016,3800,Iteration and Timestep,1900
Northern Basin and Range,Fire: Medium Severity,Fire,1999,1999,1400,Iteration and Timestep,700
Northern Basin and Range,Fire: Medium Severity,Fire,2000,2000,0,Iteration and Timestep,0
Northern Basin and Range,Fire: Medium Severity,Fire,2001,2001,1000,Iteration and Timestep,500
Northern Basin and Range,Fire: Medium Severity,Fire,2002,2002,300,Iteration and Timestep,150
Northern Basin and Range,Fire: Medium Severity,Fire,2003,2003,1200,Iteration and Timestep,600
Northern Basin and Range,Fire: Medium Severity,Fire,2004,2004,0,Iteration and Timestep,0
Northern Basin and Range,Fire: Medium Severity,Fire,2005,2005,0,Iteration and Timestep,0
Northern Basin and Range,Fire: Medium Severity,Fire,2006,2006,200,Iteration and Timestep,100
Northern Basin and Range,Fire: Medium Severity,Fire,2007,2007,0,Iteration and Timestep,0
Northern Basin and Range,Fire: Medium Severity,Fire,2008,2008,0,Iteration and Timestep,0
Northern Basin and Range,Fire: Medium Severity,Fire,2009,2009,0,Iteration and Timestep,0
Northern Basin and Range,Fire: Medium Severity,Fire,2010,2010,0,Iteration and Timestep,0
Northern Basin and Range,Fire: Medium Severity,Fire,2011,2011,400,Iteration and Timestep,200
Northern Basin and Range,Fire: Medium Severity,Fire,2012,2012,12800,Iteration and Timestep,6400
Northern Basin and Range,Fire: Medium Severity,Fire,2013,2013,0,Iteration and Timestep,0
Northern Basin and Range,Fire: Medium Severity,Fire,2014,2014,0,Iteration and Timestep,0
Northern Basin and Range,Fire: Medium Severity,Fire,2015,2015,3000,Iteration and Timestep,1500
Northern Basin and Range,Fire: Medium Severity,Fire,2016,2016,0,Iteration and Timestep,0
Sonoran Basin and Range,Fire: Medium Severity,Fire,1999,1999,200,Iteration and Timestep,100
Sonoran Basin and Range,Fire: Medium Severity,Fire,2000,2000,0,Iteration and Timestep,0
Sonoran Basin and Range,Fire: Medium Severity,Fire,2001,2001,0,Iteration and Timestep,0
Sonoran Basin and Range,Fire: Medium Severity,Fire,2002,2002,1400,Iteration and Timestep,700
Sonoran Basin and Range,Fire: Medium Severity,Fire,2003,2003,300,Iteration and Timestep,150
Sonoran Basin and Range,Fire: Medium Severity,Fire,2004,2004,0,Iteration and Timestep,0
Sonoran Basin and Range,Fire: Medium Severity,Fire,2005,2005,200,Iteration and Timestep,100
