SecondaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
Alameda,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Alpine,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Amador,Harvest: Annual Variability,Forest Harvest,1999,1999,1.2
Butte,Harvest: Annual Variability,Forest Harvest,1999,1999,0.782608695652174
Calaveras,Harvest: Annual Variability,Forest Harvest,1999,1999,1.1868131868131868
Colusa,Harvest: Annual Variability,Forest Harvest,1999,1999,0.4
Contra Costa,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Del Norte,Harvest: Annual Variability,Forest Harvest,1999,1999,1.180327868852459
El Dorado,Harvest: Annual Variability,Forest Harvest,1999,1999,0.8837209302325582
Fresno,Harvest: Annual Variability,Forest Harvest,1999,1999,0.3515625
Glenn,Harvest: Annual Variability,Forest Harvest,1999,1999,0.34615384615384615
Humboldt,Harvest: Annual Variability,Forest Harvest,1999,1999,0.8571428571428571
Imperial,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Inyo,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Kern,Harvest: Annual Variability,Forest Harvest,1999,1999,0.5625
Kings,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Lake,Harvest: Annual Variability,Forest Harvest,1999,1999,0.5454545454545454
Lassen,Harvest: Annual Variability,Forest Harvest,1999,1999,1.8876404494382022
Los Angeles,Harvest: Annual Variability,Forest Harvest,1999,1999,0.5625
Madera,Harvest: Annual Variability,Forest Harvest,1999,1999,0.5625
Marin,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Mariposa,Harvest: Annual Variability,Forest Harvest,1999,1999,0.20930232558139536
Mendocino,Harvest: Annual Variability,Forest Harvest,1999,1999,1.2025052192066805
Merced,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Modoc,Harvest: Annual Variability,Forest Harvest,1999,1999,0.5175718849840255
Mono,Harvest: Annual Variability,Forest Harvest,1999,1999,1.2413793103448276
Monterey,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Napa,Harvest: Annual Variability,Forest Harvest,1999,1999,1.2857142857142858
Nevada,Harvest: Annual Variability,Forest Harvest,1999,1999,1.3943661971830985
Orange,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Placer,Harvest: Annual Variability,Forest Harvest,1999,1999,1.3300492610837438
Plumas,Harvest: Annual Variability,Forest Harvest,1999,1999,1.369077306733167
Riverside,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Sacramento,Harvest: Annual Variability,Forest Harvest,1999,1999,0
San Benito,Harvest: Annual Variability,Forest Harvest,1999,1999,0
San Bernardino,Harvest: Annual Variability,Forest Harvest,1999,1999,0.29032258064516125
San Diego,Harvest: Annual Variability,Forest Harvest,1999,1999,0.36734693877551017
San Francisco,Harvest: Annual Variability,Forest Harvest,1999,1999,0
San Joaquin,Harvest: Annual Variability,Forest Harvest,1999,1999,0
San Luis Obispo,Harvest: Annual Variability,Forest Harvest,1999,1999,0
San Mateo,Harvest: Annual Variability,Forest Harvest,1999,1999,0.8571428571428571
Santa Barbara,Harvest: Annual Variability,Forest Harvest,1999,1999,12
Santa Clara,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Santa Cruz,Harvest: Annual Variability,Forest Harvest,1999,1999,0.5901639344262295
Shasta,Harvest: Annual Variability,Forest Harvest,1999,1999,0.277992277992278
Sierra Valley,Harvest: Annual Variability,Forest Harvest,1999,1999,0.8059701492537313
Siskiyou,Harvest: Annual Variability,Forest Harvest,1999,1999,0.28954423592493295
Solano,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Sonoma,Harvest: Annual Variability,Forest Harvest,1999,1999,1.2413793103448276
Stanislaus,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Sutter,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Tehama,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Trinity,Harvest: Annual Variability,Forest Harvest,1999,1999,0.4462809917355372
Tulare,Harvest: Annual Variability,Forest Harvest,1999,1999,1.0359712230215827
Tuolumne,Harvest: Annual Variability,Forest Harvest,1999,1999,2.020408163265306
Ventura,Harvest: Annual Variability,Forest Harvest,1999,1999,3
Yolo,Harvest: Annual Variability,Forest Harvest,1999,1999,0
Yuba,Harvest: Annual Variability,Forest Harvest,1999,1999,0.2647058823529412
Alameda,Harvest: Annual Variability,Forest Harvest,2000,2000,0
Alpine,Harvest: Annual Variability,Forest Harvest,2000,2000,1.6363636363636362
Amador,Harvest: Annual Variability,Forest Harvest,2000,2000,1.2
Butte,Harvest: Annual Variability,Forest Harvest,2000,2000,1.3416149068322982
Calaveras,Harvest: Annual Variability,Forest Harvest,2000,2000,1.6813186813186813
Colusa,Harvest: Annual Variability,Forest Harvest,2000,2000,0
Contra Costa,Harvest: Annual Variability,Forest Harvest,2000,2000,0
Del Norte,Harvest: Annual Variability,Forest Harvest,2000,2000,2.360655737704918
El Dorado,Harvest: Annual Variability,Forest Harvest,2000,2000,1.6744186046511629
Fresno,Harvest: Annual Variability,Forest Harvest,2000,2000,1.125
Glenn,Harvest: Annual Variability,Forest Harvest,2000,2000,0
Humboldt,Harvest: Annual Variability,Forest Harvest,2000,2000,1.1583011583011582
Imperial,Harvest: Annual Variability,Forest Harvest,2000,2000,0
Inyo,Harvest: Annual Variability,Forest Harvest,2000,2000,0
Kern,Harvest: Annual Variability,Forest Harvest,2000,2000,0
Kings,Harvest: Annual Variability,Forest Harvest,2000,2000,0
Lake,Harvest: Annual Variability,Forest Harvest,2000,2000,0.2727272727272727
Lassen,Harvest: Annual Variability,Forest Harvest,2000,2000,1.2359550561797752
Los Angeles,Harvest: Annual Variability,Forest Harvest,2000,2000,0.1875
Madera,Harvest: Annual Variability,Forest Harvest,2000,2000,0.1875
Marin,Harvest: Annual Variability,Forest Harvest,2000,2000,0
Mariposa,Harvest: Annual Variability,Forest Harvest,2000,2000,0.8372093023255814
Mendocino,Harvest: Annual Variability,Forest Harvest,2000,2000,2.2922755741127347
Merced,Harvest: Annual Variability,Forest Harvest,2000,2000,0
Modoc,Harvest: Annual Variability,Forest Harvest,2000,2000,0.5175718849840255
Mono,Harvest: Annual Variability,Forest Harvest,2000,2000,1.6551724137931034
Monterey,Harvest: Annual Variability,Forest Harvest,2000,2000,2
Napa,Harvest: Annual Variability,Forest Harvest,2000,2000,1.2857142857142858
Nevada,Harvest: Annual Variability,Forest Harvest,2000,2000,2.1549295774647885
Orange,Harvest: Annual Variability,Forest Harvest,2000,2000,0
Placer,Harvest: Annual Variability,Forest Harvest,2000,2000,0.8866995073891625
Plumas,Harvest: Annual Variability,Forest Harvest,2000,2000,1.5261845386533666
Riverside,Harvest: Annual Variability,Forest Harvest,2000,2000,0.32727272727272727
