StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Coast Range,Insect: High Severity,Insect,1998,1998,0,Iteration and Timestep,0
Coast Range,Insect: High Severity,Insect,1999,1999,0,Iteration and Timestep,0
Coast Range,Insect: High Severity,Insect,2000,2000,0,Iteration and Timestep,0
Coast Range,Insect: High Severity,Insect,2001,2001,0,Iteration and Timestep,0
Coast Range,Insect: High Severity,Insect,2002,2002,0,Iteration and Timestep,0
Coast Range,Insect: High Severity,Insect,2003,2003,100,Iteration and Timestep,50
Coast Range,Insect: High Severity,Insect,2004,2004,0,Iteration and Timestep,0
Coast Range,Insect: High Severity,Insect,2005,2005,0,Iteration and Timestep,0
Coast Range,Insect: High Severity,Insect,2006,2006,1900,Iteration and Timestep,950
Coast Range,Insect: High Severity,Insect,2007,2007,6400,Iteration and Timestep,3200
Coast Range,Insect: High Severity,Insect,2008,2008,0,Iteration and Timestep,0
Coast Range,Insect: High Severity,Insect,2009,2009,0,Iteration and Timestep,0
Coast Range,Insect: High Severity,Insect,2010,2010,0,Iteration and Timestep,0
Coast Range,Insect: High Severity,Insect,2011,2011,200,Iteration and Timestep,100
Coast Range,Insect: High Severity,Insect,2012,2012,2100,Iteration and Timestep,1050
Coast Range,Insect: High Severity,Insect,2013,2013,1100,Iteration and Timestep,550
Coast Range,Insect: High Severity,Insect,2014,2014,0,Iteration and Timestep,0
Coast Range,Insect: High Severity,Insect,2015,2015,2200,Iteration and Timestep,1100
Coast Range,Insect: High Severity,Insect,2016,2016,200,Iteration and Timestep,100
Cascades,Insect: High Severity,Insect,1998,1998,0,Iteration and Timestep,0
Cascades,Insect: High Severity,Insect,1999,1999,4200,Iteration and Timestep,2100
Cascades,Insect: High Severity,Insect,2000,2000,1600,Iteration and Timestep,800
Cascades,Insect: High Severity,Insect,2001,2001,3700,Iteration and Timestep,1850
Cascades,Insect: High Severity,Insect,2002,2002,1800,Iteration and Timestep,900
Cascades,Insect: High Severity,Insect,2003,2003,9200,Iteration and Timestep,4600
Cascades,Insect: High Severity,Insect,2004,2004,6800,Iteration and Timestep,3400
Cascades,Insect: High Severity,Insect,2005,2005,6800,Iteration and Timestep,3400
Cascades,Insect: High Severity,Insect,2006,2006,1500,Iteration and Timestep,750
Cascades,Insect: High Severity,Insect,2007,2007,1100,Iteration and Timestep,550
Cascades,Insect: High Severity,Insect,2008,2008,1100,Iteration and Timestep,550
Cascades,Insect: High Severity,Insect,2009,2009,1600,Iteration and Timestep,800
Cascades,Insect: High Severity,Insect,2010,2010,7400,Iteration and Timestep,3700
Cascades,Insect: High Severity,Insect,2011,2011,4700,Iteration and Timestep,2350
Cascades,Insect: High Severity,Insect,2012,2012,1000,Iteration and Timestep,500
Cascades,Insect: High Severity,Insect,2013,2013,200,Iteration and Timestep,100
Cascades,Insect: High Severity,Insect,2014,2014,500,Iteration and Timestep,250
Cascades,Insect: High Severity,Insect,2015,2015,11400,Iteration and Timestep,5700
Cascades,Insect: High Severity,Insect,2016,2016,12700,Iteration and Timestep,6350
Sierra Nevada,Insect: High Severity,Insect,1998,1998,0,Iteration and Timestep,0
Sierra Nevada,Insect: High Severity,Insect,1999,1999,2100,Iteration and Timestep,1050
Sierra Nevada,Insect: High Severity,Insect,2000,2000,500,Iteration and Timestep,250
Sierra Nevada,Insect: High Severity,Insect,2001,2001,25300,Iteration and Timestep,12650
Sierra Nevada,Insect: High Severity,Insect,2002,2002,8000,Iteration and Timestep,4000
Sierra Nevada,Insect: High Severity,Insect,2003,2003,65100,Iteration and Timestep,32550
Sierra Nevada,Insect: High Severity,Insect,2004,2004,46100,Iteration and Timestep,23050
Sierra Nevada,Insect: High Severity,Insect,2005,2005,21100,Iteration and Timestep,10550
Sierra Nevada,Insect: High Severity,Insect,2006,2006,6900,Iteration and Timestep,3450
Sierra Nevada,Insect: High Severity,Insect,2007,2007,16500,Iteration and Timestep,8250
Sierra Nevada,Insect: High Severity,Insect,2008,2008,1700,Iteration and Timestep,850
Sierra Nevada,Insect: High Severity,Insect,2009,2009,4400,Iteration and Timestep,2200
Sierra Nevada,Insect: High Severity,Insect,2010,2010,5400,Iteration and Timestep,2700
Sierra Nevada,Insect: High Severity,Insect,2011,2011,1600,Iteration and Timestep,800
Sierra Nevada,Insect: High Severity,Insect,2012,2012,5000,Iteration and Timestep,2500
Sierra Nevada,Insect: High Severity,Insect,2013,2013,2400,Iteration and Timestep,1200
Sierra Nevada,Insect: High Severity,Insect,2014,2014,9500,Iteration and Timestep,4750
Sierra Nevada,Insect: High Severity,Insect,2015,2015,237900,Iteration and Timestep,118950
Sierra Nevada,Insect: High Severity,Insect,2016,2016,493900,Iteration and Timestep,246950
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,1998,1998,0,Iteration and Timestep,0
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,1999,1999,0,Iteration and Timestep,0
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2000,2000,0,Iteration and Timestep,0
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2001,2001,200,Iteration and Timestep,100
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2002,2002,100,Iteration and Timestep,50
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2003,2003,300,Iteration and Timestep,150
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2004,2004,1600,Iteration and Timestep,800
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2005,2005,600,Iteration and Timestep,300
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2006,2006,900,Iteration and Timestep,450
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2007,2007,3400,Iteration and Timestep,1700
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2008,2008,1200,Iteration and Timestep,600
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2009,2009,200,Iteration and Timestep,100
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2010,2010,0,Iteration and Timestep,0
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2011,2011,0,Iteration and Timestep,0
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2012,2012,1900,Iteration and Timestep,950
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2013,2013,1600,Iteration and Timestep,800
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2014,2014,4300,Iteration and Timestep,2150
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2015,2015,18800,Iteration and Timestep,9400
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2016,2016,33200,Iteration and Timestep,16600
Central California Valley,Insect: High Severity,Insect,1998,1998,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,1999,1999,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2000,2000,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2001,2001,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2002,2002,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2003,2003,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2004,2004,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2005,2005,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2006,2006,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2007,2007,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2008,2008,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2009,2009,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2010,2010,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2011,2011,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2012,2012,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2013,2013,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2014,2014,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2015,2015,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2016,2016,100,Iteration and Timestep,50
Southern California Mountains,Insect: High Severity,Insect,1998,1998,0,Iteration and Timestep,0
Southern California Mountains,Insect: High Severity,Insect,1999,1999,0,Iteration and Timestep,0
Southern California Mountains,Insect: High Severity,Insect,2000,2000,100,Iteration and Timestep,50
Southern California Mountains,Insect: High Severity,Insect,2001,2001,0,Iteration and Timestep,0
Southern California Mountains,Insect: High Severity,Insect,2002,2002,200,Iteration and Timestep,100
Southern California Mountains,Insect: High Severity,Insect,2003,2003,22200,Iteration and Timestep,11100
Southern California Mountains,Insect: High Severity,Insect,2004,2004,28200,Iteration and Timestep,14100
Southern California Mountains,Insect: High Severity,Insect,2005,2005,700,Iteration and Timestep,350
Southern California Mountains,Insect: High Severity,Insect,2006,2006,17100,Iteration and Timestep,8550
Southern California Mountains,Insect: High Severity,Insect,2007,2007,400,Iteration and Timestep,200
Southern California Mountains,Insect: High Severity,Insect,2008,2008,100,Iteration and Timestep,50
Southern California Mountains,Insect: High Severity,Insect,2009,2009,0,Iteration and Timestep,0
Southern California Mountains,Insect: High Severity,Insect,2010,2010,600,Iteration and Timestep,300
Southern California Mountains,Insect: High Severity,Insect,2011,2011,200,Iteration and Timestep,100
Southern California Mountains,Insect: High Severity,Insect,2012,2012,0,Iteration and Timestep,0
Southern California Mountains,Insect: High Severity,Insect,2013,2013,0,Iteration and Timestep,0
Southern California Mountains,Insect: High Severity,Insect,2014,2014,2100,Iteration and Timestep,1050
Southern California Mountains,Insect: High Severity,Insect,2015,2015,12200,Iteration and Timestep,6100
Southern California Mountains,Insect: High Severity,Insect,2016,2016,3100,Iteration and Timestep,1550
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,1998,1998,0,Iteration and Timestep,0
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,1999,1999,0,Iteration and Timestep,0
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2000,2000,400,Iteration and Timestep,200
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2001,2001,14000,Iteration and Timestep,7000
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2002,2002,400,Iteration and Timestep,200
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2003,2003,400,Iteration and Timestep,200
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2004,2004,1900,Iteration and Timestep,950
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2005,2005,0,Iteration and Timestep,0
