StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Coast Range,Insect: Low Severity,Insect,1998,1998,0,Iteration and Timestep,0
Coast Range,Insect: Low Severity,Insect,1999,1999,0,Iteration and Timestep,0
Coast Range,Insect: Low Severity,Insect,2000,2000,0,Iteration and Timestep,0
Coast Range,Insect: Low Severity,Insect,2001,2001,0,Iteration and Timestep,0
Coast Range,Insect: Low Severity,Insect,2002,2002,0,Iteration and Timestep,0
Coast Range,Insect: Low Severity,Insect,2003,2003,0,Iteration and Timestep,0
Coast Range,Insect: Low Severity,Insect,2004,2004,200,Iteration and Timestep,100
Coast Range,Insect: Low Severity,Insect,2005,2005,0,Iteration and Timestep,0
Coast Range,Insect: Low Severity,Insect,2006,2006,9600,Iteration and Timestep,4800
Coast Range,Insect: Low Severity,Insect,2007,2007,4800,Iteration and Timestep,2400
Coast Range,Insect: Low Severity,Insect,2008,2008,11100,Iteration and Timestep,5550
Coast Range,Insect: Low Severity,Insect,2009,2009,5000,Iteration and Timestep,2500
Coast Range,Insect: Low Severity,Insect,2010,2010,3800,Iteration and Timestep,1900
Coast Range,Insect: Low Severity,Insect,2011,2011,5100,Iteration and Timestep,2550
Coast Range,Insect: Low Severity,Insect,2012,2012,20100,Iteration and Timestep,10050
Coast Range,Insect: Low Severity,Insect,2013,2013,10800,Iteration and Timestep,5400
Coast Range,Insect: Low Severity,Insect,2014,2014,7400,Iteration and Timestep,3700
Coast Range,Insect: Low Severity,Insect,2015,2015,24300,Iteration and Timestep,12150
Coast Range,Insect: Low Severity,Insect,2016,2016,49700,Iteration and Timestep,24850
Cascades,Insect: Low Severity,Insect,1998,1998,0,Iteration and Timestep,0
Cascades,Insect: Low Severity,Insect,1999,1999,0,Iteration and Timestep,0
Cascades,Insect: Low Severity,Insect,2000,2000,3700,Iteration and Timestep,1850
Cascades,Insect: Low Severity,Insect,2001,2001,20500,Iteration and Timestep,10250
Cascades,Insect: Low Severity,Insect,2002,2002,25600,Iteration and Timestep,12800
Cascades,Insect: Low Severity,Insect,2003,2003,159400,Iteration and Timestep,79700
Cascades,Insect: Low Severity,Insect,2004,2004,111900,Iteration and Timestep,55950
