StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Coast Range,Insect: Medium Severity,Insect,1998,1998,0,Iteration and Timestep,0
Coast Range,Insect: Medium Severity,Insect,1999,1999,0,Iteration and Timestep,0
Coast Range,Insect: Medium Severity,Insect,2000,2000,0,Iteration and Timestep,0
Coast Range,Insect: Medium Severity,Insect,2001,2001,0,Iteration and Timestep,0
Coast Range,Insect: Medium Severity,Insect,2002,2002,0,Iteration and Timestep,0
Coast Range,Insect: Medium Severity,Insect,2003,2003,0,Iteration and Timestep,0
Coast Range,Insect: Medium Severity,Insect,2004,2004,100,Iteration and Timestep,50
Coast Range,Insect: Medium Severity,Insect,2005,2005,0,Iteration and Timestep,0
Coast Range,Insect: Medium Severity,Insect,2006,2006,11300,Iteration and Timestep,5650
Coast Range,Insect: Medium Severity,Insect,2007,2007,14900,Iteration and Timestep,7450
Coast Range,Insect: Medium Severity,Insect,2008,2008,2000,Iteration and Timestep,1000
Coast Range,Insect: Medium Severity,Insect,2009,2009,900,Iteration and Timestep,450
Coast Range,Insect: Medium Severity,Insect,2010,2010,800,Iteration and Timestep,400
Coast Range,Insect: Medium Severity,Insect,2011,2011,2000,Iteration and Timestep,1000
Coast Range,Insect: Medium Severity,Insect,2012,2012,9600,Iteration and Timestep,4800
Coast Range,Insect: Medium Severity,Insect,2013,2013,9100,Iteration and Timestep,4550
Coast Range,Insect: Medium Severity,Insect,2014,2014,2300,Iteration and Timestep,1150
Coast Range,Insect: Medium Severity,Insect,2015,2015,15500,Iteration and Timestep,7750
Coast Range,Insect: Medium Severity,Insect,2016,2016,5900,Iteration and Timestep,2950
Cascades,Insect: Medium Severity,Insect,1998,1998,0,Iteration and Timestep,0
Cascades,Insect: Medium Severity,Insect,1999,1999,400,Iteration and Timestep,200
Cascades,Insect: Medium Severity,Insect,2000,2000,100,Iteration and Timestep,50
Cascades,Insect: Medium Severity,Insect,2001,2001,5200,Iteration and Timestep,2600
Cascades,Insect: Medium Severity,Insect,2002,2002,9600,Iteration and Timestep,4800
Cascades,Insect: Medium Severity,Insect,2003,2003,19100,Iteration and Timestep,9550
Cascades,Insect: Medium Severity,Insect,2004,2004,29200,Iteration and Timestep,14600
Cascades,Insect: Medium Severity,Insect,2005,2005,26300,Iteration and Timestep,13150
Cascades,Insect: Medium Severity,Insect,2006,2006,3200,Iteration and Timestep,1600
Cascades,Insect: Medium Severity,Insect,2007,2007,4000,Iteration and Timestep,2000
Cascades,Insect: Medium Severity,Insect,2008,2008,4100,Iteration and Timestep,2050
Cascades,Insect: Medium Severity,Insect,2009,2009,4600,Iteration and Timestep,2300
Cascades,Insect: Medium Severity,Insect,2010,2010,33500,Iteration and Timestep,16750
Cascades,Insect: Medium Severity,Insect,2011,2011,9200,Iteration and Timestep,4600
Cascades,Insect: Medium Severity,Insect,2012,2012,4500,Iteration and Timestep,2250
Cascades,Insect: Medium Severity,Insect,2013,2013,5700,Iteration and Timestep,2850
Cascades,Insect: Medium Severity,Insect,2014,2014,8300,Iteration and Timestep,4150
Cascades,Insect: Medium Severity,Insect,2015,2015,44700,Iteration and Timestep,22350
Cascades,Insect: Medium Severity,Insect,2016,2016,78400,Iteration and Timestep,39200
Sierra Nevada,Insect: Medium Severity,Insect,1998,1998,0,Iteration and Timestep,0
Sierra Nevada,Insect: Medium Severity,Insect,1999,1999,3000,Iteration and Timestep,1500
Sierra Nevada,Insect: Medium Severity,Insect,2000,2000,2800,Iteration and Timestep,1400
Sierra Nevada,Insect: Medium Severity,Insect,2001,2001,5100,Iteration and Timestep,2550
Sierra Nevada,Insect: Medium Severity,Insect,2002,2002,29800,Iteration and Timestep,14900
Sierra Nevada,Insect: Medium Severity,Insect,2003,2003,65400,Iteration and Timestep,32700
Sierra Nevada,Insect: Medium Severity,Insect,2004,2004,43000,Iteration and Timestep,21500
Sierra Nevada,Insect: Medium Severity,Insect,2005,2005,72000,Iteration and Timestep,36000
Sierra Nevada,Insect: Medium Severity,Insect,2006,2006,17300,Iteration and Timestep,8650
Sierra Nevada,Insect: Medium Severity,Insect,2007,2007,12500,Iteration and Timestep,6250
Sierra Nevada,Insect: Medium Severity,Insect,2008,2008,3100,Iteration and Timestep,1550
Sierra Nevada,Insect: Medium Severity,Insect,2009,2009,23100,Iteration and Timestep,11550
Sierra Nevada,Insect: Medium Severity,Insect,2010,2010,26600,Iteration and Timestep,13300
Sierra Nevada,Insect: Medium Severity,Insect,2011,2011,7300,Iteration and Timestep,3650
Sierra Nevada,Insect: Medium Severity,Insect,2012,2012,6100,Iteration and Timestep,3050
Sierra Nevada,Insect: Medium Severity,Insect,2013,2013,11400,Iteration and Timestep,5700
Sierra Nevada,Insect: Medium Severity,Insect,2014,2014,39600,Iteration and Timestep,19800
Sierra Nevada,Insect: Medium Severity,Insect,2015,2015,219800,Iteration and Timestep,109900
Sierra Nevada,Insect: Medium Severity,Insect,2016,2016,282200,Iteration and Timestep,141100
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,1998,1998,0,Iteration and Timestep,0
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,1999,1999,0,Iteration and Timestep,0
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2000,2000,900,Iteration and Timestep,450
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2001,2001,200,Iteration and Timestep,100
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2002,2002,3700,Iteration and Timestep,1850
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2003,2003,800,Iteration and Timestep,400
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2004,2004,2100,Iteration and Timestep,1050
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2005,2005,1100,Iteration and Timestep,550
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2006,2006,7000,Iteration and Timestep,3500
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2007,2007,3500,Iteration and Timestep,1750
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2008,2008,1000,Iteration and Timestep,500
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2009,2009,400,Iteration and Timestep,200
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2010,2010,100,Iteration and Timestep,50
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2011,2011,500,Iteration and Timestep,250
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2012,2012,3000,Iteration and Timestep,1500
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2013,2013,2700,Iteration and Timestep,1350
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2014,2014,7200,Iteration and Timestep,3600
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2015,2015,31500,Iteration and Timestep,15750
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2016,2016,39400,Iteration and Timestep,19700
Central California Valley,Insect: Medium Severity,Insect,1998,1998,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,1999,1999,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2000,2000,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2001,2001,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2002,2002,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2003,2003,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2004,2004,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2005,2005,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2006,2006,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2007,2007,0,Iteration and Timestep,0
