Timestep,StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
2002,Coast Range,Insect: High Severity,Insect,2002,2002,0
2002,Puget Lowland,Insect: High Severity,Insect,2002,2002,0
2002,Willamette Valley,Insect: High Severity,Insect,2002,2002,0
2002,Cascades,Insect: High Severity,Insect,2002,2002,4300
2002,Sierra Nevada,Insect: High Severity,Insect,2002,2002,7200
2002,Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2002,2002,100
2002,Central California Valley,Insect: High Severity,Insect,2002,2002,0
2002,Southern California Mountains,Insect: High Severity,Insect,2002,2002,0
2002,Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2002,2002,3900
2002,Columbia Plateau,Insect: High Severity,Insect,2002,2002,0
2002,Blue Mountains,Insect: High Severity,Insect,2002,2002,200
2002,Snake River Plain,Insect: High Severity,Insect,2002,2002,0
2002,Central Basin and Range,Insect: High Severity,Insect,2002,2002,600
2002,Mojave Basin and Range,Insect: High Severity,Insect,2002,2002,0
2002,Northern Rockies,Insect: High Severity,Insect,2002,2002,11800
2002,Idaho Batholith,Insect: High Severity,Insect,2002,2002,28700
2002,Middle Rockies,Insect: High Severity,Insect,2002,2002,2600
2002,Wyoming Basin,Insect: High Severity,Insect,2002,2002,0
2002,Wasatch and Uinta Mountains,Insect: High Severity,Insect,2002,2002,2600
2002,Colorado Plateaus,Insect: High Severity,Insect,2002,2002,0
2002,Southern Rockies,Insect: High Severity,Insect,2002,2002,15900
2002,Arizona/New Mexico Plateau,Insect: High Severity,Insect,2002,2002,6700
2002,Arizona/New Mexico Mountains,Insect: High Severity,Insect,2002,2002,6700
2002,Chihuahuan Deserts,Insect: High Severity,Insect,2002,2002,0
2002,High Plains,Insect: High Severity,Insect,2002,2002,0
2002,Southwestern Tablelands,Insect: High Severity,Insect,2002,2002,0
2002,Central Great Plains,Insect: High Severity,Insect,2002,2002,0
2002,Flint Hills,Insect: High Severity,Insect,2002,2002,0
2002,Cross Timbers,Insect: High Severity,Insect,2002,2002,0
2002,Edwards Plateau,Insect: High Severity,Insect,2002,2002,0
2002,Southern Texas Plains,Insect: High Severity,Insect,2002,2002,0
2002,Texas Blackland Prairies,Insect: High Severity,Insect,2002,2002,0
2002,East Central Texas Plains,Insect: High Severity,Insect,2002,2002,0
2002,Western Gulf Coastal Plain,Insect: High Severity,Insect,2002,2002,0
2002,South Central Plains,Insect: High Severity,Insect,2002,2002,100
2002,Ouachita Mountains,Insect: High Severity,Insect,2002,2002,0
2002,Arkansas Valley,Insect: High Severity,Insect,2002,2002,0
2002,Boston Mountains,Insect: High Severity,Insect,2002,2002,0
2002,Ozark Highlands,Insect: High Severity,Insect,2002,2002,0
2002,Central Irregular Plains,Insect: High Severity,Insect,2002,2002,0
2002,Canadian Rockies,Insect: High Severity,Insect,2002,2002,1500
2002,Northwestern Glaciated Plains,Insect: High Severity,Insect,2002,2002,0
2002,Northwestern Great Plains,Insect: High Severity,Insect,2002,2002,0
2002,Nebraska Sand Hills,Insect: High Severity,Insect,2002,2002,0
2002,Piedmont,Insect: High Severity,Insect,2002,2002,100
2002,Northern Glaciated Plains,Insect: High Severity,Insect,2002,2002,0
2002,Western Corn Belt Plains,Insect: High Severity,Insect,2002,2002,0
2002,Lake Agassiz Plain,Insect: High Severity,Insect,2002,2002,0
2002,Northern Minnesota Wetlands,Insect: High Severity,Insect,2002,2002,0
2002,Northern Lakes and Forests,Insect: High Severity,Insect,2002,2002,0
2002,North Central Hardwood Forests,Insect: High Severity,Insect,2002,2002,0
2002,Driftless Area,Insect: High Severity,Insect,2002,2002,0
2002,Southeastern Wisconsin Till Plains,Insect: High Severity,Insect,2002,2002,0
2002,Central Corn Belt Plains,Insect: High Severity,Insect,2002,2002,0
2002,Eastern Corn Belt Plains,Insect: High Severity,Insect,2002,2002,0
2002,Southern Michigan/Northern Indiana Drift Plains,Insect: High Severity,Insect,2002,2002,0
2002,Huron/Erie Lake Plains,Insect: High Severity,Insect,2002,2002,0
2002,Northeastern Highlands,Insect: High Severity,Insect,2002,2002,4900
2002,Northeastern Coastal Zone,Insect: High Severity,Insect,2002,2002,300
2002,Northern Allegheny Plateau,Insect: High Severity,Insect,2002,2002,700
2002,Erie Drift Plain,Insect: High Severity,Insect,2002,2002,300
2002,North Central Appalachians,Insect: High Severity,Insect,2002,2002,100
2002,Middle Atlantic Coastal Plain,Insect: High Severity,Insect,2002,2002,0
2002,Northern Piedmont,Insect: High Severity,Insect,2002,2002,0
2002,Southeastern Plains,Insect: High Severity,Insect,2002,2002,100
2002,Blue Ridge,Insect: High Severity,Insect,2002,2002,9800
2002,Ridge and Valley,Insect: High Severity,Insect,2002,2002,1000
2002,Southwestern Appalachians,Insect: High Severity,Insect,2002,2002,100
2002,Central Appalachians,Insect: High Severity,Insect,2002,2002,0
2002,Western Allegheny Plateau,Insect: High Severity,Insect,2002,2002,100
2002,Interior Plateau,Insect: High Severity,Insect,2002,2002,0
2002,Interior River Valleys and Hills,Insect: High Severity,Insect,2002,2002,0
2002,Mississippi Alluvial Plain,Insect: High Severity,Insect,2002,2002,0
2002,Mississippi Valley Loess Plains,Insect: High Severity,Insect,2002,2002,0
2002,Southern Coastal Plain,Insect: High Severity,Insect,2002,2002,0
