SecondaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Alameda,Management: Forest Selection,Forest Harvest,1999,1999,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2000,2000,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2001,2001,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2002,2002,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2003,2003,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2004,2004,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2005,2005,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2006,2006,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2007,2007,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2008,2008,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2009,2009,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2010,2010,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2011,2011,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2012,2012,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2013,2013,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2014,2014,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2015,2015,0,Iteration and Timestep,0
Alameda,Management: Forest Selection,Forest Harvest,2016,2016,0,Iteration and Timestep,0
Alpine,Management: Forest Selection,Forest Harvest,1999,1999,0,Iteration and Timestep,0
Alpine,Management: Forest Selection,Forest Harvest,2000,2000,0,Iteration and Timestep,0
Alpine,Management: Forest Selection,Forest Harvest,2001,2001,0,Iteration and Timestep,0
Alpine,Management: Forest Selection,Forest Harvest,2002,2002,0,Iteration and Timestep,0
Alpine,Management: Forest Selection,Forest Harvest,2003,2003,600,Iteration and Timestep,300
Alpine,Management: Forest Selection,Forest Harvest,2004,2004,0,Iteration and Timestep,0
Alpine,Management: Forest Selection,Forest Harvest,2005,2005,0,Iteration and Timestep,0
Alpine,Management: Forest Selection,Forest Harvest,2006,2006,0,Iteration and Timestep,0
Alpine,Management: Forest Selection,Forest Harvest,2007,2007,0,Iteration and Timestep,0
Alpine,Management: Forest Selection,Forest Harvest,2008,2008,0,Iteration and Timestep,0
Alpine,Management: Forest Selection,Forest Harvest,2009,2009,0,Iteration and Timestep,0
Alpine,Management: Forest Selection,Forest Harvest,2010,2010,0,Iteration and Timestep,0
Alpine,Management: Forest Selection,Forest Harvest,2011,2011,0,Iteration and Timestep,0
Alpine,Management: Forest Selection,Forest Harvest,2012,2012,0,Iteration and Timestep,0
Alpine,Management: Forest Selection,Forest Harvest,2013,2013,0,Iteration and Timestep,0
Alpine,Management: Forest Selection,Forest Harvest,2014,2014,0,Iteration and Timestep,0
Alpine,Management: Forest Selection,Forest Harvest,2015,2015,100,Iteration and Timestep,50
Alpine,Management: Forest Selection,Forest Harvest,2016,2016,0,Iteration and Timestep,0
Amador,Management: Forest Selection,Forest Harvest,1999,1999,300,Iteration and Timestep,150
Amador,Management: Forest Selection,Forest Harvest,2000,2000,200,Iteration and Timestep,100
Amador,Management: Forest Selection,Forest Harvest,2001,2001,400,Iteration and Timestep,200
Amador,Management: Forest Selection,Forest Harvest,2002,2002,600,Iteration and Timestep,300
Amador,Management: Forest Selection,Forest Harvest,2003,2003,700,Iteration and Timestep,350
Amador,Management: Forest Selection,Forest Harvest,2004,2004,400,Iteration and Timestep,200
Amador,Management: Forest Selection,Forest Harvest,2005,2005,200,Iteration and Timestep,100
Amador,Management: Forest Selection,Forest Harvest,2006,2006,200,Iteration and Timestep,100
Amador,Management: Forest Selection,Forest Harvest,2007,2007,100,Iteration and Timestep,50
Amador,Management: Forest Selection,Forest Harvest,2008,2008,200,Iteration and Timestep,100
Amador,Management: Forest Selection,Forest Harvest,2009,2009,300,Iteration and Timestep,150
Amador,Management: Forest Selection,Forest Harvest,2010,2010,0,Iteration and Timestep,0
Amador,Management: Forest Selection,Forest Harvest,2011,2011,100,Iteration and Timestep,50
Amador,Management: Forest Selection,Forest Harvest,2012,2012,0,Iteration and Timestep,0
Amador,Management: Forest Selection,Forest Harvest,2013,2013,0,Iteration and Timestep,0
Amador,Management: Forest Selection,Forest Harvest,2014,2014,0,Iteration and Timestep,0
Amador,Management: Forest Selection,Forest Harvest,2015,2015,0,Iteration and Timestep,0
Amador,Management: Forest Selection,Forest Harvest,2016,2016,0,Iteration and Timestep,0
Butte,Management: Forest Selection,Forest Harvest,1999,1999,200,Iteration and Timestep,100
Butte,Management: Forest Selection,Forest Harvest,2000,2000,300,Iteration and Timestep,150
Butte,Management: Forest Selection,Forest Harvest,2001,2001,500,Iteration and Timestep,250
Butte,Management: Forest Selection,Forest Harvest,2002,2002,500,Iteration and Timestep,250
Butte,Management: Forest Selection,Forest Harvest,2003,2003,200,Iteration and Timestep,100
Butte,Management: Forest Selection,Forest Harvest,2004,2004,500,Iteration and Timestep,250
Butte,Management: Forest Selection,Forest Harvest,2005,2005,500,Iteration and Timestep,250
Butte,Management: Forest Selection,Forest Harvest,2006,2006,300,Iteration and Timestep,150
Butte,Management: Forest Selection,Forest Harvest,2007,2007,200,Iteration and Timestep,100
Butte,Management: Forest Selection,Forest Harvest,2008,2008,100,Iteration and Timestep,50
Butte,Management: Forest Selection,Forest Harvest,2009,2009,0,Iteration and Timestep,0
Butte,Management: Forest Selection,Forest Harvest,2010,2010,0,Iteration and Timestep,0
Butte,Management: Forest Selection,Forest Harvest,2011,2011,300,Iteration and Timestep,150
Butte,Management: Forest Selection,Forest Harvest,2012,2012,200,Iteration and Timestep,100
Butte,Management: Forest Selection,Forest Harvest,2013,2013,0,Iteration and Timestep,0
Butte,Management: Forest Selection,Forest Harvest,2014,2014,100,Iteration and Timestep,50
Butte,Management: Forest Selection,Forest Harvest,2015,2015,0,Iteration and Timestep,0
Butte,Management: Forest Selection,Forest Harvest,2016,2016,100,Iteration and Timestep,50
Calaveras,Management: Forest Selection,Forest Harvest,1999,1999,600,Iteration and Timestep,300
Calaveras,Management: Forest Selection,Forest Harvest,2000,2000,700,Iteration and Timestep,350
Calaveras,Management: Forest Selection,Forest Harvest,2001,2001,1100,Iteration and Timestep,550
Calaveras,Management: Forest Selection,Forest Harvest,2002,2002,1200,Iteration and Timestep,600
Calaveras,Management: Forest Selection,Forest Harvest,2003,2003,3300,Iteration and Timestep,1650
Calaveras,Management: Forest Selection,Forest Harvest,2004,2004,600,Iteration and Timestep,300
Calaveras,Management: Forest Selection,Forest Harvest,2005,2005,0,Iteration and Timestep,0
Calaveras,Management: Forest Selection,Forest Harvest,2006,2006,1400,Iteration and Timestep,700
Calaveras,Management: Forest Selection,Forest Harvest,2007,2007,200,Iteration and Timestep,100
Calaveras,Management: Forest Selection,Forest Harvest,2008,2008,100,Iteration and Timestep,50
Calaveras,Management: Forest Selection,Forest Harvest,2009,2009,0,Iteration and Timestep,0
Calaveras,Management: Forest Selection,Forest Harvest,2010,2010,0,Iteration and Timestep,0
Calaveras,Management: Forest Selection,Forest Harvest,2011,2011,500,Iteration and Timestep,250
Calaveras,Management: Forest Selection,Forest Harvest,2012,2012,0,Iteration and Timestep,0
Calaveras,Management: Forest Selection,Forest Harvest,2013,2013,0,Iteration and Timestep,0
Calaveras,Management: Forest Selection,Forest Harvest,2014,2014,0,Iteration and Timestep,0
Calaveras,Management: Forest Selection,Forest Harvest,2015,2015,0,Iteration and Timestep,0
Calaveras,Management: Forest Selection,Forest Harvest,2016,2016,100,Iteration and Timestep,50
Colusa,Management: Forest Selection,Forest Harvest,1999,1999,0,Iteration and Timestep,0
Colusa,Management: Forest Selection,Forest Harvest,2000,2000,0,Iteration and Timestep,0
Colusa,Management: Forest Selection,Forest Harvest,2001,2001,0,Iteration and Timestep,0
Colusa,Management: Forest Selection,Forest Harvest,2002,2002,0,Iteration and Timestep,0
Colusa,Management: Forest Selection,Forest Harvest,2003,2003,0,Iteration and Timestep,0
Colusa,Management: Forest Selection,Forest Harvest,2004,2004,0,Iteration and Timestep,0
Colusa,Management: Forest Selection,Forest Harvest,2005,2005,0,Iteration and Timestep,0
