SecondaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeID,ValueDistributionFrequency,ValueDistributionSD
Alameda,Urbanization,Urbanization,1993,1994,94.089495,Normal,Iteration and Timestep,47.0447475
Alameda,Urbanization,Urbanization,1995,1996,499.180181,Normal,Iteration and Timestep,249.5900905
Alameda,Urbanization,Urbanization,1997,1998,462.55609799999996,Normal,Iteration and Timestep,231.27804899999998
Alameda,Urbanization,Urbanization,1999,2000,366.24083,Normal,Iteration and Timestep,183.120415
Alameda,Urbanization,Urbanization,2001,2002,835.878933,Normal,Iteration and Timestep,417.9394665
Alameda,Urbanization,Urbanization,2003,2004,287.32706,Normal,Iteration and Timestep,143.66353
Alameda,Urbanization,Urbanization,2005,2006,230.67102,Normal,Iteration and Timestep,115.33551
Alameda,Urbanization,Urbanization,2007,2008,183.120415,Normal,Iteration and Timestep,91.5602075
Alameda,Urbanization,Urbanization,2009,2010,159.446284,Normal,Iteration and Timestep,79.723142
Alameda,Urbanization,Urbanization,2011,2012,182.513386,Normal,Iteration and Timestep,91.256693
Alameda,Urbanization,Urbanization,2013,2014,312.619935,Normal,Iteration and Timestep,156.3099675
Alameda,Urbanization,Urbanization,2015,2016,196.070367,Normal,Iteration and Timestep,98.0351835
Amador,Urbanization,Urbanization,1993,1994,102.183215,Normal,Iteration and Timestep,51.0916075
Amador,Urbanization,Urbanization,1995,1996,12.342922999999999,Normal,Iteration and Timestep,6.1714614999999995
Amador,Urbanization,Urbanization,1997,1998,26.506933,Normal,Iteration and Timestep,13.2534665
Amador,Urbanization,Urbanization,1999,2000,26.102247,Normal,Iteration and Timestep,13.0511235
Amador,Urbanization,Urbanization,2001,2002,133.951066,Normal,Iteration and Timestep,66.975533
Amador,Urbanization,Urbanization,2003,2004,185.75087399999998,Normal,Iteration and Timestep,92.87543699999999
Amador,Urbanization,Urbanization,2005,2006,56.65604,Normal,Iteration and Timestep,28.32802
Amador,Urbanization,Urbanization,2007,2008,24.078817,Normal,Iteration and Timestep,12.0394085
Amador,Urbanization,Urbanization,2009,2010,68.189591,Normal,Iteration and Timestep,34.0947955
Amador,Urbanization,Urbanization,2011,2012,4.451546,Normal,Iteration and Timestep,2.225773
Amador,Urbanization,Urbanization,2013,2014,3.035145,Normal,Iteration and Timestep,1.5175725
Amador,Urbanization,Urbanization,2015,2016,168.349376,Normal,Iteration and Timestep,84.174688
Butte,Urbanization,Urbanization,1993,1994,0,NA,Iteration and Timestep,NA
Butte,Urbanization,Urbanization,1995,1996,0,NA,Iteration and Timestep,NA
Butte,Urbanization,Urbanization,1997,1998,0,NA,Iteration and Timestep,NA
Butte,Urbanization,Urbanization,1999,2000,0,NA,Iteration and Timestep,NA
Butte,Urbanization,Urbanization,2001,2002,0,NA,Iteration and Timestep,NA
Butte,Urbanization,Urbanization,2003,2004,0,NA,Iteration and Timestep,NA
Butte,Urbanization,Urbanization,2005,2006,263.450586,Normal,Iteration and Timestep,131.725293
