Timestep,StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
2001,Coast Range,Ag Expansion: Pasture,Ag Expansion,2001,2006,40
2001,Puget Lowland,Ag Expansion: Pasture,Ag Expansion,2001,2006,140
2001,Willamette Valley,Ag Expansion: Pasture,Ag Expansion,2001,2006,100
2001,Cascades,Ag Expansion: Pasture,Ag Expansion,2001,2006,40
2001,Sierra Nevada,Ag Expansion: Pasture,Ag Expansion,2001,2006,0
2001,Central California Foothills and Coastal Mountains,Ag Expansion: Pasture,Ag Expansion,2001,2006,80
2001,Central California Valley,Ag Expansion: Pasture,Ag Expansion,2001,2006,160
2001,Southern California Mountains,Ag Expansion: Pasture,Ag Expansion,2001,2006,0
2001,Eastern Cascades Slopes and Foothills,Ag Expansion: Pasture,Ag Expansion,2001,2006,160
2001,Columbia Plateau,Ag Expansion: Pasture,Ag Expansion,2001,2006,240
2001,Blue Mountains,Ag Expansion: Pasture,Ag Expansion,2001,2006,80
2001,Snake River Plain,Ag Expansion: Pasture,Ag Expansion,2001,2006,140
2001,Central Basin and Range,Ag Expansion: Pasture,Ag Expansion,2001,2006,220.00000000000003
2001,Mojave Basin and Range,Ag Expansion: Pasture,Ag Expansion,2001,2006,20
2001,Northern Rockies,Ag Expansion: Pasture,Ag Expansion,2001,2006,220.00000000000003
2001,Idaho Batholith,Ag Expansion: Pasture,Ag Expansion,2001,2006,0
2001,Middle Rockies,Ag Expansion: Pasture,Ag Expansion,2001,2006,320
2001,Wyoming Basin,Ag Expansion: Pasture,Ag Expansion,2001,2006,420
2001,Wasatch and Uinta Mountains,Ag Expansion: Pasture,Ag Expansion,2001,2006,60
2001,Colorado Plateaus,Ag Expansion: Pasture,Ag Expansion,2001,2006,200
2001,Southern Rockies,Ag Expansion: Pasture,Ag Expansion,2001,2006,140
2001,Arizona/New Mexico Plateau,Ag Expansion: Pasture,Ag Expansion,2001,2006,300
2001,Arizona/New Mexico Mountains,Ag Expansion: Pasture,Ag Expansion,2001,2006,0
2001,Chihuahuan Deserts,Ag Expansion: Pasture,Ag Expansion,2001,2006,0
2001,High Plains,Ag Expansion: Pasture,Ag Expansion,2001,2006,940
2001,Southwestern Tablelands,Ag Expansion: Pasture,Ag Expansion,2001,2006,60
2001,Central Great Plains,Ag Expansion: Pasture,Ag Expansion,2001,2006,280
2001,Flint Hills,Ag Expansion: Pasture,Ag Expansion,2001,2006,40
2001,Cross Timbers,Ag Expansion: Pasture,Ag Expansion,2001,2006,260
2001,Edwards Plateau,Ag Expansion: Pasture,Ag Expansion,2001,2006,0
2001,Southern Texas Plains,Ag Expansion: Pasture,Ag Expansion,2001,2006,220.00000000000003
2001,Texas Blackland Prairies,Ag Expansion: Pasture,Ag Expansion,2001,2006,980.0000000000001
2001,East Central Texas Plains,Ag Expansion: Pasture,Ag Expansion,2001,2006,1440
2001,Western Gulf Coastal Plain,Ag Expansion: Pasture,Ag Expansion,2001,2006,660
2001,South Central Plains,Ag Expansion: Pasture,Ag Expansion,2001,2006,1500
2001,Ouachita Mountains,Ag Expansion: Pasture,Ag Expansion,2001,2006,180
2001,Arkansas Valley,Ag Expansion: Pasture,Ag Expansion,2001,2006,320
2001,Boston Mountains,Ag Expansion: Pasture,Ag Expansion,2001,2006,220.00000000000003
2001,Ozark Highlands,Ag Expansion: Pasture,Ag Expansion,2001,2006,1019.9999999999999
2001,Central Irregular Plains,Ag Expansion: Pasture,Ag Expansion,2001,2006,1620
2001,Canadian Rockies,Ag Expansion: Pasture,Ag Expansion,2001,2006,0
2001,Northwestern Glaciated Plains,Ag Expansion: Pasture,Ag Expansion,2001,2006,1639.9999999999998
2001,Northwestern Great Plains,Ag Expansion: Pasture,Ag Expansion,2001,2006,1220
2001,Nebraska Sand Hills,Ag Expansion: Pasture,Ag Expansion,2001,2006,240
2001,Piedmont,Ag Expansion: Pasture,Ag Expansion,2001,2006,2180
2001,Northern Glaciated Plains,Ag Expansion: Pasture,Ag Expansion,2001,2006,2380
2001,Western Corn Belt Plains,Ag Expansion: Pasture,Ag Expansion,2001,2006,2240
2001,Lake Agassiz Plain,Ag Expansion: Pasture,Ag Expansion,2001,2006,760
2001,Northern Minnesota Wetlands,Ag Expansion: Pasture,Ag Expansion,2001,2006,640
