Timestep,StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
2002,Coast Range,Fire: High Severity,Fire,2002,2002,300
2002,Puget Lowland,Fire: High Severity,Fire,2002,2002,0
2002,Willamette Valley,Fire: High Severity,Fire,2002,2002,0
2002,Cascades,Fire: High Severity,Fire,2002,2002,7600
2002,Sierra Nevada,Fire: High Severity,Fire,2002,2002,20000
2002,Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2002,2002,3000
2002,Central California Valley,Fire: High Severity,Fire,2002,2002,200
2002,Southern California Mountains,Fire: High Severity,Fire,2002,2002,16700
2002,Eastern Cascades Slopes and Foothills,Fire: High Severity,Fire,2002,2002,13600
2002,Columbia Plateau,Fire: High Severity,Fire,2002,2002,700
2002,Blue Mountains,Fire: High Severity,Fire,2002,2002,7700
2002,Snake River Plain,Fire: High Severity,Fire,2002,2002,400
2002,Central Basin and Range,Fire: High Severity,Fire,2002,2002,7000
2002,Mojave Basin and Range,Fire: High Severity,Fire,2002,2002,200
2002,Northern Rockies,Fire: High Severity,Fire,2002,2002,200
2002,Idaho Batholith,Fire: High Severity,Fire,2002,2002,1200
2002,Middle Rockies,Fire: High Severity,Fire,2002,2002,5800
2002,Wyoming Basin,Fire: High Severity,Fire,2002,2002,4400
2002,Wasatch and Uinta Mountains,Fire: High Severity,Fire,2002,2002,12900
2002,Colorado Plateaus,Fire: High Severity,Fire,2002,2002,16500
2002,Southern Rockies,Fire: High Severity,Fire,2002,2002,51700
2002,Arizona/New Mexico Plateau,Fire: High Severity,Fire,2002,2002,0
2002,Arizona/New Mexico Mountains,Fire: High Severity,Fire,2002,2002,72900
2002,Chihuahuan Deserts,Fire: High Severity,Fire,2002,2002,0
2002,High Plains,Fire: High Severity,Fire,2002,2002,300
2002,Southwestern Tablelands,Fire: High Severity,Fire,2002,2002,200
2002,Central Great Plains,Fire: High Severity,Fire,2002,2002,0
2002,Flint Hills,Fire: High Severity,Fire,2002,2002,0
2002,Cross Timbers,Fire: High Severity,Fire,2002,2002,0
2002,Edwards Plateau,Fire: High Severity,Fire,2002,2002,0
2002,Southern Texas Plains,Fire: High Severity,Fire,2002,2002,0
2002,Texas Blackland Prairies,Fire: High Severity,Fire,2002,2002,0
2002,East Central Texas Plains,Fire: High Severity,Fire,2002,2002,0
2002,Western Gulf Coastal Plain,Fire: High Severity,Fire,2002,2002,18200
2002,South Central Plains,Fire: High Severity,Fire,2002,2002,1700
2002,Ouachita Mountains,Fire: High Severity,Fire,2002,2002,0
2002,Arkansas Valley,Fire: High Severity,Fire,2002,2002,0
2002,Boston Mountains,Fire: High Severity,Fire,2002,2002,0
2002,Ozark Highlands,Fire: High Severity,Fire,2002,2002,100
2002,Central Irregular Plains,Fire: High Severity,Fire,2002,2002,0
2002,Canadian Rockies,Fire: High Severity,Fire,2002,2002,1500
2002,Northwestern Glaciated Plains,Fire: High Severity,Fire,2002,2002,0
2002,Northwestern Great Plains,Fire: High Severity,Fire,2002,2002,3300
2002,Nebraska Sand Hills,Fire: High Severity,Fire,2002,2002,0
2002,Piedmont,Fire: High Severity,Fire,2002,2002,0
2002,Northern Glaciated Plains,Fire: High Severity,Fire,2002,2002,0
2002,Western Corn Belt Plains,Fire: High Severity,Fire,2002,2002,0
2002,Lake Agassiz Plain,Fire: High Severity,Fire,2002,2002,0
2002,Northern Minnesota Wetlands,Fire: High Severity,Fire,2002,2002,0
2002,Northern Lakes and Forests,Fire: High Severity,Fire,2002,2002,0
2002,North Central Hardwood Forests,Fire: High Severity,Fire,2002,2002,0
2002,Driftless Area,Fire: High Severity,Fire,2002,2002,0
2002,Southeastern Wisconsin Till Plains,Fire: High Severity,Fire,2002,2002,0
2002,Central Corn Belt Plains,Fire: High Severity,Fire,2002,2002,0
2002,Eastern Corn Belt Plains,Fire: High Severity,Fire,2002,2002,0
2002,Southern Michigan/Northern Indiana Drift Plains,Fire: High Severity,Fire,2002,2002,0
2002,Huron/Erie Lake Plains,Fire: High Severity,Fire,2002,2002,0
2002,Northeastern Highlands,Fire: High Severity,Fire,2002,2002,0
2002,Northeastern Coastal Zone,Fire: High Severity,Fire,2002,2002,0
2002,Northern Allegheny Plateau,Fire: High Severity,Fire,2002,2002,0
2002,Erie Drift Plain,Fire: High Severity,Fire,2002,2002,0
2002,North Central Appalachians,Fire: High Severity,Fire,2002,2002,9800
2002,Middle Atlantic Coastal Plain,Fire: High Severity,Fire,2002,2002,300
2002,Northern Piedmont,Fire: High Severity,Fire,2002,2002,200
2002,Southeastern Plains,Fire: High Severity,Fire,2002,2002,0
2002,Blue Ridge,Fire: High Severity,Fire,2002,2002,200
2002,Ridge and Valley,Fire: High Severity,Fire,2002,2002,2900
2002,Southwestern Appalachians,Fire: High Severity,Fire,2002,2002,0
2002,Central Appalachians,Fire: High Severity,Fire,2002,2002,3800
2002,Western Allegheny Plateau,Fire: High Severity,Fire,2002,2002,0
2002,Interior Plateau,Fire: High Severity,Fire,2002,2002,0
2002,Interior River Valleys and Hills,Fire: High Severity,Fire,2002,2002,100
2002,Mississippi Alluvial Plain,Fire: High Severity,Fire,2002,2002,0
2002,Mississippi Valley Loess Plains,Fire: High Severity,Fire,2002,2002,0
2002,Southern Coastal Plain,Fire: High Severity,Fire,2002,2002,2700
2002,Southern Florida Coastal Plain,Fire: High Severity,Fire,2002,2002,0
2002,North Cascades,Fire: High Severity,Fire,2002,2002,5700
2002,Klamath Mountains/California High North Coast Range,Fire: High Severity,Fire,2002,2002,58300
2002,Madrean Archipelago,Fire: High Severity,Fire,2002,2002,3400
2002,Northern Basin and Range,Fire: High Severity,Fire,2002,2002,3400
2002,Sonoran Basin and Range,Fire: High Severity,Fire,2002,2002,1000
2002,Acadian Plains and Hills,Fire: High Severity,Fire,2002,2002,0
2002,Eastern Great Lakes Lowlands,Fire: High Severity,Fire,2002,2002,0
2002,Atlantic Coastal Pine Barrens,Fire: High Severity,Fire,2002,2002,200
2002,Southern California/Northern Baja Coast,Fire: High Severity,Fire,2002,2002,1400
2003,Coast Range,Fire: High Severity,Fire,2003,2003,1600
2003,Puget Lowland,Fire: High Severity,Fire,2003,2003,0
2003,Willamette Valley,Fire: High Severity,Fire,2003,2003,0
2003,Cascades,Fire: High Severity,Fire,2003,2003,2500
2003,Sierra Nevada,Fire: High Severity,Fire,2003,2003,2800
2003,Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2003,2003,1400
2003,Central California Valley,Fire: High Severity,Fire,2003,2003,300
2003,Southern California Mountains,Fire: High Severity,Fire,2003,2003,50700
2003,Eastern Cascades Slopes and Foothills,Fire: High Severity,Fire,2003,2003,5300
2003,Columbia Plateau,Fire: High Severity,Fire,2003,2003,0
2003,Blue Mountains,Fire: High Severity,Fire,2003,2003,2300
2003,Snake River Plain,Fire: High Severity,Fire,2003,2003,400
2003,Central Basin and Range,Fire: High Severity,Fire,2003,2003,1400
2003,Mojave Basin and Range,Fire: High Severity,Fire,2003,2003,2700
2003,Northern Rockies,Fire: High Severity,Fire,2003,2003,7800
2003,Idaho Batholith,Fire: High Severity,Fire,2003,2003,14700
2003,Middle Rockies,Fire: High Severity,Fire,2003,2003,27900
2003,Wyoming Basin,Fire: High Severity,Fire,2003,2003,300
2003,Wasatch and Uinta Mountains,Fire: High Severity,Fire,2003,2003,6700
2003,Colorado Plateaus,Fire: High Severity,Fire,2003,2003,5100
2003,Southern Rockies,Fire: High Severity,Fire,2003,2003,2800
2003,Arizona/New Mexico Plateau,Fire: High Severity,Fire,2003,2003,0
2003,Arizona/New Mexico Mountains,Fire: High Severity,Fire,2003,2003,13800
2003,Chihuahuan Deserts,Fire: High Severity,Fire,2003,2003,0
2003,High Plains,Fire: High Severity,Fire,2003,2003,500
2003,Southwestern Tablelands,Fire: High Severity,Fire,2003,2003,200
2003,Central Great Plains,Fire: High Severity,Fire,2003,2003,0
2003,Flint Hills,Fire: High Severity,Fire,2003,2003,0
2003,Cross Timbers,Fire: High Severity,Fire,2003,2003,0
2003,Edwards Plateau,Fire: High Severity,Fire,2003,2003,0
2003,Southern Texas Plains,Fire: High Severity,Fire,2003,2003,0
2003,Texas Blackland Prairies,Fire: High Severity,Fire,2003,2003,0
2003,East Central Texas Plains,Fire: High Severity,Fire,2003,2003,0
2003,Western Gulf Coastal Plain,Fire: High Severity,Fire,2003,2003,18800
2003,South Central Plains,Fire: High Severity,Fire,2003,2003,1900
2003,Ouachita Mountains,Fire: High Severity,Fire,2003,2003,0
2003,Arkansas Valley,Fire: High Severity,Fire,2003,2003,0
2003,Boston Mountains,Fire: High Severity,Fire,2003,2003,2400
2003,Ozark Highlands,Fire: High Severity,Fire,2003,2003,300
2003,Central Irregular Plains,Fire: High Severity,Fire,2003,2003,0
2003,Canadian Rockies,Fire: High Severity,Fire,2003,2003,29000
2003,Northwestern Glaciated Plains,Fire: High Severity,Fire,2003,2003,0
2003,Northwestern Great Plains,Fire: High Severity,Fire,2003,2003,8400
2003,Nebraska Sand Hills,Fire: High Severity,Fire,2003,2003,0
2003,Piedmont,Fire: High Severity,Fire,2003,2003,0
2003,Northern Glaciated Plains,Fire: High Severity,Fire,2003,2003,0
2003,Western Corn Belt Plains,Fire: High Severity,Fire,2003,2003,0
2003,Lake Agassiz Plain,Fire: High Severity,Fire,2003,2003,0
2003,Northern Minnesota Wetlands,Fire: High Severity,Fire,2003,2003,0
2003,Northern Lakes and Forests,Fire: High Severity,Fire,2003,2003,100
2003,North Central Hardwood Forests,Fire: High Severity,Fire,2003,2003,100
2003,Driftless Area,Fire: High Severity,Fire,2003,2003,0
2003,Southeastern Wisconsin Till Plains,Fire: High Severity,Fire,2003,2003,100
2003,Central Corn Belt Plains,Fire: High Severity,Fire,2003,2003,0
2003,Eastern Corn Belt Plains,Fire: High Severity,Fire,2003,2003,0
2003,Southern Michigan/Northern Indiana Drift Plains,Fire: High Severity,Fire,2003,2003,0
2003,Huron/Erie Lake Plains,Fire: High Severity,Fire,2003,2003,0
2003,Northeastern Highlands,Fire: High Severity,Fire,2003,2003,0
2003,Northeastern Coastal Zone,Fire: High Severity,Fire,2003,2003,0
2003,Northern Allegheny Plateau,Fire: High Severity,Fire,2003,2003,0
2003,Erie Drift Plain,Fire: High Severity,Fire,2003,2003,0
2003,North Central Appalachians,Fire: High Severity,Fire,2003,2003,1100
2003,Middle Atlantic Coastal Plain,Fire: High Severity,Fire,2003,2003,300
2003,Northern Piedmont,Fire: High Severity,Fire,2003,2003,0
2003,Southeastern Plains,Fire: High Severity,Fire,2003,2003,0
2003,Blue Ridge,Fire: High Severity,Fire,2003,2003,0
2003,Ridge and Valley,Fire: High Severity,Fire,2003,2003,0
2003,Southwestern Appalachians,Fire: High Severity,Fire,2003,2003,0
2003,Central Appalachians,Fire: High Severity,Fire,2003,2003,0
2003,Western Allegheny Plateau,Fire: High Severity,Fire,2003,2003,2000
2003,Interior Plateau,Fire: High Severity,Fire,2003,2003,0
2003,Interior River Valleys and Hills,Fire: High Severity,Fire,2003,2003,0
2003,Mississippi Alluvial Plain,Fire: High Severity,Fire,2003,2003,200
2003,Mississippi Valley Loess Plains,Fire: High Severity,Fire,2003,2003,0
2003,Southern Coastal Plain,Fire: High Severity,Fire,2003,2003,1800
2003,Southern Florida Coastal Plain,Fire: High Severity,Fire,2003,2003,100
2003,North Cascades,Fire: High Severity,Fire,2003,2003,21600
2003,Klamath Mountains/California High North Coast Range,Fire: High Severity,Fire,2003,2003,1800
2003,Madrean Archipelago,Fire: High Severity,Fire,2003,2003,4600
2003,Northern Basin and Range,Fire: High Severity,Fire,2003,2003,1300
2003,Sonoran Basin and Range,Fire: High Severity,Fire,2003,2003,200
2003,Acadian Plains and Hills,Fire: High Severity,Fire,2003,2003,0
2003,Eastern Great Lakes Lowlands,Fire: High Severity,Fire,2003,2003,0
2003,Atlantic Coastal Pine Barrens,Fire: High Severity,Fire,2003,2003,200
2003,Southern California/Northern Baja Coast,Fire: High Severity,Fire,2003,2003,53300
2004,Coast Range,Fire: High Severity,Fire,2004,2004,0
2004,Puget Lowland,Fire: High Severity,Fire,2004,2004,0
2004,Willamette Valley,Fire: High Severity,Fire,2004,2004,0
2004,Cascades,Fire: High Severity,Fire,2004,2004,1100
2004,Sierra Nevada,Fire: High Severity,Fire,2004,2004,5000
2004,Central California Foothills and Coastal Mountains,Fire: High Severity,Fire,2004,2004,2400
2004,Central California Valley,Fire: High Severity,Fire,2004,2004,0
2004,Southern California Mountains,Fire: High Severity,Fire,2004,2004,2900
2004,Eastern Cascades Slopes and Foothills,Fire: High Severity,Fire,2004,2004,800
2004,Columbia Plateau,Fire: High Severity,Fire,2004,2004,100
2004,Blue Mountains,Fire: High Severity,Fire,2004,2004,800
2004,Snake River Plain,Fire: High Severity,Fire,2004,2004,300
2004,Central Basin and Range,Fire: High Severity,Fire,2004,2004,4300
2004,Mojave Basin and Range,Fire: High Severity,Fire,2004,2004,100
2004,Northern Rockies,Fire: High Severity,Fire,2004,2004,300
2004,Idaho Batholith,Fire: High Severity,Fire,2004,2004,500
2004,Middle Rockies,Fire: High Severity,Fire,2004,2004,900
2004,Wyoming Basin,Fire: High Severity,Fire,2004,2004,100
2004,Wasatch and Uinta Mountains,Fire: High Severity,Fire,2004,2004,1100
2004,Colorado Plateaus,Fire: High Severity,Fire,2004,2004,3000
2004,Southern Rockies,Fire: High Severity,Fire,2004,2004,1000
2004,Arizona/New Mexico Plateau,Fire: High Severity,Fire,2004,2004,0
2004,Arizona/New Mexico Mountains,Fire: High Severity,Fire,2004,2004,2300
2004,Chihuahuan Deserts,Fire: High Severity,Fire,2004,2004,0
2004,High Plains,Fire: High Severity,Fire,2004,2004,0
2004,Southwestern Tablelands,Fire: High Severity,Fire,2004,2004,0
2004,Central Great Plains,Fire: High Severity,Fire,2004,2004,0
2004,Flint Hills,Fire: High Severity,Fire,2004,2004,0
2004,Cross Timbers,Fire: High Severity,Fire,2004,2004,100
2004,Edwards Plateau,Fire: High Severity,Fire,2004,2004,0
2004,Southern Texas Plains,Fire: High Severity,Fire,2004,2004,0
2004,Texas Blackland Prairies,Fire: High Severity,Fire,2004,2004,0
2004,East Central Texas Plains,Fire: High Severity,Fire,2004,2004,0
2004,Western Gulf Coastal Plain,Fire: High Severity,Fire,2004,2004,9400
2004,South Central Plains,Fire: High Severity,Fire,2004,2004,1800
