Timestep,StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
2002,Coast Range,Management: Forest Clearcut,Forest Harvest,2002,2002,49300
2002,Puget Lowland,Management: Forest Clearcut,Forest Harvest,2002,2002,6400
2002,Willamette Valley,Management: Forest Clearcut,Forest Harvest,2002,2002,5200
2002,Cascades,Management: Forest Clearcut,Forest Harvest,2002,2002,28700
2002,Sierra Nevada,Management: Forest Clearcut,Forest Harvest,2002,2002,11900
2002,Central California Foothills and Coastal Mountains,Management: Forest Clearcut,Forest Harvest,2002,2002,700
2002,Central California Valley,Management: Forest Clearcut,Forest Harvest,2002,2002,400
2002,Southern California Mountains,Management: Forest Clearcut,Forest Harvest,2002,2002,100
2002,Eastern Cascades Slopes and Foothills,Management: Forest Clearcut,Forest Harvest,2002,2002,15400
2002,Columbia Plateau,Management: Forest Clearcut,Forest Harvest,2002,2002,900
2002,Blue Mountains,Management: Forest Clearcut,Forest Harvest,2002,2002,11800
2002,Snake River Plain,Management: Forest Clearcut,Forest Harvest,2002,2002,3300
2002,Central Basin and Range,Management: Forest Clearcut,Forest Harvest,2002,2002,2600
2002,Mojave Basin and Range,Management: Forest Clearcut,Forest Harvest,2002,2002,100
2002,Northern Rockies,Management: Forest Clearcut,Forest Harvest,2002,2002,43600
2002,Idaho Batholith,Management: Forest Clearcut,Forest Harvest,2002,2002,8900
2002,Middle Rockies,Management: Forest Clearcut,Forest Harvest,2002,2002,21200
2002,Wyoming Basin,Management: Forest Clearcut,Forest Harvest,2002,2002,1200
2002,Wasatch and Uinta Mountains,Management: Forest Clearcut,Forest Harvest,2002,2002,2400
2002,Colorado Plateaus,Management: Forest Clearcut,Forest Harvest,2002,2002,7300
2002,Southern Rockies,Management: Forest Clearcut,Forest Harvest,2002,2002,5500
2002,Arizona/New Mexico Plateau,Management: Forest Clearcut,Forest Harvest,2002,2002,2500
2002,Arizona/New Mexico Mountains,Management: Forest Clearcut,Forest Harvest,2002,2002,5600
2002,Chihuahuan Deserts,Management: Forest Clearcut,Forest Harvest,2002,2002,0
2002,High Plains,Management: Forest Clearcut,Forest Harvest,2002,2002,100
2002,Southwestern Tablelands,Management: Forest Clearcut,Forest Harvest,2002,2002,100
2002,Central Great Plains,Management: Forest Clearcut,Forest Harvest,2002,2002,0
2002,Flint Hills,Management: Forest Clearcut,Forest Harvest,2002,2002,0
2002,Cross Timbers,Management: Forest Clearcut,Forest Harvest,2002,2002,200
2002,Edwards Plateau,Management: Forest Clearcut,Forest Harvest,2002,2002,1700
2002,Southern Texas Plains,Management: Forest Clearcut,Forest Harvest,2002,2002,0
2002,Texas Blackland Prairies,Management: Forest Clearcut,Forest Harvest,2002,2002,0
2002,East Central Texas Plains,Management: Forest Clearcut,Forest Harvest,2002,2002,1600
2002,Western Gulf Coastal Plain,Management: Forest Clearcut,Forest Harvest,2002,2002,3200
2002,South Central Plains,Management: Forest Clearcut,Forest Harvest,2002,2002,143300
2002,Ouachita Mountains,Management: Forest Clearcut,Forest Harvest,2002,2002,28300
2002,Arkansas Valley,Management: Forest Clearcut,Forest Harvest,2002,2002,3100
2002,Boston Mountains,Management: Forest Clearcut,Forest Harvest,2002,2002,1100
2002,Ozark Highlands,Management: Forest Clearcut,Forest Harvest,2002,2002,11700
2002,Central Irregular Plains,Management: Forest Clearcut,Forest Harvest,2002,2002,100
2002,Canadian Rockies,Management: Forest Clearcut,Forest Harvest,2002,2002,2700
2002,Northwestern Glaciated Plains,Management: Forest Clearcut,Forest Harvest,2002,2002,0
2002,Northwestern Great Plains,Management: Forest Clearcut,Forest Harvest,2002,2002,2400
2002,Nebraska Sand Hills,Management: Forest Clearcut,Forest Harvest,2002,2002,0
2002,Piedmont,Management: Forest Clearcut,Forest Harvest,2002,2002,89100
2002,Northern Glaciated Plains,Management: Forest Clearcut,Forest Harvest,2002,2002,0
2002,Western Corn Belt Plains,Management: Forest Clearcut,Forest Harvest,2002,2002,200
2002,Lake Agassiz Plain,Management: Forest Clearcut,Forest Harvest,2002,2002,0
2002,Northern Minnesota Wetlands,Management: Forest Clearcut,Forest Harvest,2002,2002,1800
2002,Northern Lakes and Forests,Management: Forest Clearcut,Forest Harvest,2002,2002,38700
2002,North Central Hardwood Forests,Management: Forest Clearcut,Forest Harvest,2002,2002,5400
2002,Driftless Area,Management: Forest Clearcut,Forest Harvest,2002,2002,300
2002,Southeastern Wisconsin Till Plains,Management: Forest Clearcut,Forest Harvest,2002,2002,100
2002,Central Corn Belt Plains,Management: Forest Clearcut,Forest Harvest,2002,2002,500
2002,Eastern Corn Belt Plains,Management: Forest Clearcut,Forest Harvest,2002,2002,100
2002,Southern Michigan/Northern Indiana Drift Plains,Management: Forest Clearcut,Forest Harvest,2002,2002,1000
2002,Huron/Erie Lake Plains,Management: Forest Clearcut,Forest Harvest,2002,2002,200
2002,Northeastern Highlands,Management: Forest Clearcut,Forest Harvest,2002,2002,14200
