Timestep,StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
2001,Coast Range,Intensification: Open to Low,Intensification,2001,2006,40
2001,Puget Lowland,Intensification: Open to Low,Intensification,2001,2006,20
2001,Willamette Valley,Intensification: Open to Low,Intensification,2001,2006,0
2001,Cascades,Intensification: Open to Low,Intensification,2001,2006,0
2001,Sierra Nevada,Intensification: Open to Low,Intensification,2001,2006,0
2001,Central California Foothills and Coastal Mountains,Intensification: Open to Low,Intensification,2001,2006,100
2001,Central California Valley,Intensification: Open to Low,Intensification,2001,2006,100
2001,Southern California Mountains,Intensification: Open to Low,Intensification,2001,2006,0
2001,Eastern Cascades Slopes and Foothills,Intensification: Open to Low,Intensification,2001,2006,0
2001,Columbia Plateau,Intensification: Open to Low,Intensification,2001,2006,0
2001,Blue Mountains,Intensification: Open to Low,Intensification,2001,2006,0
2001,Snake River Plain,Intensification: Open to Low,Intensification,2001,2006,20
2001,Central Basin and Range,Intensification: Open to Low,Intensification,2001,2006,40
2001,Mojave Basin and Range,Intensification: Open to Low,Intensification,2001,2006,40
2001,Northern Rockies,Intensification: Open to Low,Intensification,2001,2006,40
2001,Idaho Batholith,Intensification: Open to Low,Intensification,2001,2006,0
2001,Middle Rockies,Intensification: Open to Low,Intensification,2001,2006,0
2001,Wyoming Basin,Intensification: Open to Low,Intensification,2001,2006,0
2001,Wasatch and Uinta Mountains,Intensification: Open to Low,Intensification,2001,2006,20
2001,Colorado Plateaus,Intensification: Open to Low,Intensification,2001,2006,0
2001,Southern Rockies,Intensification: Open to Low,Intensification,2001,2006,0
2001,Arizona/New Mexico Plateau,Intensification: Open to Low,Intensification,2001,2006,0
2001,Arizona/New Mexico Mountains,Intensification: Open to Low,Intensification,2001,2006,0
2001,Chihuahuan Deserts,Intensification: Open to Low,Intensification,2001,2006,0
2001,High Plains,Intensification: Open to Low,Intensification,2001,2006,20
2001,Southwestern Tablelands,Intensification: Open to Low,Intensification,2001,2006,0
2001,Central Great Plains,Intensification: Open to Low,Intensification,2001,2006,60
2001,Flint Hills,Intensification: Open to Low,Intensification,2001,2006,0
2001,Cross Timbers,Intensification: Open to Low,Intensification,2001,2006,40
2001,Edwards Plateau,Intensification: Open to Low,Intensification,2001,2006,100
2001,Southern Texas Plains,Intensification: Open to Low,Intensification,2001,2006,20
2001,Texas Blackland Prairies,Intensification: Open to Low,Intensification,2001,2006,220.00000000000003
2001,East Central Texas Plains,Intensification: Open to Low,Intensification,2001,2006,0
