FromStockTypeID,ToStockTypeID,TransitionGroupID,FlowTypeID,Multiplier
Biomass: Merchantable,DOM: Snag Stem,Fire: High Severity [Type],LULC: Mortality,1
Biomass: Foliage,DOM: Aboveground Very Fast,Fire: High Severity [Type],LULC: Mortality,0.0164
Biomass: Foliage,Atmosphere CO2,Fire: High Severity [Type],LULC: Emission,0.8852
Biomass: Foliage,Atmosphere CH4,Fire: High Severity [Type],LULC: Emission,0.0098
Biomass: Foliage,Atmosphere CO,Fire: High Severity [Type],LULC: Emission,0.0885
Biomass: Other Wood,DOM: Snag Branch,Fire: High Severity [Type],LULC: Mortality,0.908
Biomass: Other Wood,Atmosphere CO2,Fire: High Severity [Type],LULC: Emission,0.0828
Biomass: Other Wood,Atmosphere CH4,Fire: High Severity [Type],LULC: Emission,9.00E-04
Biomass: Other Wood,Atmosphere CO,Fire: High Severity [Type],LULC: Emission,0.0083
Biomass: Coarse Root,DOM: Aboveground Fast,Fire: High Severity [Type],LULC: Mortality,0.5
Biomass: Coarse Root,DOM: Belowground Fast,Fire: High Severity [Type],LULC: Mortality,0.5
Biomass: Fine Root,DOM: Aboveground Very Fast,Fire: High Severity [Type],LULC: Mortality,0.2731
Biomass: Fine Root,DOM: Belowground Very Fast,Fire: High Severity [Type],LULC: Mortality,0.5
Biomass: Fine Root,Atmosphere CO2,Fire: High Severity [Type],LULC: Emission,0.2042
Biomass: Fine Root,Atmosphere CH4,Fire: High Severity [Type],LULC: Emission,0.0023
Biomass: Fine Root,Atmosphere CO,Fire: High Severity [Type],LULC: Emission,0.0204
DOM: Aboveground Very Fast,Atmosphere CO2,Fire: High Severity [Type],LULC: Emission,0.9
DOM: Aboveground Very Fast,Atmosphere CH4,Fire: High Severity [Type],LULC: Emission,0.01
DOM: Aboveground Very Fast,Atmosphere CO,Fire: High Severity [Type],LULC: Emission,0.09
DOM: Aboveground Fast,Atmosphere CO2,Fire: High Severity [Type],LULC: Emission,0.5028
DOM: Aboveground Fast,Atmosphere CH4,Fire: High Severity [Type],LULC: Emission,0.0056
DOM: Aboveground Fast,Atmosphere CO,Fire: High Severity [Type],LULC: Emission,0.0503
DOM: Aboveground Medium,Atmosphere CO2,Fire: High Severity [Type],LULC: Emission,0.1255
DOM: Aboveground Medium,Atmosphere CH4,Fire: High Severity [Type],LULC: Emission,0.0014
DOM: Aboveground Medium,Atmosphere CO,Fire: High Severity [Type],LULC: Emission,0.0125
DOM: Aboveground Slow,Atmosphere CO2,Fire: High Severity [Type],LULC: Emission,0.4072
DOM: Aboveground Slow,Atmosphere CH4,Fire: High Severity [Type],LULC: Emission,0.0045
DOM: Aboveground Slow,Atmosphere CO,Fire: High Severity [Type],LULC: Emission,0.0407
DOM: Snag Stem,DOM: Aboveground Medium,Fire: High Severity [Type],LULC: Transfer,1
DOM: Snag Branch,DOM: Aboveground Fast,Fire: High Severity [Type],LULC: Transfer,1
Biomass: Merchantable,DOM: Aboveground Medium,Management: Salvage Logging [Type],LULC: Mortality,0.15
Biomass: Merchantable,Forestry Sector,Management: Salvage Logging [Type],LULC: Harvest,0.85
Biomass: Foliage,DOM: Aboveground Very Fast,Management: Salvage Logging [Type],LULC: Mortality,1
Biomass: Other Wood,DOM: Aboveground Fast,Management: Salvage Logging [Type],LULC: Mortality,1
Biomass: Coarse Root,DOM: Aboveground Fast,Management: Salvage Logging [Type],LULC: Mortality,0.5
Biomass: Coarse Root,DOM: Belowground Fast,Management: Salvage Logging [Type],LULC: Mortality,0.5
Biomass: Fine Root,DOM: Aboveground Very Fast,Management: Salvage Logging [Type],LULC: Mortality,0.5
Biomass: Fine Root,DOM: Belowground Very Fast,Management: Salvage Logging [Type],LULC: Mortality,0.5
DOM: Snag Stem,DOM: Aboveground Medium,Management: Salvage Logging [Type],LULC: Transfer,0.28
DOM: Snag Stem,Forestry Sector,Management: Salvage Logging [Type],LULC: Harvest,0.72
DOM: Snag Branch,DOM: Aboveground Fast,Management: Salvage Logging [Type],LULC: Transfer,1
