FromStratumID,FromSecondaryStratumID,FromStateClassID,FromAgeMin,FromStockTypeID,ToAgeMin,ToStockTypeID,StateAttributeTypeID,FlowTypeID,Multiplier
NA,NA,Forest: Pinyon/Juniper Group,NA,Biomass: Coarse Root,NA,DOM: Aboveground Fast,NA,Biomass Turnover: Coarse Roots -> AG Fast,0.01
NA,NA,Forest: Pinyon/Juniper Group,NA,Biomass: Coarse Root,NA,DOM: Belowground Fast,NA,Biomass Turnover: Coarse Roots -> BG Fast,0.01
NA,NA,Forest: Pinyon/Juniper Group,NA,Biomass: Fine Root,NA,DOM: Aboveground Very Fast,NA,Biomass Turnover: Fine Roots -> AG Very Fast,0.3205
NA,NA,Forest: Pinyon/Juniper Group,NA,Biomass: Fine Root,NA,DOM: Belowground Very Fast,NA,Biomass Turnover: Fine Roots -> BG Very Fast,0.3205
NA,NA,Forest: Pinyon/Juniper Group,NA,Biomass: Foliage,NA,DOM: Aboveground Very Fast,NA,Biomass Turnover: Foliage -> AG Very Fast,0.1
NA,NA,Forest: Pinyon/Juniper Group,NA,Biomass: Merchantable,NA,DOM: Snag Stem,NA,Biomass Turnover: Merchantable -> Snag Stems,0.0045
NA,NA,Forest: Pinyon/Juniper Group,NA,Biomass: Other Wood,NA,DOM: Aboveground Fast,NA,Biomass Turnover: Other Wood -> AG Fast,0.03
NA,NA,Forest: Pinyon/Juniper Group,NA,Biomass: Other Wood,NA,DOM: Snag Branch,NA,Biomass Turnover: Other Wood -> Snag Branches,0.01
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Aboveground Fast,NA,Atmosphere,NA,Emission: AG Fast -> Atmosphere,0.067
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Aboveground Fast,NA,DOM: Aboveground Slow,NA,Decay: AG Fast -> AG Slow,0.0137
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Aboveground Medium,NA,Atmosphere,NA,Emission: AG Medium -> Atmosphere,0.0174
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Aboveground Medium,NA,DOM: Aboveground Slow,NA,Decay: AG Medium -> AG Slow,0.0036
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Aboveground Slow,NA,Atmosphere,NA,Emission: AG Slow -> Atmosphere,0.0067
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Aboveground Slow,NA,DOM: Belowground Slow,NA,Transfer: AG Slow -> BG Slow,0.006
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Aboveground Very Fast,NA,Atmosphere,NA,Emission: AG Very Fast -> Atmosphere,0.1287
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Aboveground Very Fast,NA,DOM: Aboveground Slow,NA,Decay: AG Very Fast -> AG Slow,0.0292
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Belowground Fast,NA,Atmosphere,NA,Emission: BG Fast -> Atmosphere,0.067
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Belowground Fast,NA,DOM: Belowground Slow,NA,Decay: BG Fast -> BG Slow,0.0137
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Belowground Slow,NA,Atmosphere,NA,Emission: BG Slow -> Atmosphere,0.0033
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Belowground Very Fast,NA,Atmosphere,NA,Emission: BG Very Fast -> Atmosphere,0.2333
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Belowground Very Fast,NA,DOM: Belowground Slow,NA,Decay: BG Very Fast -> BG Slow,0.0478
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Snag Branch,NA,Atmosphere,NA,Emission: Snag Branch -> Atmosphere,0.0335
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Snag Branch,NA,DOM: Aboveground Fast,NA,Transfer: Snag Branch -> AG Fast,0.1
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Snag Branch,NA,DOM: Aboveground Slow,NA,Decay: Snag Branch -> AG Slow,0.0069
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Snag Stem,NA,Atmosphere,NA,Emission: Snag Stem -> Atmosphere,0.0087
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Snag Stem,NA,DOM: Aboveground Medium,NA,Transfer: Snag Stem -> AG Medium,0.032
NA,NA,Forest: Pinyon/Juniper Group,NA,DOM: Snag Stem,NA,DOM: Aboveground Slow,NA,Decay: Snag Stem -> AG Slow,0.0018
