Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2017,Alameda,Ag Contraction: Cropland,109.09660083333333,Iteration and Timestep,67.00477678467962,21.043672,214.28123699999998
2021,Alameda,Ag Contraction: Cropland,109.09660083333333,Iteration and Timestep,67.00477678467962,21.043672,214.28123699999998
2031,Alameda,Ag Contraction: Cropland,109.09660083333333,Iteration and Timestep,67.00477678467962,21.043672,214.28123699999998
2041,Alameda,Ag Contraction: Cropland,109.09660083333333,Iteration and Timestep,67.00477678467962,21.043672,214.28123699999998
2051,Alameda,Ag Contraction: Cropland,109.09660083333333,Iteration and Timestep,67.00477678467962,21.043672,214.28123699999998
2061,Alameda,Ag Contraction: Cropland,109.09660083333333,Iteration and Timestep,67.00477678467962,21.043672,214.28123699999998
2071,Alameda,Ag Contraction: Cropland,109.09660083333333,Iteration and Timestep,67.00477678467962,21.043672,214.28123699999998
2081,Alameda,Ag Contraction: Cropland,109.09660083333333,Iteration and Timestep,67.00477678467962,21.043672,214.28123699999998
2091,Alameda,Ag Contraction: Cropland,109.09660083333333,Iteration and Timestep,67.00477678467962,21.043672,214.28123699999998
2017,Alpine,Ag Contraction: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2021,Alpine,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2031,Alpine,Ag Contraction: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2041,Alpine,Ag Contraction: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2051,Alpine,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2061,Alpine,Ag Contraction: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2071,Alpine,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2081,Alpine,Ag Contraction: Cropland,0.2,Iteration and Timestep,0.1,0,0.4
2091,Alpine,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2017,Amador,Ag Contraction: Cropland,94.5953525,Iteration and Timestep,75.32856376501566,5.867947,214.078894
2021,Amador,Ag Contraction: Cropland,94.5953525,Iteration and Timestep,75.32856376501566,5.867947,214.078894
2031,Amador,Ag Contraction: Cropland,94.5953525,Iteration and Timestep,75.32856376501566,5.867947,214.078894
2041,Amador,Ag Contraction: Cropland,94.5953525,Iteration and Timestep,75.32856376501566,5.867947,214.078894
2051,Amador,Ag Contraction: Cropland,94.5953525,Iteration and Timestep,75.32856376501566,5.867947,214.078894
2061,Amador,Ag Contraction: Cropland,94.5953525,Iteration and Timestep,75.32856376501566,5.867947,214.078894
2071,Amador,Ag Contraction: Cropland,94.5953525,Iteration and Timestep,75.32856376501566,5.867947,214.078894
2081,Amador,Ag Contraction: Cropland,94.5953525,Iteration and Timestep,75.32856376501566,5.867947,214.078894
2091,Amador,Ag Contraction: Cropland,94.5953525,Iteration and Timestep,75.32856376501566,5.867947,214.078894
2017,Butte,Ag Contraction: Cropland,1759.979414,Iteration and Timestep,2397.708520214958,243.620972,6479.02286
2021,Butte,Ag Contraction: Cropland,1759.979414,Iteration and Timestep,2397.708520214958,243.620972,6479.02286
2031,Butte,Ag Contraction: Cropland,1759.979414,Iteration and Timestep,2397.708520214958,243.620972,6479.02286
2041,Butte,Ag Contraction: Cropland,1759.979414,Iteration and Timestep,2397.708520214958,243.620972,6479.02286
2051,Butte,Ag Contraction: Cropland,1759.979414,Iteration and Timestep,2397.708520214958,243.620972,6479.02286
2061,Butte,Ag Contraction: Cropland,1759.979414,Iteration and Timestep,2397.708520214958,243.620972,6479.02286
2071,Butte,Ag Contraction: Cropland,1759.979414,Iteration and Timestep,2397.708520214958,243.620972,6479.02286
2081,Butte,Ag Contraction: Cropland,1759.979414,Iteration and Timestep,2397.708520214958,243.620972,6479.02286
2091,Butte,Ag Contraction: Cropland,1759.979414,Iteration and Timestep,2397.708520214958,243.620972,6479.02286
2017,Calaveras,Ag Contraction: Cropland,0.2,Iteration and Timestep,0.1,0,0.4
2021,Calaveras,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2031,Calaveras,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2041,Calaveras,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2051,Calaveras,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2061,Calaveras,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2071,Calaveras,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2081,Calaveras,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2091,Calaveras,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2017,Colusa,Ag Contraction: Cropland,645.3167921111111,Iteration and Timestep,664.6001328735251,25.697561,2266.2416
2021,Colusa,Ag Contraction: Cropland,645.3167921111111,Iteration and Timestep,664.6001328735251,25.697561,2266.2416
2031,Colusa,Ag Contraction: Cropland,645.3167921111111,Iteration and Timestep,664.6001328735251,25.697561,2266.2416
2041,Colusa,Ag Contraction: Cropland,645.3167921111111,Iteration and Timestep,664.6001328735251,25.697561,2266.2416
2051,Colusa,Ag Contraction: Cropland,645.3167921111111,Iteration and Timestep,664.6001328735251,25.697561,2266.2416
2061,Colusa,Ag Contraction: Cropland,645.3167921111111,Iteration and Timestep,664.6001328735251,25.697561,2266.2416
2071,Colusa,Ag Contraction: Cropland,645.3167921111111,Iteration and Timestep,664.6001328735251,25.697561,2266.2416
2081,Colusa,Ag Contraction: Cropland,645.3167921111111,Iteration and Timestep,664.6001328735251,25.697561,2266.2416
2091,Colusa,Ag Contraction: Cropland,645.3167921111111,Iteration and Timestep,664.6001328735251,25.697561,2266.2416
2017,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2021,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2031,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2041,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2051,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2061,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2071,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2081,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2091,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2017,Del Norte,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2021,Del Norte,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2031,Del Norte,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2041,Del Norte,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
