Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2017,Alameda,Ag Expansion: Cropland,41.57822290322581,Iteration and Timestep,39.56067604625326,0,130.2175112903226
2021,Alameda,Ag Expansion: Cropland,41.57822290322581,Iteration and Timestep,39.56067604625326,0,130.2175112903226
2031,Alameda,Ag Expansion: Cropland,51.477799784946235,Iteration and Timestep,48.979884628694514,0,161.2216806451613
2041,Alameda,Ag Expansion: Cropland,65.33720741935483,Iteration and Timestep,62.16677664411226,0,204.6275177419355
2051,Alameda,Ag Expansion: Cropland,67.31712279569892,Iteration and Timestep,64.05061836060051,0,210.82835161290322
2061,Alameda,Ag Expansion: Cropland,59.397461290322575,Iteration and Timestep,56.51525149464751,0,186.02501612903225
2071,Alameda,Ag Expansion: Cropland,43.558138279569896,Iteration and Timestep,41.44451776274151,0,136.41834516129035
2081,Alameda,Ag Expansion: Cropland,17.819238387096775,Iteration and Timestep,16.954575448394255,0,55.80750483870968
2091,Alameda,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Alpine,Ag Expansion: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2021,Alpine,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2031,Alpine,Ag Expansion: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2041,Alpine,Ag Expansion: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2051,Alpine,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2061,Alpine,Ag Expansion: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2071,Alpine,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2081,Alpine,Ag Expansion: Cropland,0.2,Iteration and Timestep,0.1,0,0.4
2091,Alpine,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Amador,Ag Expansion: Cropland,6.123686069444445,Iteration and Timestep,3.6306720879714374,1.4838486666666666,13.2534665
2021,Amador,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2031,Amador,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2041,Amador,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2051,Amador,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2061,Amador,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2071,Amador,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2081,Amador,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2091,Amador,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Butte,Ag Expansion: Cropland,189.78789788194445,Iteration and Timestep,96.81023855857326,84.2758595,341.1165741666667
2021,Butte,Ag Expansion: Cropland,156.29591590277778,Iteration and Timestep,79.72607881294269,69.403649,280.91953166666667
2031,Butte,Ag Expansion: Cropland,178.62390388888892,Iteration and Timestep,91.11551864336307,79.31845600000001,321.05089333333336
2041,Butte,Ag Expansion: Cropland,189.78789788194445,Iteration and Timestep,96.81023855857326,84.2758595,341.1165741666667
2051,Butte,Ag Expansion: Cropland,178.62390388888892,Iteration and Timestep,91.11551864336307,79.31845600000001,321.05089333333336
2061,Butte,Ag Expansion: Cropland,122.80393392361113,Iteration and Timestep,62.64191906731212,54.5314385,220.72248916666666
2071,Butte,Ag Expansion: Cropland,89.31195194444446,Iteration and Timestep,45.55775932168154,39.659228000000006,160.52544666666668
2081,Butte,Ag Expansion: Cropland,78.14795795138889,Iteration and Timestep,39.863039406471344,34.7018245,140.45976583333334
2091,Butte,Ag Expansion: Cropland,66.98396395833333,Iteration and Timestep,34.16831949126115,29.744421,120.39408499999999
2017,Calaveras,Ag Expansion: Cropland,0.2,Iteration and Timestep,0.1,0,0.4
2021,Calaveras,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2031,Calaveras,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2041,Calaveras,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2051,Calaveras,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2061,Calaveras,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2071,Calaveras,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2081,Calaveras,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2091,Calaveras,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Colusa,Ag Expansion: Cropland,6666.527373333332,Iteration and Timestep,10389.359314610101,1019.8087199999999,33271.25949
2021,Colusa,Ag Expansion: Cropland,2222.175791111111,Iteration and Timestep,3463.1197715367007,339.93624,11090.419829999999
2031,Colusa,Ag Expansion: Cropland,4444.351582222222,Iteration and Timestep,6926.239543073401,679.87248,22180.839659999998
2041,Colusa,Ag Expansion: Cropland,6666.527373333332,Iteration and Timestep,10389.359314610101,1019.8087199999999,33271.25949
2051,Colusa,Ag Expansion: Cropland,8888.703164444443,Iteration and Timestep,13852.479086146803,1359.74496,44361.679319999996
2061,Colusa,Ag Expansion: Cropland,2222.175791111111,Iteration and Timestep,3463.1197715367007,339.93624,11090.419829999999
2071,Colusa,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2081,Colusa,Ag Expansion: Cropland,2222.175791111111,Iteration and Timestep,3463.1197715367007,339.93624,11090.419829999999
2091,Colusa,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Contra Costa,Ag Expansion: Cropland,129.17784651282054,Iteration and Timestep,367.4900771594803,0,1293.5009747692309
2021,Contra Costa,Ag Expansion: Cropland,129.17784651282054,Iteration and Timestep,367.4900771594803,0,1293.5009747692309
2031,Contra Costa,Ag Expansion: Cropland,107.64820542735045,Iteration and Timestep,306.2417309662336,0,1077.9174789743593
2041,Contra Costa,Ag Expansion: Cropland,91.50097461324788,Iteration and Timestep,260.3054713212985,0,916.2298571282051
2051,Contra Costa,Ag Expansion: Cropland,113.03061569871798,Iteration and Timestep,321.5538175145453,0,1131.8133529230772
2061,Contra Costa,Ag Expansion: Cropland,75.3537437991453,Iteration and Timestep,214.3692116763635,0,754.5422352820514
2071,Contra Costa,Ag Expansion: Cropland,56.51530784935899,Iteration and Timestep,160.77690875727265,0,565.9066764615386
2081,Contra Costa,Ag Expansion: Cropland,26.912051356837612,Iteration and Timestep,76.5604327415584,0,269.4793697435898
2091,Contra Costa,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2021,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2031,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2041,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2051,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2061,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2071,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2081,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2091,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,El Dorado,Ag Expansion: Cropland,29.055298554285713,Iteration and Timestep,37.66736846192664,0.15031194285714286,126.93843574285714
2021,El Dorado,Ag Expansion: Cropland,40.230413382857144,Iteration and Timestep,52.15481787035997,0.2081242285714286,175.76091102857143
