Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2017,Alameda,Ag Expansion,69.297038172043,Normal,Iteration and Timestep,65.93446007708876,0,217.02918548387095
2021,Alameda,Ag Expansion,114.83509182795697,Normal,Iteration and Timestep,109.26281955631852,0,359.64836451612905
2031,Alameda,Ag Expansion,144.53382247311825,Normal,Iteration and Timestep,137.52044530364228,0,452.6608725806451
2041,Alameda,Ag Expansion,201.95136838709675,Normal,Iteration and Timestep,192.15185508180153,0,632.4850548387096
2051,Alameda,Ag Expansion,217.79069139784946,Normal,Iteration and Timestep,207.22258881370755,0,682.0917258064517
2061,Alameda,Ag Expansion,237.5898451612903,Normal,Iteration and Timestep,226.06100597859003,0,744.100064516129
2071,Alameda,Ag Expansion,219.77060677419354,Normal,Iteration and Timestep,209.1064305301958,0,688.2925596774194
2081,Alameda,Ag Expansion,134.63424559139784,Normal,Iteration and Timestep,128.10123672120102,0,421.65670322580644
2091,Alameda,Ag Expansion,97.01585344086021,Normal,Iteration and Timestep,92.30824410792428,0,303.8408596774194
2017,Alpine,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2021,Alpine,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2031,Alpine,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2041,Alpine,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2051,Alpine,Ag Expansion,0.1,Normal,Iteration and Timestep,0.05,0,0.2
2061,Alpine,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2071,Alpine,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2081,Alpine,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2091,Alpine,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2017,Amador,Ag Expansion,6.123686069444445,Normal,Iteration and Timestep,3.6306720879714374,1.4838486666666666,13.2534665
2021,Amador,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2031,Amador,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2041,Amador,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2051,Amador,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2061,Amador,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2071,Amador,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2081,Amador,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2091,Amador,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2017,Butte,Ag Expansion,156.29591590277778,Normal,Iteration and Timestep,79.72607881294269,69.403649,280.91953166666667
2021,Butte,Ag Expansion,167.45990989583333,Normal,Iteration and Timestep,85.42079872815287,74.3610525,300.9852125
2031,Butte,Ag Expansion,256.7718618402778,Normal,Iteration and Timestep,130.9785580498344,114.02028049999998,461.5106591666666
2041,Butte,Ag Expansion,267.93585583333333,Normal,Iteration and Timestep,136.6732779650446,118.977684,481.57633999999996
2051,Butte,Ag Expansion,279.0998498263889,Normal,Iteration and Timestep,142.36799788025482,123.93508750000001,501.64202083333333
2061,Butte,Ag Expansion,279.0998498263889,Normal,Iteration and Timestep,142.36799788025482,123.93508750000001,501.64202083333333
2071,Butte,Ag Expansion,223.2798798611111,Normal,Iteration and Timestep,113.89439830420385,99.14807,401.31361666666663
2081,Butte,Ag Expansion,223.2798798611111,Normal,Iteration and Timestep,113.89439830420385,99.14807,401.31361666666663
2091,Butte,Ag Expansion,290.2638438194445,Normal,Iteration and Timestep,148.062717795465,128.892491,521.7077016666667
2017,Calaveras,Ag Expansion,0.2,Normal,Iteration and Timestep,0.1,0,0.4
2021,Calaveras,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2031,Calaveras,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2041,Calaveras,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2051,Calaveras,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2061,Calaveras,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2071,Calaveras,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
