SecondaryStratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
Alameda,2017,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Alameda,2021,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Alameda,2031,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Alameda,2041,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Alameda,2051,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Alameda,2061,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Alameda,2071,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Alameda,2081,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Alameda,2091,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Alpine,2017,Management: Forest Clearcut,10.816868321857266,Normal,Iteration and Timestep,45.89208564952334,0,194.7036297934308
Alpine,2021,Management: Forest Clearcut,14.430481395585758,Normal,Iteration and Timestep,61.22334750363003,0,259.74866512054365
Alpine,2031,Management: Forest Clearcut,14.981812080134718,Normal,Iteration and Timestep,63.56244549795477,0,269.6726174424249
Alpine,2041,Management: Forest Clearcut,16.378116966003272,Normal,Iteration and Timestep,69.48646541836415,0,294.8061053880589
Alpine,2051,Management: Forest Clearcut,15.569099113675998,Normal,Iteration and Timestep,66.05409336147459,0,280.24378404616795
Alpine,2061,Management: Forest Clearcut,13.693376241243131,Normal,Iteration and Timestep,58.09607518513065,0,246.48077234237635
Alpine,2071,Management: Forest Clearcut,11.631878899016593,Normal,Iteration and Timestep,49.349882684612076,0,209.3738201822987
Alpine,2081,Management: Forest Clearcut,10.71499199971235,Normal,Iteration and Timestep,45.45986102013725,0,192.8698559948223
Alpine,2091,Management: Forest Clearcut,8.527647436012682,Normal,Iteration and Timestep,36.179743977435855,0,153.49765384822825
Amador,2017,Management: Forest Clearcut,118.98555154042994,Normal,Iteration and Timestep,181.53240153498567,0,584.1108893802924
Amador,2021,Management: Forest Clearcut,158.73529535144337,Normal,Iteration and Timestep,242.17729800346007,0,779.245995361631
Amador,2031,Management: Forest Clearcut,164.7999328814819,Normal,Iteration and Timestep,251.42991902352585,0,809.0178523272748
Amador,2041,Management: Forest Clearcut,180.159286626036,Normal,Iteration and Timestep,274.8631874765184,0,884.4183161641766
Amador,2051,Management: Forest Clearcut,171.26009025043598,Normal,Iteration and Timestep,261.28597184924803,0,840.7313521385039
Amador,2061,Management: Forest Clearcut,150.62713865367445,Normal,Iteration and Timestep,229.80694598750262,0,739.4423170271291
Amador,2071,Management: Forest Clearcut,127.95066788918254,Normal,Iteration and Timestep,195.21018912986546,0,628.1214605468961
Amador,2081,Management: Forest Clearcut,117.86491199683586,Normal,Iteration and Timestep,179.82267808562568,0,578.6095679844668
Amador,2091,Management: Forest Clearcut,93.8041217961395,Normal,Iteration and Timestep,143.11390990819092,0,460.4929615446848
Butte,2017,Management: Forest Clearcut,189.29519563250216,Normal,Iteration and Timestep,253.14163710813605,0,973.5181489671539
Butte,2021,Management: Forest Clearcut,252.5334244227508,Normal,Iteration and Timestep,337.70917570991224,0,1298.7433256027184
Butte,2031,Management: Forest Clearcut,262.18171140235756,Normal,Iteration and Timestep,350.6116857453408,0,1348.3630872121246
Butte,2041,Management: Forest Clearcut,286.6170469050573,Normal,Iteration and Timestep,383.2886948568065,0,1474.0305269402945
Butte,2051,Management: Forest Clearcut,272.45923448932996,Normal,Iteration and Timestep,364.35566382655816,0,1401.2189202308398
Butte,2061,Management: Forest Clearcut,239.6340842217548,Normal,Iteration and Timestep,320.4590807712415,0,1232.4038617118817
Butte,2071,Management: Forest Clearcut,203.5578807327904,Normal,Iteration and Timestep,272.21491281268254,0,1046.8691009114934
Butte,2081,Management: Forest Clearcut,187.51235999496612,Normal,Iteration and Timestep,250.75747764506772,0,964.3492799741115
Butte,2091,Management: Forest Clearcut,149.23383013022195,Normal,Iteration and Timestep,199.568171526248,0,767.4882692411413
Calaveras,2017,Management: Forest Clearcut,232.5626689199312,Normal,Iteration and Timestep,285.5674928468793,0,876.1663340704386
