SecondaryStratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
Alameda,2017,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alameda,2021,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alameda,2031,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alameda,2041,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alameda,2051,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alameda,2061,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alameda,2071,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alameda,2081,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alameda,2091,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alpine,2017,Management: Forest Clearcut [Type],59.49277577021497,Normal,Iteration and Timestep,142.2132068615154
Alpine,2021,Management: Forest Clearcut [Type],79.36764767572168,Normal,Iteration and Timestep,189.7226604556948
Alpine,2031,Management: Forest Clearcut [Type],82.39996644074095,Normal,Iteration and Timestep,196.97120063921804
Alpine,2041,Management: Forest Clearcut [Type],90.079643313018,Normal,Iteration and Timestep,215.32891653879312
Alpine,2051,Management: Forest Clearcut [Type],85.63004512521799,Normal,Iteration and Timestep,204.69247170427536
Alpine,2061,Management: Forest Clearcut [Type],75.31356932683723,Normal,Iteration and Timestep,180.03167738424526
Alpine,2071,Management: Forest Clearcut [Type],63.97533394459127,Normal,Iteration and Timestep,152.92844017628886
Alpine,2081,Management: Forest Clearcut [Type],58.93245599841793,Normal,Iteration and Timestep,140.87380269716874
Alpine,2091,Management: Forest Clearcut [Type],46.90206089806975,Normal,Iteration and Timestep,112.1160074038429
Amador,2017,Management: Forest Clearcut [Type],405.6325620696475,Normal,Iteration and Timestep,302.8325425026058
Amador,2021,Management: Forest Clearcut [Type],541.143052334466,Normal,Iteration and Timestep,404.0004223525068
Amador,2031,Management: Forest Clearcut [Type],561.8179530050519,Normal,Iteration and Timestep,419.43565443574215
Amador,2041,Management: Forest Clearcut [Type],614.1793862251227,Normal,Iteration and Timestep,458.5270574291533
Amador,2051,Management: Forest Clearcut [Type],583.84121676285,Normal,Iteration and Timestep,435.87753208962323
Amador,2061,Management: Forest Clearcut [Type],513.5016090466174,Normal,Iteration and Timestep,383.3641881542683
Amador,2071,Management: Forest Clearcut [Type],436.19545871312226,Normal,Iteration and Timestep,325.6498421039102
Amador,2081,Management: Forest Clearcut [Type],401.8121999892131,Normal,Iteration and Timestep,299.9803800524428
Amador,2091,Management: Forest Clearcut [Type],319.78677885047557,Normal,Iteration and Timestep,238.74277450482444
Butte,2017,Management: Forest Clearcut [Type],870.7578999095099,Normal,Iteration and Timestep,498.049474181869
Butte,2021,Management: Forest Clearcut [Type],1161.6537523446536,Normal,Iteration and Timestep,664.43386915786175
Butte,2031,Management: Forest Clearcut [Type],1206.0358724508449,Normal,Iteration and Timestep,689.8192163183782
Butte,2041,Management: Forest Clearcut [Type],1318.4384157632635,Normal,Iteration and Timestep,754.1103672792509
Butte,2051,Management: Forest Clearcut [Type],1253.312478650918,Normal,Iteration and Timestep,716.8601295980585
Butte,2061,Management: Forest Clearcut [Type],1102.316787420072,Normal,Iteration and Timestep,630.4947637149976
Butte,2071,Management: Forest Clearcut [Type],936.3662513708358,Normal,Iteration and Timestep,535.5756395495887
