Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2002,,,,Ag Expansion,,Ag Expansion,,,,
,2002,,,,Ag Contraction,,Ag Contraction,,,,
,2002,,,,Urbanization,,Urbanization,,,,
,2002,,,,Intensification: Open to Low [Type],,Intensification: Open to Low,,,,
,2002,,,,Intensification: Open to Medium [Type],,Intensification: Open to Medium,,,,
,2002,,,,Intensification: Open to High [Type],,Intensification: Open to High,,,,
,2002,,,,Intensification: Low to Medium [Type],,Intensification: Low to Medium,,,,
,2002,,,,Intensification: Low to High [Type],,Intensification: Low to High,,,,
,2002,,,,Intensification: Medium to High [Type],,Intensification: Medium to High,,,,
,2002,,,,Fire: High Severity [Type],,Fire: High Severity,,,,
,2002,,,,Fire: Medium Severity [Type],,Fire: Medium Severity,,,,
,2002,,,,Fire: Low Severity [Type],,Fire: Low Severity,,,,
,2002,,,,Insect: High Severity [Type],,Insect: High Severity,,,,
,2002,,,,Insect: Medium Severity [Type],,Insect: Medium Severity,,,,
,2002,,,,Insect: Low Severity [Type],,Insect: Low Severity,,,,
,2002,,,,Management: Forest Clearcut [Type],,Management: Forest Clearcut,,,,
,2002,,,,Management: Forest Selection [Type],,Management: Forest Selection,,,,
,2002,,,,Ag Change: Cropland to Pasture [Type],,Ag Change: Cropland to Pasture,,,,
,2002,,,,Ag Change: Pasture to Cropland [Type],,Ag Change: Pasture to Cropland,,,,
