SecondaryStratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
Alameda,2017,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2021,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2031,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2041,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2051,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2061,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2071,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2081,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2091,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2017,Management: Forest Selection [Type],31.210110925336643,Normal,Iteration and Timestep,113.95979152451505,0,481.52742570519393
Alpine,2021,Management: Forest Selection [Type],32.88807387831173,Normal,Iteration and Timestep,120.08666203658576,0,507.4159969796667
Alpine,2031,Management: Forest Selection [Type],30.958416482390373,Normal,Iteration and Timestep,113.04076094770444,0,477.644140014023
Alpine,2041,Management: Forest Selection [Type],26.784483636864845,Normal,Iteration and Timestep,97.80017054892859,0,413.24631896877196
Alpine,2051,Management: Forest Selection [Type],27.35079613349394,Normal,Iteration and Timestep,99.86798934675245,0,421.9837117739065
Alpine,2061,Management: Forest Selection [Type],23.806099395334062,Normal,Iteration and Timestep,86.92497539000308,0,367.2941049565827
Alpine,2071,Management: Forest Selection [Type],16.63280777136556,Normal,Iteration and Timestep,60.73260395090083,0,256.62046275821154
Alpine,2081,Management: Forest Selection [Type],10.697013825216187,Normal,Iteration and Timestep,39.058799514450726,0,165.03964187476404
Alpine,2091,Management: Forest Selection [Type],4.782194415979001,Normal,Iteration and Timestep,17.4615809594015,0,73.78242813224745
Amador,2017,Management: Forest Selection [Type],164.9677291767794,Normal,Iteration and Timestep,170.73947856590544,0,561.7819966560596
Amador,2021,Management: Forest Selection [Type],173.83696192821915,Normal,Iteration and Timestep,179.91902042428745,0,591.9853298096111
Amador,2031,Management: Forest Selection [Type],163.63734426406342,Normal,Iteration and Timestep,169.36254728714812,0,557.2514966830267
Amador,2041,Management: Forest Selection [Type],141.57512779485705,Normal,Iteration and Timestep,146.52843691442288,0,482.1207054635673
Amador,2051,Management: Forest Selection [Type],144.56849384846797,Normal,Iteration and Timestep,149.6265322916268,0,492.31433040289096
Amador,2061,Management: Forest Selection [Type],125.83223966105147,Normal,Iteration and Timestep,130.23475011579478,0,428.50978911601317
Amador,2071,Management: Forest Selection [Type],87.91626964864653,Normal,Iteration and Timestep,90.99220867121169,0,299.3905398845801
Amador,2081,Management: Forest Selection [Type],56.54135879042842,Normal,Iteration and Timestep,58.51957934718533,0,192.54624885389137
Amador,2091,Management: Forest Selection [Type],25.277313341603293,Normal,Iteration and Timestep,26.161694296388735,0,86.07949948762203
Butte,2017,Management: Forest Selection [Type],178.3434910019237,Normal,Iteration and Timestep,147.0976116598493,0,401.27285475432825
Butte,2021,Management: Forest Selection [Type],187.9318507332099,Normal,Iteration and Timestep,155.00608540500247,0,422.8466641497223
Butte,2031,Management: Forest Selection [Type],176.90523704223074,Normal,Iteration and Timestep,145.9113405980763,0,398.0367833450191
Butte,2041,Management: Forest Selection [Type],153.05419221065628,Normal,Iteration and Timestep,126.23901215700776,0,344.37193247397664
Butte,2051,Management: Forest Selection [Type],156.29026361996537,Normal,Iteration and Timestep,128.90812204599695,0,351.6530931449221
Butte,2061,Management: Forest Selection [Type],136.03485368762324,Normal,Iteration and Timestep,112.20147125936084,0,306.07842079715226
Butte,2071,Management: Forest Selection [Type],95.04461583637465,Normal,Iteration and Timestep,78.39274599883096,0,213.85038563184295
Butte,2081,Management: Forest Selection [Type],61.125793286949644,Normal,Iteration and Timestep,50.41652012535157,0,137.5330348956367
Butte,2091,Management: Forest Selection [Type],27.326825234165725,Normal,Iteration and Timestep,22.539150173686583,0,61.48535677687288
Calaveras,2017,Management: Forest Selection [Type],436.941552954713,Normal,Iteration and Timestep,665.3487581361877,0,2648.400841378567
Calaveras,2021,Management: Forest Selection [Type],460.43303429636427,Normal,Iteration and Timestep,701.1201967456602,0,2790.787983388167
Calaveras,2031,Management: Forest Selection [Type],433.4178307534653,Normal,Iteration and Timestep,659.9830423447668,0,2627.042770077126
Calaveras,2041,Management: Forest Selection [Type],374.9827709161079,Normal,Iteration and Timestep,571.0015888037042,0,2272.8547543282457
Calaveras,2051,Management: Forest Selection [Type],382.9111458689152,Normal,Iteration and Timestep,583.074449334401,0,2320.910414756486
Calaveras,2061,Management: Forest Selection [Type],333.2853915346769,Normal,Iteration and Timestep,507.50728527189045,0,2020.1175772612048
Calaveras,2071,Management: Forest Selection [Type],232.85930879911788,Normal,Iteration and Timestep,354.58438521639573,0,1411.4125451701634
Calaveras,2081,Management: Forest Selection [Type],149.75819355302664,Normal,Iteration and Timestep,228.0429211353869,0,907.7180303112023
Calaveras,2091,Management: Forest Selection [Type],66.95072182370602,Normal,Iteration and Timestep,101.9486000369965,0,405.803354727361
Colusa,2017,Management: Forest Selection [Type],22.292936375240462,Normal,Iteration and Timestep,53.699389418381344,0,160.5091419017313
Colusa,2021,Management: Forest Selection [Type],23.491481341651237,Normal,Iteration and Timestep,56.58645336560615,0,169.13866565988891
Colusa,2031,Management: Forest Selection [Type],22.113154630278842,Normal,Iteration and Timestep,53.266329826297614,0,159.21471333800764
Colusa,2041,Management: Forest Selection [Type],19.131774026332035,Normal,Iteration and Timestep,46.08475825757592,0,137.74877298959066
Colusa,2051,Management: Forest Selection [Type],19.53628295249567,Normal,Iteration and Timestep,47.05914233976429,0,140.66123725796885
Colusa,2061,Management: Forest Selection [Type],17.004356710952905,Normal,Iteration and Timestep,40.96021975125189,0,122.4313683188609
Colusa,2071,Management: Forest Selection [Type],11.88057697954683,Normal,Iteration and Timestep,28.618021376865862,0,85.54015425273718
Colusa,2081,Management: Forest Selection [Type],7.6407241608687055,Normal,Iteration and Timestep,18.40503266355812,0,55.01321395825468
Colusa,2091,Management: Forest Selection [Type],3.4158531542707156,Normal,Iteration and Timestep,8.228132249590688,0,24.59414271074915
Contra Costa,2017,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2021,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2031,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2041,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2051,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2061,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2071,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2081,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2091,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Del Norte,2017,Management: Forest Selection [Type],49.04446002552901,Normal,Iteration and Timestep,78.53131581438232,0,321.0182838034626
Del Norte,2021,Management: Forest Selection [Type],51.68125895163273,Normal,Iteration and Timestep,82.75342956784374,0,338.27733131977783
Del Norte,2031,Management: Forest Selection [Type],48.64894018661345,Normal,Iteration and Timestep,77.8979987513631,0,318.4294266760153
Del Norte,2041,Management: Forest Selection [Type],42.089902857930475,Normal,Iteration and Timestep,67.39549078962784,0,275.4975459791813
