county,class,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016
Alameda, Prime Farmland,"9,809","9,195","8,723","8,485","8,107","7,976","7,551","7,560","6,926","6,328","5,383","4,724","3,958","3,953","3,690","3,433","3,392"
Alameda, Farmland of Statewide Importance,"1,870","1,862","1,831","1,823","1,777","1,754","1,516","1,358","1,532","1,485","1,505","1,390","1,290","1,228","1,129","1,109","1,127"
Alameda, Unique Farmland,"1,190","1,339","1,434","1,437","1,459","1,435","1,402","1,599","1,888","2,100","2,377","2,323","2,441","2,383","2,380","2,259","2,153"
Alameda, Farmland of Local Importance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,Important Farmland Subtotal,"12,869","12,396","11,988","11,745","11,343","11,165","10,469","10,517","10,346","9,913","9,265","8,437","7,689","7,564","7,199","6,801","6,672"
Alameda, Grazing Land ,"257,238","256,838","255,306","254,826","252,215","251,712","250,276","248,354","247,218","245,728","244,975","244,948","244,252","244,033","243,518","241,169","240,986"
Alameda,Agricultural Land Subtotal,"270,107","269,234","267,294","266,571","263,558","262,877","260,745","258,871","257,564","255,641","254,240","253,385","251,941","251,597","250,717","247,970","247,658"
Alameda, Urban and Built-Up Land,"126,841","128,026","131,717","133,028","135,130","135,596","138,060","139,998","141,549","143,598","144,326","145,431","146,075","146,265","146,978","147,888","148,101"
Alameda, Other Land,"75,615","75,303","73,551","72,963","73,875","74,090","73,758","73,940","73,706","73,580","73,027","72,776","73,522","73,596","73,763","75,496","76,342"
Alameda, Water Area ,"52,776","52,775","52,775","52,775","52,775","52,775","52,775","52,528","52,519","52,519","53,743","53,743","53,799","53,881","53,881","53,979","53,234"
Alameda,Total Area Inventoried ,"525,339","525,338","525,337","525,337","525,338","525,338","525,338","525,337","525,338","525,338","525,336","525,335","525,337","525,339","525,339","525,333","525,335"
Amador, Prime Farmland,"3,623","3,533","3,610","3,664","3,664","3,629","3,578","3,765","3,872","3,828","3,831","3,609","3,541","3,210","3,200","2,979","2,822"
Amador, Farmland of Statewide Importance,"1,509","1,509","1,530","1,540","1,540","1,510","1,510","1,739","1,849","1,814","1,849","1,716","1,573","1,421","1,424","1,447","1,419"
Amador, Unique Farmland,"2,297","2,386","2,512","2,735","2,735","2,698","2,752","2,773","3,054","3,189","3,755","3,598","3,678","3,337","3,311","3,438","3,397"
Amador, Farmland of Local Importance,"3,954","3,954","3,897","3,827","3,827","3,738","3,738","2,957","2,789","2,251","1,255","1,272","1,485","1,864","1,899","2,232","2,299"
