FIA_region,ecoregionL3,er3code,forest_type,a_volume,b_volume,forest_area_km2
Pacific_Northwest,Puget Lowland,2,Alder_Maple,436.17,0.05,3304.125
Pacific_Northwest,Coast Range,1,Alder_Maple,436.17,0.05,3003.625
Pacific_Northwest,Coast Range,1,Alder_Maple,436.17,0.05,3003.625
Pacific_Northwest,Coast Range,1,Alder_Maple,436.17,0.05,3003.625
Pacific_Northwest,North Cascades,77,Alder_Maple,436.17,0.05,711.375
Pacific_Northwest,Cascades,4,Alder_Maple,436.17,0.05,596.6875
Pacific_Northwest,Cascades,4,Alder_Maple,436.17,0.05,596.6875
Pacific_Northwest,Cascades,4,Alder_Maple,436.17,0.05,596.6875
Pacific_Northwest,Willamette Valley,3,Alder_Maple,436.17,0.05,119.8125
Pacific_Northwest,Willamette Valley,3,Alder_Maple,436.17,0.05,119.8125
Pacific_Northwest,Klamath Mountains/California High North Coast Range,78,Alder_Maple,436.17,0.05,85.3125
Pacific_Northwest,Klamath Mountains/California High North Coast Range,78,Alder_Maple,436.17,0.05,85.3125
Pacific_Northwest,Central California Foothills and Coastal Mountains,6,Alder_Maple,436.17,0.05,9.25
Pacific_Northwest,Eastern Cascades Slopes and Foothills,9,Alder_Maple,436.17,0.05,0.25
Pacific_Northwest,Eastern Cascades Slopes and Foothills,9,Alder_Maple,436.17,0.05,0.25
Pacific_Northwest,Eastern Cascades Slopes and Foothills,9,Alder_Maple,436.17,0.05,0.25
Interior_West,Sierra Nevada,5,Alder_Maple,113.81,0.07,0.125
Pacific_Northwest,Sierra Nevada,5,Alder_Maple,436.17,0.05,0.125
North_Central,Northern Lakes and Forests,50,Aspen_Birch,146.48,0.04,71220
North_Central,Northern Lakes and Forests,50,Aspen_Birch,146.48,0.04,71220
North_Central,Northern Lakes and Forests,50,Aspen_Birch,146.48,0.04,71220
Interior_West,Southern Rockies,21,Aspen_Birch,259.18,0.02,16611.5625
Interior_West,Southern Rockies,21,Aspen_Birch,259.18,0.02,16611.5625
Interior_West,Southern Rockies,21,Aspen_Birch,259.18,0.02,16611.5625
Interior_West,Southern Rockies,21,Aspen_Birch,259.18,0.02,16611.5625
Interior_West,Wasatch and Uinta Mountains,19,Aspen_Birch,259.18,0.02,7471.5625
Interior_West,Wasatch and Uinta Mountains,19,Aspen_Birch,259.18,0.02,7471.5625
Interior_West,Wasatch and Uinta Mountains,19,Aspen_Birch,259.18,0.02,7471.5625
North_Central,Northern Minnesota Wetlands,49,Aspen_Birch,146.48,0.04,5880
North_Central,Southern Michigan/Northern Indiana Drift Plains,56,Aspen_Birch,146.48,0.04,5718.0625
North_Central,Southern Michigan/Northern Indiana Drift Plains,56,Aspen_Birch,146.48,0.04,5718.0625
North_Central,North Central Hardwood Forests,51,Aspen_Birch,146.48,0.04,5618.6875
North_Central,North Central Hardwood Forests,51,Aspen_Birch,146.48,0.04,5618.6875
North_Central,North Central Hardwood Forests,51,Aspen_Birch,146.48,0.04,5618.6875
Interior_West,Middle Rockies,17,Aspen_Birch,259.18,0.02,2793.8125
Interior_West,Middle Rockies,17,Aspen_Birch,259.18,0.02,2793.8125
Interior_West,Middle Rockies,17,Aspen_Birch,259.18,0.02,2793.8125
North_Central,Middle Rockies,17,Aspen_Birch,146.48,0.04,2793.8125
North_Central,Huron/Erie Lake Plains,57,Aspen_Birch,146.48,0.04,2386.9375
North_Central,Huron/Erie Lake Plains,57,Aspen_Birch,146.48,0.04,2386.9375
Northeast,Huron/Erie Lake Plains,57,Aspen_Birch,196.77,0.03,2386.9375
Northeast,Acadian Plains and Hills,82,Aspen_Birch,196.77,0.03,1976.6875
Northeast,Northeastern Highlands,58,Aspen_Birch,196.77,0.03,1499.625
Northeast,Northeastern Highlands,58,Aspen_Birch,196.77,0.03,1499.625
Northeast,Northeastern Highlands,58,Aspen_Birch,196.77,0.03,1499.625
Northeast,Northeastern Highlands,58,Aspen_Birch,196.77,0.03,1499.625
Northeast,Northeastern Highlands,58,Aspen_Birch,196.77,0.03,1499.625
Northeast,Northeastern Highlands,58,Aspen_Birch,196.77,0.03,1499.625
Northeast,Northeastern Highlands,58,Aspen_Birch,196.77,0.03,1499.625
Northeast,Northeastern Highlands,58,Aspen_Birch,196.77,0.03,1499.625
North_Central,Lake Agassiz Plain,48,Aspen_Birch,146.48,0.04,1000.9375
North_Central,Lake Agassiz Plain,48,Aspen_Birch,146.48,0.04,1000.9375
Interior_West,Colorado Plateaus,20,Aspen_Birch,259.18,0.02,981.25
