Rowid_,VALUE,COUNT,VALUE_1,CLASSNAME,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,FOR_GRP_ID,FOR_GRP_N,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
,-9999,0,-9999,Nodata,-9999,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,0,NoData,Nodata,Nodata,Nodata,255,255,255,1,1,1
,3001,12757289,3001,Inter-Mountain Basins Sparsely Vegetated Systems,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,31,Barren,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
,3002,204151,3002,Mediterranean California Sparsely Vegetated Systems,2002,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,32,Barren,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
,3003,1191598,3003,North Pacific Sparsely Vegetated Systems,2003,Sps North Pacific Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,33,Barren,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
,3004,2744760,3004,North American Warm Desert Sparsely Vegetated Systems,2004,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,34,Barren,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
,3006,12997455,3006,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,2006,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,35,Barren,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
,3007,3936853,3007,Western Great Plains Sparsely Vegetated Systems,2007,Sps Western Great Plains Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,36,Barren,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
,3008,994010,3008,North Pacific Oak Woodland,2008,Tr North Pacific Oak Woodland,Tree,629,Hardwood,Western Oak Woodland and Savanna,SAF 233: Oregon White Oak,500,Oak/Hickory Group,Tree-dominated,Open tree canopy,Deciduous open tree canopy,203,255,171,0.796078,1,0.670588
,3009,12412,3009,Northwestern Great Plains Aspen Forest and Parkland,2009,Tr Northwestern Great Plains Aspen Forest and Parkland,Tree,602,Hardwood,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,900,Maple/Beech/Birch Group,Tree-dominated,Open tree canopy,Deciduous open tree canopy,192,255,138,0.752941,1,0.541176
,3011,35827434,3011,Rocky Mountain Aspen Forest and Woodland,2011,Tr Rocky Mountain Aspen Forest and Woodland,Tree,602,Hardwood,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,900,Maple/Beech/Birch Group,Tree-dominated,Open tree canopy,Deciduous open tree canopy,192,255,138,0.752941,1,0.541176
,3012,2662677,3012,Rocky Mountain Bigtooth Maple Ravine Woodland,2012,Tr Rocky Mountain Bigtooth Maple Ravine Woodland,Tree,605,Hardwood,Bigtooth Maple Woodland,SRM 418: Bigtooth Maple,800,Maple/Beech/Birch Group,Tree-dominated,Open tree canopy,Deciduous open tree canopy,171,255,138,0.670588,1,0.541176
,3013,3038801,3013,Western Great Plains Dry Bur Oak Forest and Woodland,2013,Tr Western Great Plains Dry Bur Oak Forest and Woodland,Tree,659,Hardwood,Bur Oak Woodland and Savanna,SAF 236: Bur Oak,500,Oak/Hickory Group,Tree-dominated,Open tree canopy,Deciduous open tree canopy,6,53,122,0.023529,0.207843,0.478431
,3014,6321951,3014,Central and Southern California Mixed Evergreen Woodland,2014,Tr Central and Southern California Mixed Evergreen Woodland,Tree,626,Conifer,California Mixed Evergreen Forest and Woodland,SAF 249: Canyon Live Oak,920,Western Oak Group,Tree-dominated,Open tree canopy,Evergreen open tree canopy,145,255,115,0.568627,1,0.45098
